game,date,time,field,bracket,ROUND,team,SCORE
5187833,04/12/2015,,Bedford HS,Boys U9 A,1,JSG U9 Boys,
5187833,04/12/2015,,Bedford HS,Boys U9 A,1,Bedford,
5200953,04/12/2015,,Bedford HS,Boys U11 B2,1,Bedford,
5200953,04/12/2015,,Bedford HS,Boys U11 B2,1,Londonderry Boys U11 Huskies,
5200950,04/12/2015,8:00 AM,West High School,Boys U11 B2,1,Rattlers U11 Maroon,
5200950,04/12/2015,8:00 AM,West High School,Boys U11 B2,1,MYL Boys U11B Junior Tomahawks,
5182160,04/12/2015,8:00 AM,Presentation of Mary,Boys U15 A,1,Windham U15,
5182160,04/12/2015,8:00 AM,Presentation of Mary,Boys U15 A,1,Amherst U15A - Gold,
5182983,04/12/2015,8:00 AM,Proctor Academy Turf ,Girls U13 B,1,Windham U13 Virginia,
5182983,04/12/2015,8:00 AM,Proctor Academy Turf ,Girls U13 B,1,Merrimack Valley Blue Storm,
5200886,04/12/2015,8:00 AM,Exeter High School,Boys U11 C,1,Derry U11C,
5200886,04/12/2015,8:00 AM,Exeter High School,Boys U11 C,1,Exeter - White,
5200888,04/12/2015,8:00 AM,Proctor Academy,Boys U11 C,1,Concord Crush White,
5200888,04/12/2015,8:00 AM,Proctor Academy,Boys U11 B2,1,Hampstead,
5208147,04/12/2015,8:00 AM,Searles School,Boys U9 B,1,Windham U9 Navy,
5208147,04/12/2015,8:00 AM,Searles School,Boys U9 B,1,Hooksett,
5183186,04/12/2015,8:00 AM,Stellos Stadium,Girls U11 A,1,Nashua ,
5183186,04/12/2015,8:00 AM,Stellos Stadium,Girls U11 A,1,Concord Crush Orange,
5182159,04/12/2015,8:00 AM,Boscawen Elementary ,Boys U15 A,1,Merrimack Valley Blue Storm,
5182159,04/12/2015,8:00 AM,Boscawen Elementary ,Boys U15 A,1,Cocheco,
5183073,04/12/2015,8:00 AM,Bedford HS,Girls U13 A,1,Londonderry Girls U13,
5183073,04/12/2015,8:00 AM,Bedford HS,Girls U13 A,1,Bedford,
5200242,04/12/2015,8:00 AM,Memorial HS,Boys U15 B,1,Hooksett,
5200242,04/12/2015,8:00 AM,Memorial HS,Boys U15 B,1,MPAL U15 Blue,
5208140,04/12/2015,8:00 AM,Memorial HS,Boys U9 B,1,MPAL U9 White,
5208140,04/12/2015,8:00 AM,Memorial HS,Boys U9 B,1,Londonderry Boys U9 Jaguars,
5200952,04/12/2015,9:00 AM,Portsmouth High,Boys U11 B2,1,Seacoast,
5200952,04/12/2015,9:00 AM,Portsmouth High,Boys U11 B2,1,MPAL U11 White,
5200234,04/12/2015,9:00 AM,Sodexho Field,Boys U15 B,1,Keene Crush,
5200234,04/12/2015,9:00 AM,Sodexho Field,Boys U15 B,1,Londonderry Boys U15 Warriors,
5187758,04/12/2015,9:00 AM,New Hampton School Turf,Girls U9 B,1,Lakes Region Lacrosse Club,
5187758,04/12/2015,9:00 AM,New Hampton School Turf,Girls U9 B,1,Pelham Lady Outlaws,
5187246,04/12/2015,9:00 AM,Presentation of Mary,Boys U13 A,1,Windham U13A,
5187246,04/12/2015,9:00 AM,Presentation of Mary,Boys U13 A,1,Pelham Outlaws,
5183116,04/12/2015,9:00 AM,West High School,Girls U11 B,1,JSG U11G,
5183116,04/12/2015,9:00 AM,West High School,Girls U11 B,1,MYL Girls U11B Junior Tomahawks,
5194111,04/12/2015,9:15 AM,Tilton School Burch Fiel,Boys U13 B2,1,Laconia Sachems,
5194111,04/12/2015,9:15 AM,Tilton School Burch Fiel,Boys U13 B2,1,Bow,
5182973,04/12/2015,9:15 AM,KSC turf,Girls U13 B,1,Keene Crush,
5182973,04/12/2015,9:15 AM,KSC turf,Girls U13 B,1,MPAL U13,
5183071,04/12/2015,9:15 AM,Stellos Stadium,Girls U13 A,1,Nashua - Purple,
5183071,04/12/2015,9:15 AM,Stellos Stadium,Girls U13 A,1,Amherst U13A - Gold,
5187245,04/12/2015,9:15 AM,West Road Field #1,Boys U13 A,1,Londonderry Boys U13 Falcons,
5187245,04/12/2015,9:15 AM,West Road Field #1,Boys U13 A,1,Bedford,
5194108,04/12/2015,9:15 AM,Memorial HS,Boys U13 B2,1,MPAL U13 Blue,
5194108,04/12/2015,9:15 AM,Memorial HS,Boys U13 B2,1,Peterborough,
5182976,04/12/2015,9:15 AM,Martin Field,Girls U13 B,1,Concord Crush Orange,
5182976,04/12/2015,9:15 AM,Martin Field,Girls U13 B,1,Amherst U13B - Black,
5208141,04/12/2015,9:15 AM,Humphrey Field,Boys U9 B,1,Black Bear,
5208141,04/12/2015,9:15 AM,Humphrey Field,Boys U9 B,1,Derry U9B - White,
5183115,04/12/2015,9:15 AM,Bedford HS,Girls U11 B,1,Hampton Lacrosse - Green,
5183115,04/12/2015,9:15 AM,Bedford HS,Girls U11 B,1,Bedford,
5182867,04/12/2015,9:30 AM,Proctor Academy,Girls U15 B,1,Hopkinton U15 Girls,
5182867,04/12/2015,9:30 AM,Proctor Academy,Girls U15 B,1,Abenaki-Wolfeboro,
5200325,04/12/2015,9:30 AM,Brewster Academy Turf,Boys U15 C,1,Abenaki-Wolfeboro,
5200325,04/12/2015,9:30 AM,Brewster Academy Turf,Boys U15 B,2,MPAL U15 Blue,
5194114,04/12/2015,9:30 AM,Exeter High School,Boys U13 B2,1,Exeter,
5194114,04/12/2015,9:30 AM,Exeter High School,Boys U13 B2,1,Concord Crush Black,
5187757,04/12/2015,9:30 AM,Proctor Acad. Farrell A,Girls U9 B,1,Hopkinton U9 Girls,
5187757,04/12/2015,9:30 AM,Proctor Acad. Farrell A,Girls U9 B,1,Amherst U9B - Black,
5182975,04/12/2015,10:00 AM,West High School,Girls U13 B,1,JSG U13G,
5182975,04/12/2015,10:00 AM,West High School,Girls U13 B,1,MYL Girls U13B Junior Tomahawks,
5182650,04/12/2015,10:00 AM,Presentation of Mary,Boys U11 A,1,Windham U11A North Carolina,
5182650,04/12/2015,10:00 AM,Presentation of Mary,Boys U11 A,1,Seacoast,
5187753,04/12/2015,10:00 AM,E. Derry Memorial School,Girls U9 B,1,Derry,
5187753,04/12/2015,10:00 AM,E. Derry Memorial School,Girls U9 B,1,Bow,
5183072,04/12/2015,10:15 AM,New Hampton School Turf,Girls U13 A,1,Lakes Region Lacrosse Club,
5183072,04/12/2015,10:15 AM,New Hampton School Turf,Girls U13 A,1,Exeter,
5200162,04/12/2015,10:15 AM,Portsmouth High,Boys U13 B1,1,Seacoast,
5200162,04/12/2015,10:15 AM,Portsmouth High,Boys U13 B1,1,Keene Crush Orange,
5187244,04/12/2015,10:30 AM,Stellos Stadium,Boys U13 A,1,Nashua - White,
5187244,04/12/2015,10:30 AM,Stellos Stadium,Boys U13 A,1,Amherst U13A - Gold,
5200324,04/12/2015,10:30 AM,Sachem Field,Boys U15 C,1,Hanover,
5200324,04/12/2015,10:30 AM,Sachem Field,Boys U15 C,1,Lakes Region Lacrosse Club,
5187403,04/12/2015,10:30 AM,Sodexho Field,Boys U11 B1,1,Keene Crush Orange,
5187403,04/12/2015,10:30 AM,Sodexho Field,Boys U11 A,1,Derry U11A,
5182974,04/12/2015,10:30 AM,Bedford HS,Girls U13 B,1,Cocheco,
5182974,04/12/2015,10:30 AM,Bedford HS,Girls U13 B,1,Bedford,
