game,date,time,field,bracket,ROUND,team,SCORE
292,4/9/12,6:30 PM,ASH Lower Merion HS,U15B,1,ASH,
292,4/9/12,6:30 PM,ASH Lower Merion HS,U15B,1,WC2,
250,4/9/12,6:30 PM,AVG Avon Grove HS,U13C,1,AVG,
250,4/9/12,6:30 PM,AVG Avon Grove HS,U13C,1,WC,
249,4/9/12,6:30 PM,BYC Bethel Spr ES 12,U13C,1,BYC,
249,4/9/12,6:30 PM,BYC Bethel Spr ES 12,U13C,1,KEN,
294,4/9/12,6:30 PM,BYC Garnet Valley MS,U15B,1,BYC,
294,4/9/12,6:30 PM,BYC Garnet Valley MS,U15B,1,ST,
355,4/9/12,6:30 PM,GV Great Valley MS,U13B,1,GV,
355,4/9/12,6:30 PM,GV Great Valley MS,U13B,1,PHX,
380,4/9/12,6:30 PM,KEN Kennett MS,U13B,1,KEN,
380,4/9/12,6:30 PM,KEN Kennett MS,U13B,1,WC2,
334,4/9/12,6:30 PM,KEN Legacy Field A,U15B,1,KEN,
334,4/9/12,6:30 PM,KEN Legacy Field A,U15B,1,AVG,
421,4/9/12,6:30 PM,ST TE Middle Sch 2,U13B,1,ST2,
421,4/9/12,6:30 PM,ST TE Middle Sch 2,U13B,1,BYC1,
260,4/9/12,6:30 PM,UNV Patton MS 17,U15B,1,UNV,
260,4/9/12,6:30 PM,UNV Patton MS 17,U15B,1,CVL,
374,4/9/12,6:30 PM,WB Embreeville,U13B,1,WB,
374,4/9/12,6:30 PM,WB Embreeville,U13B,1,WC1,
387,4/9/12,6:30 PM,WC Kelly Field,U13B,1,WC3,
387,4/9/12,6:30 PM,WC Kelly Field,U13B,1,AVG1,
394,4/9/12,8:00 PM,WC Kelly Field,U13B,1,WC4,
394,4/9/12,8:00 PM,WC Kelly Field,U13B,1,BYC2,
90,4/10/12,6:30 PM,ABG Huntingdon Upper,U13A,1,ABG,
90,4/10/12,6:30 PM,ABG Huntingdon Upper,U13A,1,AVG,
106,4/10/12,6:30 PM,ASH Lower Merion HS,U13A,1,ASH,
106,4/10/12,6:30 PM,ASH Lower Merion HS,U13A,1,LV1,
409,4/10/12,6:30 PM,AVG Harmony Park,U13B,2,AVG1,
409,4/10/12,6:30 PM,AVG Harmony Park,U13B,2,BYC2,
219,4/10/12,6:30 PM,BYC Bethel Spr ES 12,U13C,2,BYC,
219,4/10/12,6:30 PM,BYC Bethel Spr ES 12,U13C,1,ASH,
138,4/10/12,6:30 PM,BYC Garnet Valley MS,U13A,1,BYC,
138,4/10/12,6:30 PM,BYC Garnet Valley MS,U13A,1,GV,
67,4/10/12,6:30 PM,CVL Mt Kirk,U13A,1,CVL,
67,4/10/12,6:30 PM,CVL Mt Kirk,U13A,1,COV,
205,4/10/12,6:30 PM,CVL Warrior Field,U13C,1,CVL,
205,4/10/12,6:30 PM,CVL Warrior Field,U13C,1,UNV,
342,4/10/12,6:30 PM,GV Great Valley MS,U13B,2,GV,
342,4/10/12,6:30 PM,GV Great Valley MS,U13B,1,CVL,
244,4/10/12,6:30 PM,KEN Legacy Field A,U13C,2,KEN,
244,4/10/12,6:30 PM,KEN Legacy Field A,U13C,1,LV,
135,4/10/12,6:30 PM,LV Hoeffecker,U13A,1,LV2,
135,4/10/12,6:30 PM,LV Hoeffecker,U13A,1,KEN,
417,4/10/12,6:30 PM,PHX PMYC,U13B,2,PHX,
417,4/10/12,6:30 PM,PHX PMYC,U13B,2,WC3,
357,4/10/12,6:30 PM,ST TE Middle Sch 1,U13B,1,ST1,
357,4/10/12,6:30 PM,ST TE Middle Sch 1,U13B,1,ABG,
117,4/10/12,6:30 PM,ST Wilson Park CYL,U13A,1,ST2,
117,4/10/12,6:30 PM,ST Wilson Park CYL,U13A,1,WC,
109,4/10/12,6:30 PM,ST Wilson Park TEYSA,U13A,1,ST1,
109,4/10/12,6:30 PM,ST Wilson Park TEYSA,U13A,1,UNV,
449,4/10/12,6:30 PM,UNV Patton MS 17,U13B,1,UNV,
449,4/10/12,6:30 PM,UNV Patton MS 17,U13B,1,ASH,
400,4/10/12,6:30 PM,WB Embreeville,U13B,2,WB,
400,4/10/12,6:30 PM,WB Embreeville,U13B,2,BYC1,
436,4/10/12,6:30 PM,WC Henderson HS,U13B,2,WC1,
436,4/10/12,6:30 PM,WC Henderson HS,U13B,1,COV,
396,4/10/12,6:30 PM,WC Rustin HS,U13B,2,WC4,
396,4/10/12,6:30 PM,WC Rustin HS,U13B,1,AVG2,
581,4/11/12,6:30 PM,ASH Lower Merion HS,U11B,1,ASH,
581,4/11/12,6:30 PM,ASH Lower Merion HS,U11B,1,BYC3,
582,4/11/12,6:30 PM,AVG Avon Grove HS,U11B,1,AVG1,
582,4/11/12,6:30 PM,AVG Avon Grove HS,U11B,1,ST,
556,4/11/12,6:30 PM,BYC Bethel Spr ES 12,U11B,1,BYC2,
556,4/11/12,6:30 PM,BYC Bethel Spr ES 12,U11B,1,AVG2,
490,4/11/12,6:30 PM,COV OJR HS,U11B,1,COV2,
490,4/11/12,6:30 PM,COV OJR HS,U11B,1,LV2,
153,4/11/12,6:30 PM,CVL Warrior Field,U11A,1,CVL,
153,4/11/12,6:30 PM,CVL Warrior Field,U11A,1,ST,
474,4/11/12,6:30 PM,GV Great Valley MS,U11B,1,GV,
474,4/11/12,6:30 PM,GV Great Valley MS,U11B,1,CVL3,
534,4/11/12,6:30 PM,KEN Legacy Field B,U11B,1,KEN2,
534,4/11/12,6:30 PM,KEN Legacy Field B,U11B,1,UNV1,
464,4/11/12,6:30 PM,LV Eagleview 2,U11B,1,LV3,
464,4/11/12,6:30 PM,LV Eagleview 2,U11B,1,CVL1,
496,4/11/12,6:30 PM,PHX PMYC,U11B,1,PHX,
496,4/11/12,6:30 PM,PHX PMYC,U11B,1,LV1,
578,4/11/12,6:30 PM,UNV Patton MS 17,U11B,1,UNV2,
578,4/11/12,6:30 PM,UNV Patton MS 17,U11B,1,COV1,
169,4/11/12,6:30 PM,WB Embreeville,U11A,1,WB,
169,4/11/12,6:30 PM,WB Embreeville,U11A,1,ASH,
515,4/11/12,6:30 PM,WC Kelly Field,U11B,1,WC,
515,4/11/12,6:30 PM,WC Kelly Field,U11B,1,WB,
314,4/11/12,8:00 PM,WC Kelly Field,U15B,2,WC2,
314,4/11/12,8:00 PM,WC Kelly Field,U15B,1,WC1,
59,4/12/12,6:30 PM,ABG Huntingdon Upper,U15A,1,ABG,
59,4/12/12,6:30 PM,ABG Huntingdon Upper,U15A,1,GV,
51,4/12/12,6:30 PM,BYC Garnet Valley MS,U15A,1,BYC,
51,4/12/12,6:30 PM,BYC Garnet Valley MS,U15A,1,WC,
56,4/12/12,6:30 PM,COV Batdorf Park,U15A,1,COV,
56,4/12/12,6:30 PM,COV Batdorf Park,U15A,1,CVL,
263,4/12/12,7:00 PM,COV OJR HS,U15B,1,COV,
263,4/12/12,7:00 PM,COV OJR HS,U15B,2,KEN,
298,4/12/12,6:30 PM,LV Pine Creek,U15B,1,LV2,
298,4/12/12,6:30 PM,LV Pine Creek,U15B,2,ST,
274,4/12/12,6:30 PM,PHX PMYC,U15B,1,PHX,
274,4/12/12,6:30 PM,PHX PMYC,U15B,2,AVG,
302,4/12/12,6:30 PM,UNV Upland Country DS,U15B,2,UNV,
302,4/12/12,6:30 PM,UNV Upland Country DS,U15B,1,LV1,
38,4/12/12,6:30 PM,WB Downingtown MS,U15A,1,WB,
38,4/12/12,6:30 PM,WB Downingtown MS,U15A,1,ST,
291,4/12/12,6:30 PM,WB Embreeville,U15B,1,WB,
291,4/12/12,6:30 PM,WB Embreeville,U15B,2,ASH,
531,4/13/12,6:30 PM,AVG Harmony Park,U11B,2,AVG1,
531,4/13/12,6:30 PM,AVG Harmony Park,U11B,2,WB,
550,4/13/12,6:30 PM,BYC Bethel Spr ES 12,U11B,1,BYC1,
