game,date,time,field,bracket,round,team,SCORE
510,3/29/2014,11:45 AM,ABG Huntingdon Lower S,U11B,,ST,
510,3/29/2014,11:45 AM,ABG Huntingdon Lower S,U11B,,ABG1,
231,3/29/2014,1:30 PM,ABG Huntingdon Lower S,U13C,,ASH,
231,3/29/2014,1:30 PM,ABG Huntingdon Lower S,U13C,,ABG,
142,3/29/2014,3:15 PM,ABG Huntingdon Lower S,U13A,,COV,
142,3/29/2014,3:15 PM,ABG Huntingdon Lower S,U13A,,ABG,
49,3/29/2014,5:00 PM,ABG Huntingdon Lower S,U15A,,GV,
49,3/29/2014,5:00 PM,ABG Huntingdon Lower S,U15A,,ABG,
487,3/29/2014,10:00 AM,ASH Lower Merion HS,U11B,,LV1,
487,3/29/2014,10:00 AM,ASH Lower Merion HS,U11B,,ASH,
201,3/29/2014,11:45 AM,ASH Lower Merion HS,U11A,,WC2,
201,3/29/2014,11:45 AM,ASH Lower Merion HS,U11A,,ASH,
85,3/29/2014,9:00 AM,AVG Avon Grove HS 1,U13A,,ST,
85,3/29/2014,9:00 AM,AVG Avon Grove HS 1,U13A,,AVG,
158,3/29/2014,10:30 AM,AVG Avon Grove HS 1,U11A,,BYC,
158,3/29/2014,10:30 AM,AVG Avon Grove HS 1,U11A,,AVG,
12,3/29/2014,3:00 PM,AVG Avon Grove HS 1,U15A,,BYC,
12,3/29/2014,3:00 PM,AVG Avon Grove HS 1,U15A,,AVG,
295,3/29/2014,5:00 PM,AVG Avon Grove HS 1,U15B,,WC2,
295,3/29/2014,5:00 PM,AVG Avon Grove HS 1,U15B,,AVG,
62,3/29/2014,1:30 PM,COV OJR HS,U15A,,ASH,
62,3/29/2014,1:30 PM,COV OJR HS,U15A,,COV,
317,3/29/2014,3:15 PM,COV OJR HS,U13B,,CVL,
317,3/29/2014,3:15 PM,COV OJR HS,U13B,,COV2,
272,3/29/2014,5:00 PM,COV OJR HS,U15B,,ST,
272,3/29/2014,5:00 PM,COV OJR HS,U15B,,COV,
328,3/29/2014,6:45 PM,COV OJR HS,U13B,,LV1,
328,3/29/2014,6:45 PM,COV OJR HS,U13B,,COV1,
226,3/29/2014,10:00 AM,CVL Evans Elem,U13C,,LV,
226,3/29/2014,10:00 AM,CVL Evans Elem,U13C,,CVL,
544,3/29/2014,11:45 AM,CVL Evans Elem,U11B,,CVL1,
544,3/29/2014,11:45 AM,CVL Evans Elem,U11B,,CVL2,
180,3/29/2014,1:30 PM,CVL Evans Elem,U11A,,UNV,
180,3/29/2014,1:30 PM,CVL Evans Elem,U11A,,CVL,
496,3/29/2014,3:15 PM,CVL Evans Elem,U11B,,LV2,
496,3/29/2014,3:15 PM,CVL Evans Elem,U11B,,CVL3,
124,3/29/2014,12:15 PM,GV Great Valley MS,U13A,,LV,
124,3/29/2014,12:15 PM,GV Great Valley MS,U13A,,GV,
206,3/29/2014,2:00 PM,GV Great Valley MS,U11A,,LV,
206,3/29/2014,2:00 PM,GV Great Valley MS,U11A,,GV,
344,3/29/2014,3:45 PM,GV Great Valley MS,U13B,,ABG,
344,3/29/2014,3:45 PM,GV Great Valley MS,U13B,,GV,
298,3/29/2014,11:45 AM,KEN Kennett HS,U15B,,WB,
298,3/29/2014,11:45 AM,KEN Kennett HS,U15B,,KEN,
368,3/29/2014,1:30 PM,KEN Legacy Field C,U13B,,LV2,
368,3/29/2014,1:30 PM,KEN Legacy Field C,U13B,,KEN1,
149,3/29/2014,3:15 PM,KEN Legacy Field C,U11A,,WC1,
149,3/29/2014,3:15 PM,KEN Legacy Field C,U11A,,KEN,
434,3/29/2014,5:00 PM,KEN Legacy Field C,U11B,,WC1,
434,3/29/2014,5:00 PM,KEN Legacy Field C,U11B,,KEN1,
285,3/29/2014,3:15 PM,LV Hoeffecker,U15B,,WC1,
285,3/29/2014,3:15 PM,LV Hoeffecker,U15B,,LV,
6,3/29/2014,5:00 PM,LV Hoeffecker,U15A,,KEN,
6,3/29/2014,5:00 PM,LV Hoeffecker,U15A,,LV,
385,3/29/2014,2:00 PM,UNV Upland Country DS,U13B,,WB,
385,3/29/2014,2:00 PM,UNV Upland Country DS,U13B,,UNV,
100,3/29/2014,3:45 PM,UNV Upland Country DS,U13A,,WB,
100,3/29/2014,3:45 PM,UNV Upland Country DS,U13A,,UNV,
463,3/29/2014,10:00 AM,WB Embreeville,U11B,,BYC2,
463,3/29/2014,10:00 AM,WB Embreeville,U11B,,WB2,
467,3/29/2014,11:45 AM,WB Embreeville,U11B,,BYC3,
467,3/29/2014,11:45 AM,WB Embreeville,U11B,,WB1,
187,3/29/2014,1:30 PM,WB Embreeville,U11A,,ABG,
187,3/29/2014,1:30 PM,WB Embreeville,U11A,,WB,
482,3/29/2014,12:15 PM,WC Henderson HS,U11B,,GV1,
482,3/29/2014,12:15 PM,WC Henderson HS,U11B,,WC2,
253,3/29/2014,2:00 PM,WC Henderson HS,U13C,,ST2,
253,3/29/2014,2:00 PM,WC Henderson HS,U13C,,WC,
382,3/29/2014,1:30 PM,WC Kelly Field,U13B,,AVG,
382,3/29/2014,1:30 PM,WC Kelly Field,U13B,,WC4,
123,3/29/2014,3:15 PM,WC Kelly Field,U13A,,CVL,
123,3/29/2014,3:15 PM,WC Kelly Field,U13A,,WC,
41,3/29/2014,5:00 PM,WC Kelly Field,U15A,,ST,
41,3/29/2014,5:00 PM,WC Kelly Field,U15A,,WC,
343,3/30/2014,1:45 PM,ABG Acad New Church,U13B,,WC1,
343,3/30/2014,1:45 PM,ABG Acad New Church,U13B,,ABG,
374,3/30/2014,12:00 PM,BYC Garnet Valley HS,U13B,,WC3,
374,3/30/2014,12:00 PM,BYC Garnet Valley HS,U13B,,BYC1,
450,3/30/2014,1:45 PM,BYC Garnet Valley HS,U11B,,AVG2,
450,3/30/2014,1:45 PM,BYC Garnet Valley HS,U11B,,BYC1,
507,3/30/2014,1:30 PM,COV OJR HS,U11B,,LV3,
507,3/30/2014,1:30 PM,COV OJR HS,U11B,,COV3,
535,3/30/2014,3:15 PM,COV OJR HS,U11B,,COV2,
535,3/30/2014,3:15 PM,COV OJR HS,U11B,,COV1,
223,3/31/2014,6:15 PM,ASH Lower Merion HS,U13C,,CVL,
223,3/31/2014,6:15 PM,ASH Lower Merion HS,U13C,,ASH,
348,3/31/2014,6:15 PM,GV Great Valley MS,U13B,,ST1,
348,3/31/2014,6:15 PM,GV Great Valley MS,U13B,,GV,
336,3/31/2014,6:15 PM,LV Lionville MS,U13B,,COV2,
336,3/31/2014,6:15 PM,LV Lionville MS,U13B,,LV1,
234,3/31/2014,6:15 PM,LV Pine Creek 1,U13C,,ABG,
234,3/31/2014,6:15 PM,LV Pine Creek 1,U13C,,LV,
248,3/31/2014,6:15 PM,ST TE Middle Sch 2,U13C,,WC,
248,3/31/2014,6:15 PM,ST TE Middle Sch 2,U13C,,ST1,
297,3/31/2014,6:15 PM,WB Downingtown MS,U15B,,AVG,
297,3/31/2014,6:15 PM,WB Downingtown MS,U15B,,WB,
387,3/31/2014,6:15 PM,WB Embreeville,U13B,,BYC2,
387,3/31/2014,6:15 PM,WB Embreeville,U13B,,WB,
354,3/31/2014,6:15 PM,WC Kelly Field,U13B,,ST2,
354,3/31/2014,6:15 PM,WC Kelly Field,U13B,,WC2,
376,4/1/2014,6:15 PM,AVG Avon Grove HS 1,U13B,,WC3,
376,4/1/2014,6:15 PM,AVG Avon Grove HS 1,U13B,,AVG,
83,4/1/2014,6:15 PM,AVG Harmony Park,U13A,,GV,
83,4/1/2014,6:15 PM,AVG Harmony Park,U13A,,AVG,
92,4/1/2014,6:15 PM,BYC GVMS Temple,U13A,,WC,
92,4/1/2014,6:15 PM,BYC GVMS Temple,U13A,,BYC,
73,4/1/2014,6:15 PM,KEN Legacy Field B,U13A,,LV,
73,4/1/2014,6:15 PM,KEN Legacy Field B,U13A,,KEN,
369,4/1/2014,6:15 PM,LV Lionville MS,U13B,,KEN2,
369,4/1/2014,6:15 PM,LV Lionville MS,U13B,,LV2,
104,4/1/2014,6:15 PM,UNV Patton MS 17,U13A,,ST,
104,4/1/2014,6:15 PM,UNV Patton MS 17,U13A,,UNV,
380,4/1/2014,6:15 PM,WC Rustin HS Grass,U13B,,BYC1,
380,4/1/2014,6:15 PM,WC Rustin HS Grass,U13B,,WC4,
522,4/2/2014,6:15 PM,ABG Huntingdon Lower N,U11B,,ABG3,
522,4/2/2014,6:15 PM,ABG Huntingdon Lower N,U11B,,ABG1,
452,4/2/2014,6:15 PM,AVG Harmony Park,U11B,,BYC3,
452,4/2/2014,6:15 PM,AVG Harmony Park,U11B,,AVG2,
466,4/2/2014,6:15 PM,BYC Bethel Spr ES 12,U11B,,GV2,
466,4/2/2014,6:15 PM,BYC Bethel Spr ES 12,U11B,,BYC2,
461,4/2/2014,6:15 PM,BYC Concord Muni 2,U11B,,WB1,
461,4/2/2014,6:15 PM,BYC Concord Muni 2,U11B,,BYC1,
526,4/2/2014,6:15 PM,CVL Evans Elem,U11B,,ABG2,
526,4/2/2014,6:15 PM,CVL Evans Elem,U11B,,CVL2,
147,4/2/2014,6:15 PM,KEN Legacy Field B,U11A,,UNV,
147,4/2/2014,6:15 PM,KEN Legacy Field B,U11A,,KEN,
492,4/2/2014,6:15 PM,LV Eagleview 1,U11B,,COV2,
492,4/2/2014,6:15 PM,LV Eagleview 1,U11B,,LV1,
209,4/2/2014,6:15 PM,LV Eagleview 2,U11A,,ABG,
209,4/2/2014,6:15 PM,LV Eagleview 2,U11A,,LV,
165,4/2/2014,6:15 PM,ST TE Middle Sch 1,U11A,,AVG,
165,4/2/2014,6:15 PM,ST TE Middle Sch 1,U11A,,ST,
548,4/2/2014,6:15 PM,ST TE Middle Sch 2,U11B,,KEN2,
548,4/2/2014,6:15 PM,ST TE Middle Sch 2,U11B,,ST,
171,4/2/2014,6:15 PM,WB Embreeville,U11A,,BYC,
171,4/2/2014,6:15 PM,WB Embreeville,U11A,,WB,
445,4/2/2014,6:15 PM,WC Kelly Field,U11B,,AVG1,
445,4/2/2014,6:15 PM,WC Kelly Field,U11B,,WC1,
190,4/2/2014,7:45 PM,WC Kelly Field,U11A,,WC1,
190,4/2/2014,7:45 PM,WC Kelly Field,U11A,,COV,
2,4/3/2014,6:15 PM,BYC GVMS Temple,U15A,,KEN,
2,4/3/2014,6:15 PM,BYC GVMS Temple,U15A,,BYC,
140,4/3/2014,7:00 PM,COV OJR HS,U13A,,ASH,
140,4/3/2014,7:00 PM,COV OJR HS,U13A,,COV,
50,4/3/2014,6:15 PM,GV Great Valley MS,U15A,,COV,
50,4/3/2014,6:15 PM,GV Great Valley MS,U15A,,GV,
40,4/3/2014,6:15 PM,LV Hoeffecker,U15A,,WC,
40,4/3/2014,6:15 PM,LV Hoeffecker,U15A,,LV,
279,4/3/2014,6:15 PM,ST Wilson Park CYL,U15B,,LV,
279,4/3/2014,6:15 PM,ST Wilson Park CYL,U15B,,ST,
57,4/3/2014,6:15 PM,ST Wilson Park TEYSA,U15A,,ASH,
57,4/3/2014,6:15 PM,ST Wilson Park TEYSA,U15A,,ST,
13,4/3/2014,6:15 PM,WB Downingtown MS,U15A,,AVG,
13,4/3/2014,6:15 PM,WB Downingtown MS,U15A,,WB,
296,4/3/2014,6:15 PM,WC Rustin HS Grass,U15B,,KEN,
296,4/3/2014,6:15 PM,WC Rustin HS Grass,U15B,,WC2,
274,4/3/2014,6:15 PM,WC Rustin HS Stadium,U15B,,WC1,
274,4/3/2014,6:15 PM,WC Rustin HS Stadium,U15B,,COV,
114,4/4/2014,6:15 PM,ABG Huntingdon Lower S,U13A,,WB,
114,4/4/2014,6:15 PM,ABG Huntingdon Lower S,U13A,,ABG,
512,4/5/2014,3:15 PM,ABG Huntingdon Lower S,U11B,,ST,
512,4/5/2014,3:15 PM,ABG Huntingdon Lower S,U11B,,ABG3,
218,4/5/2014,1:30 PM,ASH Lower Merion HS,U11A,,CVL,
218,4/5/2014,1:30 PM,ASH Lower Merion HS,U11A,,ASH,
19,4/5/2014,5:00 PM,AVG Avon Grove HS 1,U15A,,AVG,
19,4/5/2014,5:00 PM,AVG Avon Grove HS 1,U15A,,ABG,
7,4/5/2014,3:00 PM,AVG Avon Grove HS 2,U15A,,ST,
7,4/5/2014,3:00 PM,AVG Avon Grove HS 2,U15A,,KEN,
29,4/5/2014,5:00 PM,AVG Avon Grove HS 2,U15A,,BYC,
29,4/5/2014,5:00 PM,AVG Avon Grove HS 2,U15A,,COV,
393,4/5/2014,10:00 AM,AVG Harmony Park,U13B,,UNV,
393,4/5/2014,10:00 AM,AVG Harmony Park,U13B,,AVG,
265,4/5/2014,11:45 AM,AVG Harmony Park,U13C,,UNV,
265,4/5/2014,11:45 AM,AVG Harmony Park,U13C,,AVG,
427,4/5/2014,1:30 PM,AVG Harmony Park,U11B,,KEN1,
427,4/5/2014,1:30 PM,AVG Harmony Park,U11B,,AVG1,
459,4/5/2014,10:00 AM,BYC Concord Muni 2,U11B,,BYC2,
459,4/5/2014,10:00 AM,BYC Concord Muni 2,U11B,,BYC1,
553,4/5/2014,11:45 AM,BYC Concord Muni 2,U11B,,ASH,
553,4/5/2014,11:45 AM,BYC Concord Muni 2,U11B,,BYC3,
536,4/5/2014,10:00 AM,COV Batdorf Park,U11B,,COV3,
536,4/5/2014,10:00 AM,COV Batdorf Park,U11B,,COV1,
169,4/5/2014,11:45 AM,COV Batdorf Park,U11A,,BYC,
169,4/5/2014,11:45 AM,COV Batdorf Park,U11A,,COV,
88,4/5/2014,1:30 PM,COV Batdorf Park,U13A,,AVG,
88,4/5/2014,1:30 PM,COV Batdorf Park,U13A,,COV,
539,4/5/2014,10:00 AM,CVL Evans Elem,U11B,,COV2,
539,4/5/2014,10:00 AM,CVL Evans Elem,U11B,,CVL3,
324,4/5/2014,11:45 AM,CVL Evans Elem,U13B,,WC2,
324,4/5/2014,11:45 AM,CVL Evans Elem,U13B,,CVL,
331,4/5/2014,12:15 PM,GV Great Valley MS,U13B,,COV1,
331,4/5/2014,12:15 PM,GV Great Valley MS,U13B,,GV,
72,4/5/2014,2:00 PM,GV Great Valley MS,U13A,,KEN,
72,4/5/2014,2:00 PM,GV Great Valley MS,U13A,,GV,
48,4/5/2014,3:45 PM,GV Great Valley MS,U15A,,ASH,
48,4/5/2014,3:45 PM,GV Great Valley MS,U15A,,GV,
435,4/5/2014,11:45 AM,KEN Kennett HS,U11B,,WC2,
435,4/5/2014,11:45 AM,KEN Kennett HS,U11B,,KEN2,
401,4/5/2014,10:00 AM,KEN Legacy Field C,U13B,,BYC2,
401,4/5/2014,10:00 AM,KEN Legacy Field C,U13B,,KEN1,
118,4/5/2014,10:00 AM,LV Hoeffecker,U13A,,WC,
118,4/5/2014,10:00 AM,LV Hoeffecker,U13A,,LV,
488,4/5/2014,11:45 AM,LV Hoeffecker,U11B,,ABG1,
488,4/5/2014,11:45 AM,LV Hoeffecker,U11B,,LV1,
500,4/5/2014,1:30 PM,LV Hoeffecker,U11B,,ABG2,
500,4/5/2014,1:30 PM,LV Hoeffecker,U11B,,LV2,
365,4/5/2014,3:15 PM,LV Hoeffecker,U13B,,BYC1,
365,4/5/2014,3:15 PM,LV Hoeffecker,U13B,,LV2,
504,4/5/2014,5:00 PM,LV Hoeffecker,U11B,,CVL1,
504,4/5/2014,5:00 PM,LV Hoeffecker,U11B,,LV3,
273,4/5/2014,10:00 AM,LV Pine Creek 2,U15B,,COV,
273,4/5/2014,10:00 AM,LV Pine Creek 2,U15B,,LV,
259,4/5/2014,11:45 AM,LV Pine Creek 2,U13C,,BYC,
259,4/5/2014,11:45 AM,LV Pine Creek 2,U13C,,LV,
411,4/5/2014,1:30 PM,ST TE Middle Sch 2,U13B,,WC3,
411,4/5/2014,1:30 PM,ST TE Middle Sch 2,U13B,,ST2,
347,4/5/2014,3:15 PM,ST TE Middle Sch 2,U13B,,LV1,
347,4/5/2014,3:15 PM,ST TE Middle Sch 2,U13B,,ST1,
95,4/5/2014,5:00 PM,ST Wilson Park CYL,U13A,,BYC,
95,4/5/2014,5:00 PM,ST Wilson Park CYL,U13A,,ST,
175,4/5/2014,3:45 PM,UNV Upland Country DS,U11A,,LV,
175,4/5/2014,3:45 PM,UNV Upland Country DS,U11A,,UNV,
185,4/5/2014,1:30 PM,WB Embreeville,U11A,,ST,
185,4/5/2014,1:30 PM,WB Embreeville,U11A,,WB,
476,4/5/2014,3:15 PM,WB Embreeville,U11B,,GV1,
476,4/5/2014,3:15 PM,WB Embreeville,U11B,,WB2,
33,4/5/2014,5:00 PM,WB Embreeville,U15A,,LV,
33,4/5/2014,5:00 PM,WB Embreeville,U15A,,WB,
45,4/5/2014,10:00 AM,WC Henderson HS,U15A,,CVL,
45,4/5/2014,10:00 AM,WC Henderson HS,U15A,,WC,
294,4/5/2014,11:45 AM,WC Henderson HS,U15B,,WB,
294,4/5/2014,11:45 AM,WC Henderson HS,U15B,,WC2,
191,4/5/2014,11:45 AM,WC Kelly Field,U11A,,WC2,
191,4/5/2014,11:45 AM,WC Kelly Field,U11A,,WC1,
455,4/5/2014,1:30 PM,WC Kelly Field,U11B,,AVG2,
455,4/5/2014,1:30 PM,WC Kelly Field,U11B,,WC1,
338,4/5/2014,3:15 PM,WC Kelly Field,U13B,,COV2,
338,4/5/2014,3:15 PM,WC Kelly Field,U13B,,WC1,
384,4/5/2014,5:00 PM,WC Kelly Field,U13B,,KEN2,
384,4/5/2014,5:00 PM,WC Kelly Field,U13B,,WC4,
280,4/5/2014,1:30 PM,WC Rustin HS Grass,U15B,,ST,
280,4/5/2014,1:30 PM,WC Rustin HS Grass,U15B,,WC1,
227,4/5/2014,3:15 PM,WC Rustin HS Grass,U13C,,CVL,
227,4/5/2014,3:15 PM,WC Rustin HS Grass,U13C,,WC,
366,4/7/2014,6:15 PM,BYC GVMS Temple,U13B,,LV2,
366,4/7/2014,6:15 PM,BYC GVMS Temple,U13B,,BYC2,
418,4/7/2014,6:15 PM,COV Batdorf Park,U13B,,WC4,
418,4/7/2014,6:15 PM,COV Batdorf Park,U13B,,COV2,
318,4/7/2014,6:15 PM,CVL Black Rock 6,U13B,,ABG,
318,4/7/2014,6:15 PM,CVL Black Rock 6,U13B,,CVL,
293,4/7/2014,6:15 PM,KEN Kennett HS,U15B,,WC1,
293,4/7/2014,6:15 PM,KEN Kennett HS,U15B,,KEN,
395,4/7/2014,6:15 PM,KEN Kennett MS,U13B,,UNV,
395,4/7/2014,6:15 PM,KEN Kennett MS,U13B,,KEN2,
357,4/7/2014,6:15 PM,LV Lionville MS,U13B,,WC2,
357,4/7/2014,6:15 PM,LV Lionville MS,U13B,,LV1,
225,4/7/2014,6:15 PM,ST TE Middle Sch 1,U13C,,CVL,
225,4/7/2014,6:15 PM,ST TE Middle Sch 1,U13C,,ST2,
353,4/7/2014,6:15 PM,ST TE Middle Sch 2,U13B,,GV,
353,4/7/2014,6:15 PM,ST TE Middle Sch 2,U13B,,ST2,
282,4/7/2014,6:15 PM,WB Downingtown MS,U15B,,ST,
282,4/7/2014,6:15 PM,WB Downingtown MS,U15B,,WB,
417,4/7/2014,6:15 PM,WC Kelly Field,U13B,,COV1,
417,4/7/2014,6:15 PM,WC Kelly Field,U13B,,WC3,
275,4/7/2014,7:45 PM,WC Kelly Field,U15B,,COV,
275,4/7/2014,7:45 PM,WC Kelly Field,U15B,,WC2,
131,4/8/2014,6:15 PM,ASH Lower Merion HS,U13A,,LV,
131,4/8/2014,6:15 PM,ASH Lower Merion HS,U13A,,ASH,
398,4/8/2014,6:15 PM,BYC Bethel Spr ES 12,U13B,,AVG,
398,4/8/2014,6:15 PM,BYC Bethel Spr ES 12,U13B,,BYC1,
90,4/8/2014,6:15 PM,BYC GVMS Temple,U13A,,UNV,
90,4/8/2014,6:15 PM,BYC GVMS Temple,U13A,,BYC,
122,4/8/2014,7:00 PM,COV OJR HS,U13A,,WC,
122,4/8/2014,7:00 PM,COV OJR HS,U13A,,COV,
143,4/8/2014,6:15 PM,CVL Mt Kirk,U13A,,ABG,
143,4/8/2014,6:15 PM,CVL Mt Kirk,U13A,,CVL,
15,4/8/2014,6:15 PM,GV Great Valley MS,U15A,,AVG,
15,4/8/2014,6:15 PM,GV Great Valley MS,U15A,,GV,
67,4/8/2014,6:15 PM,KEN Legacy Field B,U13A,,AVG,
67,4/8/2014,6:15 PM,KEN Legacy Field B,U13A,,KEN,
53,4/8/2014,6:15 PM,LV Hoeffecker,U15A,,ASH,
53,4/8/2014,6:15 PM,LV Hoeffecker,U15A,,LV,
257,4/8/2014,6:15 PM,LV Pine Creek 2,U13C,,WC,
257,4/8/2014,6:15 PM,LV Pine Creek 2,U13C,,LV,
349,4/8/2014,6:15 PM,ST TE Middle Sch 1,U13B,,WC1,
349,4/8/2014,6:15 PM,ST TE Middle Sch 1,U13B,,ST1,
232,4/8/2014,6:15 PM,ST TE Middle Sch 2,U13C,,ABG,
232,4/8/2014,6:15 PM,ST TE Middle Sch 2,U13C,,ST1,
112,4/8/2014,6:15 PM,ST Wilson Park TEYSA,U13A,,WB,
112,4/8/2014,6:15 PM,ST Wilson Park TEYSA,U13A,,ST,
264,4/8/2014,6:15 PM,UNV Patton MS 17,U13C,,BYC,
264,4/8/2014,6:15 PM,UNV Patton MS 17,U13C,,UNV,
388,4/8/2014,6:15 PM,WB Embreeville,U13B,,KEN1,
388,4/8/2014,6:15 PM,WB Embreeville,U13B,,WB,
501,4/9/2014,6:15 PM,ABG Huntingdon Lower N,U11B,,LV3,
501,4/9/2014,6:15 PM,ABG Huntingdon Lower N,U11B,,ABG1,
489,4/9/2014,6:15 PM,ABG Huntingdon Lower S,U11B,,LV1,
489,4/9/2014,6:15 PM,ABG Huntingdon Lower S,U11B,,ABG2,
516,4/9/2014,6:15 PM,ASH Lower Merion HS,U11B,,CVL1,
516,4/9/2014,6:15 PM,ASH Lower Merion HS,U11B,,ASH,
444,4/9/2014,6:15 PM,AVG Harmony Park,U11B,,WB2,
444,4/9/2014,6:15 PM,AVG Harmony Park,U11B,,AVG1,
166,4/9/2014,6:15 PM,BYC Concord Muni 2,U11A,,ASH,
166,4/9/2014,6:15 PM,BYC Concord Muni 2,U11A,,BYC,
543,4/9/2014,6:15 PM,COV Batdorf Park,U11B,,CVL3,
543,4/9/2014,6:15 PM,COV Batdorf Park,U11B,,COV3,
203,4/9/2014,7:00 PM,COV OJR HS,U11A,,GV,
203,4/9/2014,7:00 PM,COV OJR HS,U11A,,COV,
558,4/9/2014,6:15 PM,GV Great Valley MS,U11B,,COV1,
558,4/9/2014,6:15 PM,GV Great Valley MS,U11B,,GV1,
560,4/9/2014,6:15 PM,KEN Legacy Field B,U11B,,GV2,
560,4/9/2014,6:15 PM,KEN Legacy Field B,U11B,,KEN1,
211,4/9/2014,6:15 PM,LV Eagleview 2,U11A,,CVL,
211,4/9/2014,6:15 PM,LV Eagleview 2,U11A,,LV,
176,4/9/2014,6:15 PM,ST TE Middle Sch 1,U11A,,UNV,
176,4/9/2014,6:15 PM,ST TE Middle Sch 1,U11A,,ST,
148,4/9/2014,6:15 PM,WB Embreeville,U11A,,KEN,
148,4/9/2014,6:15 PM,WB Embreeville,U11A,,WB,
