game,date,time,field,bracket,ROUND,team,SCORE
2844882,4/11/15,9:15 AM,Harvard U. Field 1,South U13 Intermediate ,1,Quincy U13,
2844882,4/11/15,9:15 AM,Harvard U. Field 1,MetroNorth U13 High Intermediate ,1,Lexington U13 Blue,
2844888,4/11/15,9:15 AM,Harvard U. Field 3,North U13 Intermediate ,1,Melrose U13 Red,
2844888,4/11/15,9:15 AM,Harvard U. Field 3,North U13 High Intermediate ,1,Charlestown U13,
2844894,4/11/15,10:30 AM,Harvard U. Field 1,South U13 Advanced ,1,Marthas Vineyard U13,
2844894,4/11/15,10:30 AM,Harvard U. Field 1,MetroWest South U13 Advanced ,1,King Philip U13 ,
2844897,4/11/15,10:30 AM,Harvard U. Field 2,MetroNorth U15 High Intermediate ,1,Dracut U15G Carolina,
2844897,4/11/15,10:30 AM,Harvard U. Field 2,MetroWest South U15 Intermediate ,1,Sharon U15,
2844901,4/11/15,10:30 AM,Harvard U. Field 3,MetroNorth U15 High Intermediate ,1,Lexington U15 Blue,
2844901,4/11/15,10:30 AM,Harvard U. Field 3,North U15 High Intermediate ,1,Melrose U15,
2844905,4/11/15,11:45 AM,Harvard U. Field 1,South U15 Advanced ,1,Falmouth U15,
2844905,4/11/15,11:45 AM,Harvard U. Field 1,North U15 Beginner ,1,Medford U15,
2844908,4/11/15,11:45 AM,Harvard U. Field 2,MetroWest South U15 Advanced ,1,King Philip U15 Green,
2844908,4/11/15,11:45 AM,Harvard U. Field 2,South U15 Advanced ,1,Marthas Vineyard U15,
2844912,4/11/15,11:45 AM,Harvard U. Field 3,North U15 High Intermediate ,1,Charlestown U15,
2844912,4/11/15,11:45 AM,Harvard U. Field 3,South U15 Intermediate ,1,Quincy U15,
