GAME,DATE,time,field,bracket,ROUND,team,score
1,,8:00 AM,Tinicum #1,White,1,Interboro Bucs,
1,,8:00 AM,Tinicum #1,White,1,Springfield Warriors,
2,,8:00 AM,Tinicum #2,White,1,Aston United,
2,,8:00 AM,Tinicum #2,White,1,BYC Chaos,
3,,8:00 AM,Edgewood,White,1,MNSA Ambush,
3,,8:00 AM,Edgewood,White,1,Springfield Shamrocks,
4,,8:00 AM,Mann,White,1,RUSC Rage,
4,,8:00 AM,Mann,White,1,Montgomery Juventus,
5,,8:00 AM,Catania Park #1,Green,1,RUSC Rebels,
5,,8:00 AM,Catania Park #1,Green,1,GVSC Hot Shots,
6,,8:00 AM,Catania Park #2,Green,1,LMSC Liberty,
6,,8:00 AM,Catania Park #2,Green,1,Aston Lightning,
7,,8:00 AM,RHS #1,White,1,RUSC Storm,
7,,8:00 AM,RHS #1,White,1,BYC Whales,
8,,8:00 AM,Tinicum #3,Green,1,BYC Fury,
8,,8:00 AM,Tinicum #3,Green,1,WCU Eagles,
9,,8:00 AM,RHS #3,White,1,RUSC Stingers,
9,,8:00 AM,RHS #3,White,1,Haverford Spirit,
10,,8:00 AM,RHS #4,White,1,Rose Tree Fireworks,
10,,8:00 AM,RHS #4,White,1,White Clay Firehawks,
11,,8:00 AM,RHS #6,,1,Rose Tree Breeze,
11,,8:00 AM,RHS #6,,1,Aston Avalanche,
12,,8:00 AM,RMS Upper,Green,1,Rose Tree Rebels,
12,,8:00 AM,RMS Upper,Green,1,Aston Strikers,
13,,8:00 AM,RHS #2,Green,1,BYC Strikers,
13,,8:00 AM,RHS #2,Green,1,RUSC Rockers,
14,,9:00 AM,Tinicum #1,Green,1,RUSC Rams,
14,,9:00 AM,Tinicum #1,Green,1,Springfield Celtic,
15,,9:00 AM,Tinicum #2,Green,1,Haverford Heat Wave,
15,,9:00 AM,Tinicum #2,Green,1,BYC United,
16,,9:00 AM,Edgewood,White,1,RUSC Raiders,
16,,9:00 AM,Edgewood,White,1,Aston Devils,
17,,9:00 AM,Mann,White,2,Interboro Bucs,
17,,9:00 AM,Mann,White,1,BYC Explosion,
18,,9:00 AM,Catania Park #1,White,1,RUSC Revenge,
18,,9:00 AM,Catania Park #1,White,1,MNSA Crush,
19,,9:00 AM,Catania Park #2,White,1,Haveford Wildcats,
19,,9:00 AM,Catania Park #2,White,1,Springfield Sparks,
20,,9:00 AM,RHS #1,White,1,Springfield Chargers,
20,,9:00 AM,RHS #1,White,1,GVSC Griffins,
21,,9:00 AM,Tinicum #3,Green,1,Aston Rage,
21,,9:00 AM,Tinicum #3,Green,1,BYC Cobras,
22,,9:00 AM,RHS #6,,1,RUSC Rolling Thunder,
22,,9:00 AM,RHS #6,,1,White Clay Lightning,
23,,9:00 AM,RHS #3,Green,1,Springfield Sizzle,
23,,9:00 AM,RHS #3,Green,1,Interboro Thunder,
24,,9:00 AM,RHS #4,Green,1,Haverford Lightning,
24,,9:00 AM,RHS #4,Green,1,Montgomery Revolution,
25,,9:00 AM,RMS Upper,Green,1,Harford FC United,
25,,9:00 AM,RMS Upper,Green,1,BYC Blaze,
26,,9:00 AM,RHS #5,Green,1,RUSC Dynamite,
26,,9:00 AM,RHS #5,Green,1,BYC Spartaks,
27,,9:00 AM,Interboro JV,White,1,Interboro Wizards,
27,,9:00 AM,Interboro JV,White,1,GVSC Stealth,
28,,9:00 AM,Interboro Varsity,White,1,RUSC Rebels,
28,,9:00 AM,Interboro Varsity,White,1,Rose Tree Outlawz,
29,,9:00 AM,RMS Lower,Green,1,RUSC Strikers,
29,,9:00 AM,RMS Lower,Green,1,BYC Galaxy,
30,,9:00 AM,Amosland,,1,Aston Revolution,
30,,9:00 AM,Amosland,,1,Rose Tree Strikers,
31,,9:00 AM,RHS #2,Green,1,Chicester SC Cheetahs,
31,,9:00 AM,RHS #2,Green,1,RUSC Rhinos,
32,,10:00 AM,Edgewood,Green,1,Haverford Blackout,
32,,10:00 AM,Edgewood,Green,1,BYC Tigers,
33,,10:00 AM,Mann,Green,1,RUSC Rampage,
33,,10:00 AM,Mann,Green,1,Haverford Red,
34,,10:00 AM,Catania Park #1,Green,2,BYC Strikers,
34,,10:00 AM,Catania Park #1,Green,1,Towamencin Titans,
35,,10:00 AM,Catania Park #2,Green,1,BYC Blue Sharks,
35,,10:00 AM,Catania Park #2,Green,1,FC York,
36,,10:00 AM,RHS #1,White,1,HSC Tornadoes,
36,,10:00 AM,RHS #1,White,2,RUSC Storm,
37,,10:00 AM,Tinicum #3,Green,1,HFC Defazio United,
37,,10:00 AM,Tinicum #3,Green,2,BYC Fury,
38,,10:00 AM,Tinicum #1,Green,1,RUSC Rumble,
38,,10:00 AM,Tinicum #1,Green,1,Haverford Revolution,
39,,10:00 AM,Tinicum #2,Green,1,Springfield Sharks,
39,,10:00 AM,Tinicum #2,Green,1,Amity AC Storm,
40,,10:00 AM,RHS #6,,1,Nether Lenape Thunder,
40,,10:00 AM,RHS #6,,2,Rose Tree Breeze,
41,,10:00 AM,RHS #3,White,1,Lower Merion Fear,
41,,10:00 AM,RHS #3,White,1,Haverford Red Flash,
42,,10:00 AM,RHS #4,White,1,RUSC Revolution,
42,,10:00 AM,RHS #4,White,1,Blue White '10 SC Panthers,
43,,10:00 AM,Interboro JV,,1,BYC Dragons,
43,,10:00 AM,Interboro JV,,1,HFC United,
44,,10:00 AM,Interboro Varsity,,1,Lionville Kixx,
44,,10:00 AM,Interboro Varsity,,1,Aston Storm,
45,,10:00 AM,RMS Upper,Green,1,RUSC Rockets,
45,,10:00 AM,RMS Upper,Green,2,Rose Tree Rebels,
46,,10:00 AM,RHS #5,Green,1,FC York 99 Elite,
46,,10:00 AM,RHS #5,Green,1,Aston Fury,
47,,10:00 AM,RMS Lower,Green,1,West Mont United Union,
47,,10:00 AM,RMS Lower,Green,1,Harford FC Lazers United,
48,,10:00 AM,Amosland,,1,Towamencin Thrashers,
48,,10:00 AM,Amosland,,1,RUSC Young Guns,
49,,10:00 AM,RHS #2,Green,1,West Deptford Storm,
49,,10:00 AM,RHS #2,Green,3,BYC Strikers,
50,,11:00 AM,Tinicum #1,White,2,Aston United,
50,,11:00 AM,Tinicum #1,White,3,Interboro Bucs,
51,,11:00 AM,Tinicum #2,White,2,Springfield Warriors,
51,,11:00 AM,Tinicum #2,White,2,BYC Chaos,
52,,11:00 AM,Edgewood,White,2,Montgomery Juventus,
52,,11:00 AM,Edgewood,White,2,Springfield Shamrocks,
53,,11:00 AM,Mann,White,2,MNSA Ambush,
53,,11:00 AM,Mann,White,2,RUSC Rage,
54,,11:00 AM,Catania Park #1,Green,2,LMSC Liberty,
54,,11:00 AM,Catania Park #1,Green,2,RUSC Rebels,
55,,11:00 AM,Catania Park #2,Green,2,GVSC Hot Shots,
55,,11:00 AM,Catania Park #2,Green,2,Aston Lightning,
56,,11:00 AM,RHS #1,White,1,HFC United - White,
56,,11:00 AM,RHS #1,White,2,Springfield Chargers,
57,,11:00 AM,Tinicum #3,Green,1,Rose Tree Thunder,
57,,11:00 AM,Tinicum #3,Green,2,Aston Rage,
58,,11:00 AM,RHS #3,White,2,Rose Tree Fireworks,
58,,11:00 AM,RHS #3,White,2,RUSC Stingers,
59,,11:00 AM,RHS #4,White,2,Haverford Spirit,
59,,11:00 AM,RHS #4,White,2,White Clay Firehawks,
60,,11:00 AM,RHS #6,,1,Springfield Storm,
60,,11:00 AM,RHS #6,,2,RUSC Rolling Thunder,
61,,11:00 AM,RMS Upper,Green,1,Bel Air FC Blaze,
61,,11:00 AM,RMS Upper,Green,2,Harford FC United,
62,,11:00 AM,Interboro JV,White,2,Rose Tree Outlawz,
62,,11:00 AM,Interboro JV,White,2,GVSC Stealth,
