game,date,time,field,bracket,ROUND,team,SCORE
5194109,4/12/15,8:00 AM,TBD,Boys U13 B2,1,Hooksett,
5194109,4/12/15,8:00 AM,TBD,Boys U13 B2,1,Cocheco,
5200239,4/12/15,8:00 AM,Sachem Field,Boys U15 B,1,Hanover,
5200239,4/12/15,8:00 AM,Sachem Field,Boys U15 B,1,Black Bear,
5200163,4/12/15,8:00 AM,Souhegan HS,Boys U13 B1,1,Amherst U13B - Black,
5200163,4/12/15,8:00 AM,Souhegan HS,Boys U13 B1,1,JSG U13B,
5200242,4/12/15,8:00 AM,Dublin School,Boys U15 B,1,Hooksett,
5200242,4/12/15,8:00 AM,Dublin School,Boys U15 B,1,Peterborough,
5182939,4/12/15,8:00 AM,Lower Bean,Girls U15 A,1,Amherst U15A - Gold,
5182939,4/12/15,8:00 AM,Lower Bean,Girls U15 A,1,Windham U15 Cornell,
5182160,4/12/15,8:00 AM,Presentation of Mary,Boys U15 A,1,Windham U15,
5182160,4/12/15,8:00 AM,Presentation of Mary,Boys U15 A,1,Amherst U15A - Gold,
5187754,4/12/15,8:00 AM,Lincoln Field,Girls U9 B,1,Londonderry U9 Cobras,
5187754,4/12/15,8:00 AM,Lincoln Field,Girls U9 B,1,Nashua - Purple,
5182649,4/12/15,8:00 AM,L'Derry Middle School,Boys U11 A,1,Londonderry Boys U11 Razors,
5182649,4/12/15,8:00 AM,L'Derry Middle School,Boys U11 A,1,Bedford,
5183073,4/12/15,8:00 AM,Bedford HS,Girls U13 A,1,Londonderry Girls U13,
5183073,4/12/15,8:00 AM,Bedford HS,Girls U13 A,1,Bedford,
5200164,4/12/15,8:00 AM,little river park,Boys U13 B1,1,ORYA White,
5200164,4/12/15,8:00 AM,little river park,Boys U13 B1,1,Nashua - Purple,
5200236,4/12/15,8:00 AM,Bolton Field,Boys U15 B,1,JSG U15B,
5200236,4/12/15,8:00 AM,Bolton Field,Boys U15 B,1,Nashua,
5200244,4/12/15,8:00 AM,Exeter High School,Boys U15 B,1,Exeter,
5200244,4/12/15,8:00 AM,Exeter High School,Boys U15 B,1,Derry U15B,
5183186,4/12/15,8:00 AM,Stellos Stadium,Girls U11 A,1,Nashua ,
5183186,4/12/15,8:00 AM,Stellos Stadium,Girls U11 A,1,Concord Crush Orange,
5182938,4/12/15,8:00 AM,Martin Field,Girls U15 A,1,Concord Crush Orange,
5182938,4/12/15,8:00 AM,Martin Field,Girls U15 A,1,ORYA Red,
5200886,4/12/15,8:00 AM,Humphrey Field,Boys U11 C,1,Derry U11C,
5200886,4/12/15,8:00 AM,Humphrey Field,Boys U11 C,1,Exeter - White,
5182983,4/12/15,8:00 AM,Nashua Road,Girls U13 B,1,Windham U13 Virginia,
5182983,4/12/15,8:00 AM,Nashua Road,Girls U13 B,1,Merrimack Valley Blue Storm,
5182869,4/12/15,8:00 AM,Bridge Road,Girls U15 B,1,Plymouth Youth Lacrosse,
5182869,4/12/15,8:00 AM,Bridge Road,Girls U15 B,1,MYL Girls U15B Junior Tomahawks,
5208147,4/12/15,8:00 AM,Searles School,Boys U9 B,1,Windham U9 Navy,
5208147,4/12/15,8:00 AM,Searles School,Boys U9 B,1,Hooksett,
5200888,4/12/15,8:00 AM,Proctor Academy,Boys U11 C,1,Concord Crush White,
5200888,4/12/15,8:00 AM,Proctor Academy,Boys U11 C,1,Hampstead,
5208142,4/12/15,8:00 AM,Reeds 4,Boys U9 B,1,MYL Boys U9B Junior Tomahawks 1,
5208142,4/12/15,8:00 AM,Reeds 4,Boys U9 B,1,Londonderry Boys U9 Cougars,
5208140,4/12/15,8:00 AM,Memorial HS,Boys U9 B,1,MPAL U9 White,
5208140,4/12/15,8:00 AM,Memorial HS,Boys U9 B,1,Londonderry Boys U9 Jaguars,
5182159,4/12/15,8:00 AM,Boscawen Elementary ,Boys U15 A,1,Merrimack Valley Blue Storm,
5182159,4/12/15,8:00 AM,Boscawen Elementary ,Boys U15 A,1,Cocheco,
5187755,4/12/15,9:00 AM,Phanzone,Girls U9 B,1,Hampstead,
5187755,4/12/15,9:00 AM,Phanzone,Girls U9 B,1,Amherst U9B - Gold,
5187246,4/12/15,9:00 AM,Presentation of Mary,Boys U13 A,1,Windham U13A,
5187246,4/12/15,9:00 AM,Presentation of Mary,Boys U13 A,1,Pelham Outlaws,
5208149,4/12/15,9:00 AM,Walmart Field,Boys U9 B,1,Salem Snipers,
5208149,4/12/15,9:00 AM,Walmart Field,Boys U9 B,1,Hopkinton U9 boys,
5187758,4/12/15,9:00 AM,New Hampton School Turf,Girls U9 B,1,Lakes Region Lacrosse Club,
5187758,4/12/15,9:00 AM,New Hampton School Turf,Girls U9 B,1,Pelham Lady Outlaws,
5200241,4/12/15,9:00 AM,Nichols Field,Boys U15 B,1,Hollis Brookline,
5200241,4/12/15,9:00 AM,Nichols Field,Boys U15 B,1,Rattlers U15B,
5200234,4/12/15,9:00 AM,Sodexho Field,Boys U15 B,1,Keene Crush,
5200234,4/12/15,9:00 AM,Sodexho Field,Boys U15 B,1,Londonderry Boys U15 Warriors,
5200952,4/12/15,9:00 AM,Portsmouth High,Boys U11 B2,1,Seacoast,
5200952,4/12/15,9:00 AM,Portsmouth High,Boys U11 B2,1,MPAL U11 White,
5200157,4/12/15,9:15 AM,East Road Fields,Boys U13 B1,1,Rattlers U13B1,
5200157,4/12/15,9:15 AM,East Road Fields,Boys U13 B1,1,Londonderry Boys U13 Hawks,
5182973,4/12/15,9:15 AM,KSC turf,Girls U13 B,1,Keene Crush,
5182973,4/12/15,9:15 AM,KSC turf,Girls U13 B,1,MPAL U13,
5194108,4/12/15,9:15 AM,Memorial HS,Boys U13 B2,1,MPAL U13 Blue,
5194108,4/12/15,9:15 AM,Memorial HS,Boys U13 B2,1,Peterborough,
5182648,4/12/15,9:15 AM,Depot Road Field,Boys U11 A,1,Hampstead,
5182648,4/12/15,9:15 AM,Depot Road Field,Boys U11 A,1,Cocheco,
5182161,4/12/15,9:15 AM,Humphrey Field,Boys U15 A,1,Derry U15A,
5182161,4/12/15,9:15 AM,Humphrey Field,Boys U15 A,1,Hampstead,
5187400,4/12/15,9:15 AM,L'Derry Middle School,Boys U11 B1,1,Londonderry Boys U11 Lynx,
5187400,4/12/15,9:15 AM,L'Derry Middle School,Boys U11 B1,1,Pelham Outlaws,
5187836,4/12/15,9:15 AM,Searles School,Boys U9 A,1,Windham U9 Cornell,
5187836,4/12/15,9:15 AM,Searles School,Boys U9 A,1,Pelham Outlaws,
5187245,4/12/15,9:15 AM,West Road Field #1,Boys U13 A,1,Londonderry Boys U13 Falcons,
5187245,4/12/15,9:15 AM,West Road Field #1,Boys U13 A,1,Bedford,
5187833,4/12/15,9:15 AM,Bolton Field,Boys U9 A,1,JSG U9 Boys,
5187833,4/12/15,9:15 AM,Bolton Field,Boys U9 A,1,Bedford,
5183115,4/12/15,9:15 AM,Bedford HS,Girls U11 B,1,Hampton Lacrosse - Green,
5183115,4/12/15,9:15 AM,Bedford HS,Girls U11 B,1,Bedford,
5187757,4/12/15,9:15 AM,Houston Field #1,Girls U9 B,1,Hopkinton U9 Girls,
5187757,4/12/15,9:15 AM,Houston Field #1,Girls U9 B,1,Amherst U9B - Black,
5183074,4/12/15,9:15 AM,Nashua Road,Girls U13 A,1,Windham U13 Duke,
5183074,4/12/15,9:15 AM,Nashua Road,Girls U13 A,1,Seacoast,
5208144,4/12/15,9:15 AM,Reeds 4,Boys U9 B,1,MYL Boys U9B Junior Tomahawks 2,
5208144,4/12/15,9:15 AM,Reeds 4,Boys U9 B,1,Litchfield U9,
5183071,4/12/15,9:15 AM,Stellos Stadium,Girls U13 A,1,Nashua - Purple,
5183071,4/12/15,9:15 AM,Stellos Stadium,Girls U13 A,1,Amherst U13A - Gold,
5182976,4/12/15,9:15 AM,Martin Field,Girls U13 B,1,Concord Crush Orange,
5182976,4/12/15,9:15 AM,Martin Field,Girls U13 B,1,Amherst U13B - Black,
5194111,4/12/15,9:15 AM,Tilton School Burch Fiel,Boys U13 B2,1,Laconia Sachems,
5194111,4/12/15,9:15 AM,Tilton School Burch Fiel,Boys U13 B2,1,Bow,
5208150,4/12/15,9:15 AM,Dublin School,Boys U9 B,1,Peterborough,
5208150,4/12/15,9:15 AM,Dublin School,Boys U9 B,1,Keene Crush,
5187242,4/12/15,9:15 AM,little river park,Boys U13 A,1,ORYA Red,
5187242,4/12/15,9:15 AM,little river park,Boys U13 A,1,Seacoast,
5183185,4/12/15,9:15 AM,West Road Field #2,Girls U11 A,1,Londonderry U11 Girls,
5183185,4/12/15,9:15 AM,West Road Field #2,Girls U11 A,1,Exeter,
5200954,4/12/15,9:15 AM,Souhegan HS,Boys U11 B2,1,Amherst U11B - Black,
5200954,4/12/15,9:15 AM,Souhegan HS,Boys U11 B2,1,Merrimack Valley Blue Storm,
5200328,4/12/15,9:15 AM,Bridge Road,Boys U15 C,1,Plymouth Youth Lacrosse,
5200328,4/12/15,9:15 AM,Bridge Road,Boys U15 C,1,MYL Boys U15B Junior Tomahawks,
5194112,4/12/15,9:15 AM,LLA - Sawmill Brook,Boys U13 B2,1,Litchfield U13,
5194112,4/12/15,9:15 AM,LLA - Sawmill Brook,Boys U13 B2,1,Abenaki-Wolfeboro,
5182867,4/12/15,9:30 AM,Proctor Academy,Girls U15 B,1,Hopkinton U15 Girls,
5182867,4/12/15,9:30 AM,Proctor Academy,Girls U15 B,1,Abenaki-Wolfeboro,
5194114,4/12/15,9:30 AM,Exeter High School,Boys U13 B2,1,Exeter,
5194114,4/12/15,9:30 AM,Exeter High School,Boys U13 B2,1,Concord Crush Black,
5200325,4/12/15,9:30 AM,Brewster Academy Turf,Boys U15 C,1,Abenaki-Wolfeboro,
5200325,4/12/15,9:30 AM,Brewster Academy Turf,Boys U15 C,1,MPAL U15 Blue,
5187753,4/12/15,10:00 AM,E. Derry Memorial School,Girls U9 B,1,Derry,
5187753,4/12/15,10:00 AM,E. Derry Memorial School,Girls U9 B,1,Bow,
5182650,4/12/15,10:00 AM,Presentation of Mary,Boys U11 A,1,Windham U11A,
