game,date,time,field,bracket,ROUND,team,SCORE
3767866,04/11/2015,9:00 AM,Wissahickon,A3,1,Wissahickon A,
3767866,04/11/2015,9:00 AM,Wissahickon,A3,1,Horsham A,
3767949,04/11/2015,9:00 AM,CCLC,B3,1,Crooked Crosse B,
3767949,04/11/2015,9:00 AM,CCLC,B3,1,Souderton B,
3767907,04/11/2015,9:00 AM,CBAA 2,B2,1,CBAA B,
3767907,04/11/2015,9:00 AM,CBAA 2,B2,1,Boyertown B,
3767831,04/11/2015,9:00 AM,William Penn Middle Scho,A3,1,Lower Bucks Blue A,
3767831,04/11/2015,9:00 AM,William Penn Middle Scho,A3,1,Lansing A,
3761666,04/11/2015,9:30 AM,Haven - King Field Turf,A3,1,Haven A,
3761666,04/11/2015,9:30 AM,Haven - King Field Turf,A3,1,Radnor Maroon A,
3767931,04/11/2015,10:00 AM,Twin Oaks Day Camp Field,B2,1,Warriors B,
3767931,04/11/2015,10:00 AM,Twin Oaks Day Camp Field,B2,1,Souderton B,
3761636,04/11/2015,10:00 AM,St Joe - Mary St,A2,1,StJoes A,
3761636,04/11/2015,10:00 AM,St Joe - Mary St,A2,1,Aston A,
3760514,04/11/2015,10:00 AM,Gauntlett Center,A1,1,Marple A,
3760514,04/11/2015,10:00 AM,Gauntlett Center,A1,1,Warriors A,
3767989,04/11/2015,10:00 AM,Spartan,B3,1,Spartan B,
3767989,04/11/2015,10:00 AM,Spartan,B3,1,North Penn B,
3760516,04/11/2015,10:00 AM,Wissahickon,A1,1,Wissahickon A,
3760516,04/11/2015,10:00 AM,Wissahickon,A1,1,Conshohocken A,
3767999,04/11/2015,10:30 AM,Nathaniel Boileau Park,B3,1,Upper Moreland B,
3767999,04/11/2015,10:30 AM,Nathaniel Boileau Park,B3,1,Council Rock B,
3750103,04/11/2015,10:30 AM,CBAA 1,A1A,1,CBAA  A,
3750103,04/11/2015,10:30 AM,CBAA 1,A1A,1,Council Rock A,
3767751,04/11/2015,10:30 AM,Deep Run,A1,1,Deep Run A,
3767751,04/11/2015,10:30 AM,Deep Run,A1,1,Boyertown A,
3750140,04/11/2015,10:30 AM,CCLC,A1A,1,Crooked Crosse A,
3750140,04/11/2015,10:30 AM,CCLC,A1A,1,Springfield A,
3770144,04/11/2015,10:30 AM,CBAA 2,B1A,1,CBAA B,
3770144,04/11/2015,10:30 AM,CBAA 2,B1A,1,Boyertown B,
3767887,04/11/2015,10:30 AM,Cedar Hill Park,B1,1,Horsham B,
3767887,04/11/2015,10:30 AM,Cedar Hill Park,B1,1,Warriors B,
3768575,04/11/2015,10:30 AM,Souderton,A2,1,Souderton White A,
3768575,04/11/2015,10:30 AM,Souderton,A2,1,Council Rock White A,
3767836,04/11/2015,10:30 AM,William Penn Middle Scho,A3,1,Lower Bucks White A,
3767836,04/11/2015,10:30 AM,William Penn Middle Scho,A3,1,Warriors A,
3767763,04/11/2015,10:30 AM,Perk Valley Middle Schoo,A1,1,Perkiomen Valley A,
3767763,04/11/2015,10:30 AM,Perk Valley Middle Schoo,A1,1,Horsham A,
3767851,04/11/2015,10:30 AM,Brooke Elementary School,A3,1,Spring-Ford A,
3767851,04/11/2015,10:30 AM,Brooke Elementary School,A3,1,North Penn A,
3760517,04/11/2015,11:00 AM,Haven - King Field Turf,A1,1,Haven A,
3760517,04/11/2015,11:00 AM,Haven - King Field Turf,A1,1,Ashbee A,
3767766,04/11/2015,11:30 AM,Spartan,A1,1,Spartan A,
3767766,04/11/2015,11:30 AM,Spartan,A1,1,North Penn A,
3761664,04/11/2015,11:45 AM,Gauntlett Center,A3,1,Marple Newtown A,
3761664,04/11/2015,11:45 AM,Gauntlett Center,A3,1,Haverford A,
3767954,04/11/2015,12:00 PM,Cedar Hill Park,B3,1,Horsham B,
3767954,04/11/2015,12:00 PM,Cedar Hill Park,B3,1,Lansing B,
3767923,04/11/2015,12:00 PM,PMYC Clubhouse Field,B2,1,Phoenixville B,
3767923,04/11/2015,12:00 PM,PMYC Clubhouse Field,B2,1,Deep Run B,
3768574,04/11/2015,12:00 PM,Souderton,A2,1,Souderton Red A,
3768574,04/11/2015,12:00 PM,Souderton,A2,1,Phoenixville A,
3763150,04/11/2015,12:00 PM,Harriton 1,B1A,1,Ashbee B,
3763150,04/11/2015,12:00 PM,Harriton 1,B1A,1,Springfield B,
3767778,04/11/2015,12:00 PM,CCLC,A2,1,Crooked Crosse A,
3767778,04/11/2015,12:00 PM,CCLC,A2,1,Council Rock Blue A,
3767786,04/11/2015,12:00 PM,William Penn Middle Scho,A2,1,Lower Bucks A,
3767786,04/11/2015,12:00 PM,William Penn Middle Scho,A2,1,Warriors A,
3767984,04/11/2015,12:00 PM,Perk Valley Middle Schoo,B3,1,Perkiomen Valley B,
3767984,04/11/2015,12:00 PM,Perk Valley Middle Schoo,B3,1,Wissahickon Blue B,
