Club ID,Date,Start,Finish,Team,Facility,Type,Opponent,Note,N/A,For,Against,DB ID,Ofcl,Write Up
,04/12/2015,,,>Boys U9 A>JSG U9 Boys,Bedford HS,Game,>Boys U9 A>Bedford,This game has moved to Bedford HS Turf on SATURDAY at 2:30pm,,5,12,5187833,,
,04/12/2015,,,>Boys U11 B2>Bedford,Bedford HS,Game,>Boys U11 B2>Londonderry Boys U11 Huskies,This game has moved to BEDFORD HS at 1:15pm on Saturday 4/11,,8,3,5200953,,
,04/12/2015,,,>Boys U11 B1>JSG U11B,Bolton Field,Game,>Boys U11 B1>Hampton Lacrosse - Hounds,Postponed,,,,5187401,,
,04/12/2015,,,>Girls U9 B>JSG U9G,Bolton Field,Game,>Girls U9 B>Windham U9 Harvard,Postponed,,,,5187759,,
,04/12/2015,,,>Boys U13 C>Pelham Outlaws,Muldoon Park,Game,>Boys U13 C>Nashua - Black,,,,,5211052,,
,04/12/2015,,,>Boys U13 B2>Hooksett,TBD,Game,>Boys U13 B2>Cocheco,,,,,5194109,,
,04/12/2015,,,>Boys U9 B>Pelham Outlaws,Muldoon Park U9 Field,Game,>Boys U9 B>Laconia Sachems,U9 Field is by the playground in the back of the park. ,,,,5208148,,
,04/12/2015,8:00 AM,9:00 AM,>Boys U11 B2>Rattlers U11 Maroon,West High School,Game,>Boys U11 B2>MYL Boys U11B Junior Tomahawks,,,8,9,5200950,Brandon Earl (Referee) NA & Rob Earl (Referee) NA,
,04/12/2015,8:00 AM,9:00 AM,>Boys U15 A>Windham U15,Presentation of Mary,Game,>Boys U15 A>Amherst U15A - Gold,,,3,5,5182160,,
,04/12/2015,8:00 AM,9:15 AM,>Girls U13 B>Windham U13 Virginia,Proctor Academy Turf ,Game,>Girls U13 B>Merrimack Valley Blue Storm,"Address is: 31 Field House Lane, Andover, NH",,9,4,5182983,,
,04/12/2015,8:00 AM,9:15 AM,>Boys U11 C>Derry U11C,Exeter High School,Game,>Boys U11 C>Exeter - White,,,3,7,5200886,,
,04/12/2015,8:00 AM,9:15 AM,>Boys U11 C>Concord Crush White,Proctor Academy,Game,>Boys U11 B2>Hampstead,,,3,12,5200888,,
,04/12/2015,8:00 AM,9:15 AM,>Boys U9 B>Windham U9 Navy,Searles School,Game,>Boys U9 B>Hooksett,This game will be rescheduled for a later date due to fields,CANCELLED,,,5208147,,
,04/12/2015,8:00 AM,9:15 AM,>Girls U11 A>Nashua ,Stellos Stadium,Game,>Girls U11 A>Concord Crush Orange,,,8,11,5183186,,
,04/12/2015,8:00 AM,9:15 AM,>Boys U15 A>Merrimack Valley Blue Storm,Boscawen Elementary ,Game,>Boys U15 A>Cocheco,,CANCELLED,,,5182159,,
,04/12/2015,8:00 AM,9:15 AM,>Girls U13 A>Londonderry Girls U13,Bedford HS,Game,>Girls U13 A>Bedford,Moved game to away field (Bedford) as our fields won't be open,,6,5,5183073,,
,04/12/2015,8:00 AM,9:15 AM,>Boys U15 B>Hooksett,Memorial HS,Game,>Boys U15 B>MPAL U15 Blue,,,,,5200242,,
