Chester County Lacrosse Association,,,,,,,,,,
Spring 2012 Master Schedule (released 3/13/12 10:00am),,,,,,,,,,
THIS IS THE FINAL SCHEDULE: REMIND COACHES OF THEIR LEAGUE OBLIGATION TO PLAY EVERY GAME AS SCHEDULED,,,,,,,,,,
"Field directions, rules, referee assignments, and the most current league information can be found at www.cclalax.org",,,,,,,,,,
,,,,,,,,,,
ABG = Abington,,,CVL = Collegeville,,PHX = Phoenixville,,,,,
ASH = Ashbee,,,GV = Great Valley,,ST = Conestoga,,,,,
AVG = Avon Grove,,,KEN = Kennett,,UNV = Unionville,,,,,
BYC = Brandywine,,,LV = Lionville,,WB = West Bradford/Downingtown MS,,,,,
COV = Coventry,,,,,WC = West Chester,,,,,
,,,,click arrow to,,,,click arrow to,,
,,,,filter for level,,,,filter for team,,
Game #,Date,Day,Time,Level,Visitor,Home,Field,Team,,
292,4/9/12,Mon,6:30 PM,U15B,WC2,ASH,ASH Lower Merion HS,WC2ASH,,
250,4/9/12,Mon,6:30 PM,U13C,WC,AVG,AVG Avon Grove HS,WCAVG,,
249,4/9/12,Mon,6:30 PM,U13C,KEN,BYC,BYC Bethel Spr ES 12,KENBYC,,
294,4/9/12,Mon,6:30 PM,U15B,ST,BYC,BYC Garnet Valley MS,STBYC,,
355,4/9/12,Mon,6:30 PM,U13B,PHX,GV,GV Great Valley MS,PHXGV,, 
380,4/9/12,Mon,6:30 PM,U13B,WC2,KEN,KEN Kennett MS,WC2KEN,,
334,4/9/12,Mon,6:30 PM,U15B,AVG,KEN,KEN Legacy Field A,AVGKEN,,
421,4/9/12,Mon,6:30 PM,U13B,BYC1,ST2,ST TE Middle Sch 2,BYC1ST2,,
260,4/9/12,Mon,6:30 PM,U15B,CVL,UNV,UNV Patton MS 17,CVLUNV,,
374,4/9/12,Mon,6:30 PM,U13B,WC1,WB,WB Embreeville,WC1WB,,
387,4/9/12,Mon,6:30 PM,U13B,AVG1,WC3,WC Kelly Field,AVG1WC3,,
394,4/9/12,Mon,8:00 PM,U13B,BYC2,WC4,WC Kelly Field,BYC2WC4,,
90,4/10/12,Tue,6:30 PM,U13A,AVG,ABG,ABG Huntingdon Upper,AVGABG,,
106,4/10/12,Tue,6:30 PM,U13A,LV1,ASH,ASH Lower Merion HS,LV1ASH,,
409,4/10/12,Tue,6:30 PM,U13B,BYC2,AVG1,AVG Harmony Park,BYC2AVG1,,
219,4/10/12,Tue,6:30 PM,U13C,ASH,BYC,BYC Bethel Spr ES 12,ASHBYC,,
138,4/10/12,Tue,6:30 PM,U13A,GV,BYC,BYC Garnet Valley MS,GVBYC,,
67,4/10/12,Tue,6:30 PM,U13A,COV,CVL,CVL Mt Kirk,COVCVL,,
205,4/10/12,Tue,6:30 PM,U13C,UNV,CVL,CVL Warrior Field,UNVCVL,,
342,4/10/12,Tue,6:30 PM,U13B,CVL,GV,GV Great Valley MS,CVLGV,,
244,4/10/12,Tue,6:30 PM,U13C,LV,KEN,KEN Legacy Field A,LVKEN,,
135,4/10/12,Tue,6:30 PM,U13A,KEN,LV2,LV Hoeffecker,KENLV2,,
417,4/10/12,Tue,6:30 PM,U13B,WC3,PHX,PHX PMYC,WC3PHX,,
357,4/10/12,Tue,6:30 PM,U13B,ABG,ST1,ST TE Middle Sch 1,ABGST1,,
117,4/10/12,Tue,6:30 PM,U13A,WC,ST2,ST Wilson Park CYL,WCST2,,
109,4/10/12,Tue,6:30 PM,U13A,UNV,ST1,ST Wilson Park TEYSA,UNVST1,,
449,4/10/12,Tue,6:30 PM,U13B,ASH,UNV,UNV Patton MS 17,ASHUNV,,
400,4/10/12,Tue,6:30 PM,U13B,BYC1,WB,WB Embreeville,BYC1WB,,
436,4/10/12,Tue,6:30 PM,U13B,COV,WC1,WC Henderson HS,COVWC1,,
396,4/10/12,Tue,6:30 PM,U13B,AVG2,WC4,WC Rustin HS,AVG2WC4,,
581,4/11/12,Wed,6:30 PM,U11B,BYC3,ASH,ASH Lower Merion HS,BYC3ASH,,
582,4/11/12,Wed,6:30 PM,U11B,ST,AVG1,AVG Avon Grove HS,STAVG1,,
556,4/11/12,Wed,6:30 PM,U11B,AVG2,BYC2,BYC Bethel Spr ES 12,AVG2BYC2,,
490,4/11/12,Wed,6:30 PM,U11B,LV2,COV2,COV OJR HS,LV2COV2,,
153,4/11/12,Wed,6:30 PM,U11A,ST,CVL,CVL Warrior Field,STCVL,,
474,4/11/12,Wed,6:30 PM,U11B,CVL3,GV,GV Great Valley MS,CVL3GV,, 
534,4/11/12,Wed,6:30 PM,U11B,UNV1,KEN2,KEN Legacy Field B,UNV1KEN2,,
464,4/11/12,Wed,6:30 PM,U11B,CVL1,LV3,LV Eagleview 2,CVL1LV3,,
496,4/11/12,Wed,6:30 PM,U11B,LV1,PHX,PHX PMYC,LV1PHX,,
578,4/11/12,Wed,6:30 PM,U11B,COV1,UNV2,UNV Patton MS 17,COV1UNV2,,
169,4/11/12,Wed,6:30 PM,U11A,ASH,WB,WB Embreeville,ASHWB,,
515,4/11/12,Wed,6:30 PM,U11B,WB,WC,WC Kelly Field,WBWC,,
314,4/11/12,Wed,8:00 PM,U15B,WC1,WC2,WC Kelly Field,WC1WC2,,
59,4/12/12,Thu,6:30 PM,U15A,GV,ABG,ABG Huntingdon Upper,GVABG,,
51,4/12/12,Thu,6:30 PM,U15A,WC,BYC,BYC Garnet Valley MS,WCBYC,,
56,4/12/12,Thu,6:30 PM,U15A,CVL,COV,COV Batdorf Park,CVLCOV,,
263,4/12/12,Thu,7:00 PM,U15B,KEN,COV,COV OJR HS,KENCOV,,
298,4/12/12,Thu,6:30 PM,U15B,ST,LV2,LV Pine Creek,STLV2,,
274,4/12/12,Thu,6:30 PM,U15B,AVG,PHX,PHX PMYC,AVGPHX,,
302,4/12/12,Thu,6:30 PM,U15B,LV1,UNV,UNV Upland Country DS,LV1UNV,,
38,4/12/12,Thu,6:30 PM,U15A,ST,WB,WB Downingtown MS,STWB,,
291,4/12/12,Thu,6:30 PM,U15B,ASH,WB,WB Embreeville,ASHWB,,
531,4/13/12,Fri,6:30 PM,U11B,WB,AVG1,AVG Harmony Park,WBAVG1,,
550,4/13/12,Fri,6:30 PM,U11B,AVG3,BYC1,BYC Bethel Spr ES 12,AVG3BYC1,,
455,4/13/12,Fri,6:30 PM,U11B,CVL2,CVL1,CVL Warrior Field,CVL2CVL1,,
154,4/13/12,Fri,6:30 PM,U11A,CVL,LV,LV Eagleview 1,CVLLV,,
504,4/13/12,Fri,6:30 PM,U11B,ASH,LV3,LV Eagleview 2,ASHLV3,,
123,4/13/12,Fri,6:30 PM,U13A,LV1,ST2,ST Wilson Park CYL,LV1ST2,,
546,4/13/12,Fri,6:30 PM,U11B,BYC3,UNV2,UNV Patton MS 17,BYC3UNV2,,
350,4/14/12,Sat,10:00 AM,U13B,PHX,ABG,ABG Huntingdon Upper,PHXABG,,
101,4/14/12,Sat,10:00 AM,U13A,ASH,AVG,AVG Avon Grove HS,ASHAVG,,
433,4/14/12,Sat,12:00 PM,U13B,GV,AVG2,AVG Avon Grove HS,GVAVG2,,
555,4/14/12,Sat,2:00 PM,U11B,BYC2,AVG1,AVG Avon Grove HS,BYC2AVG1,,
214,4/14/12,Sat,10:00 AM,U13C,ABG,AVG,AVG Harmony Park,ABGAVG,,
194,4/14/12,Sat,12:00 PM,U11A,ST,AVG,AVG Harmony Park,STAVG,,
285,4/14/12,Sat,2:00 PM,U15B,ASH,AVG,AVG Harmony Park,ASHAVG,,
164,4/14/12,Sat,2:00 PM,U11A,ABG,BYC,BYC Bethel Spr ES 12,ABGBYC,,
251,4/14/12,Sat,10:00 AM,U15B,COV,CVL,CVL Mt Kirk,COVCVL,,
335,4/14/12,Sat,12:00 PM,U13B,COV,CVL,CVL Mt Kirk,COVCVL,,
465,4/14/12,Sat,10:00 AM,U11B,GV,CVL2,CVL Warrior Field,GVCVL2,,
203,4/14/12,Sat,12:00 PM,U13C,LV,CVL,CVL Warrior Field,LVCVL,,
456,4/14/12,Sat,2:00 PM,U11B,CVL1,CVL3,CVL Warrior Field,CVL1CVL3,,
155,4/14/12,Sat,4:00 PM,U11A,WC,CVL,CVL Warrior Field,WCCVL,,
413,4/14/12,Sat,12:00 PM,U13B,AVG1,KEN,KEN Legacy Field C,AVG1KEN,,
564,4/14/12,Sat,2:00 PM,U11B,BYC3,KEN1,KEN Legacy Field C,BYC3KEN1,,
235,4/14/12,Sat,4:00 PM,U13C,BYC,KEN,KEN Legacy Field C,BYCKEN,,
502,4/14/12,Sat,12:00 PM,U11B,ASH,LV1,LV Eagleview 1,ASHLV1,,
167,4/14/12,Sat,12:00 PM,U11A,ASH,LV,LV Eagleview 2,ASHLV,,
483,4/14/12,Sat,2:00 PM,U11B,COV1,LV3,LV Eagleview 2,COV1LV3,,
429,4/14/12,Sat,12:00 PM,U13B,UNV,LV,LV Hoeffecker,UNVLV,,
308,4/14/12,Sat,2:00 PM,U15B,WC2,LV2,LV Hoeffecker,WC2LV2,,
301,4/14/12,Sat,4:00 PM,U15B,WB,LV1,LV Hoeffecker,WBLV1,,
489,4/14/12,Sat,10:00 AM,U11B,COV2,ST,ST TE Middle Sch 1,COV2ST,,
450,4/14/12,Sat,12:00 PM,U13B,BYC2,ST2,ST TE Middle Sch 1,BYC2ST2,,
293,4/14/12,Sat,2:00 PM,U15B,UNV,ST,ST Wilson Park TEYSA,UNVST,,
548,4/14/12,Sat,12:00 PM,U11B,AVG2,UNV2,UNV Patton MS 17,AVG2UNV2,,
76,4/14/12,Sat,2:00 PM,U13A,CVL,UNV,UNV Patton MS 17,CVLUNV,,
516,4/14/12,Sat,4:00 PM,U11B,WC,UNV1,UNV Patton MS 17,WCUNV1,,
