Chester County Lacrosse Association,,,,,,,,
Spring 2013 Master Schedule (final version released 3/9/13 7:00PM),,,,,,,,
THIS IS THE FINAL SCHEDULE: REMIND COACHES OF THEIR LEAGUE OBLIGATION TO PLAY EVERY GAME AS SCHEDULED,,,,,,,,
"Field directions, rules, referee assignments, and the most current league information can be found at www.cclalax.org",,,,,,,,
,,,,,,,,
ABG = Abington,,CVL = Collegeville,,,PHX = Phoenixville,,,
ASH = Ashbee,,GV = Great Valley,,,ST = Conestoga,,,
AVG = Avon Grove,,KEN = Kennett,,,UNV = Unionville,,,
BYC = Brandywine,,LV = Lionville,,,WB = West Bradford/Downingtown MS,,,
COV = Coventry,,,,,WC = West Chester,,,
,,,,click arrow to,,,, filter for team
,,,,filter for level,,,," ""text filter contains"""
Game #,Date,Day,Time,Level,Visitor,Home,Field,Team
299,4/1/13,Mon,6:30 PM,U15B,ABG,ST,ST Wilson Park CYL,ABGST
438,4/1/13,Mon,6:30 PM,U13B,WB2,UNV,UNV Patton MS 17,WB2UNV
304,4/1/13,Mon,6:30 PM,U15B,ASH,WC2,WC Kelly Field,ASHWC2
62,4/2/13,Tue,6:30 PM,U13A,CVL,ABG,ABG Huntingdon Lower S,CVLABG
411,4/2/13,Tue,6:30 PM,U13B,WC2,AVG1,AVG Avon Grove HS 1,WC2AVG1
372,4/2/13,Tue,7:00 PM,U13B,ST2,COV2,COV OJR HS,ST2COV2
193,4/2/13,Tue,6:30 PM,U13C,ABG,CVL,CVL Warrior Field,ABGCVL
248,4/2/13,Tue,6:30 PM,U13C,KEN,GV,GV Great Valley HS,KENGV
430,4/2/13,Tue,6:30 PM,U13B,WC4,KEN,KEN Legacy Field B,WC4KEN
110,4/2/13,Tue,6:30 PM,U13A,BYC,LV,LV Hoeffecker,BYCLV
401,4/2/13,Tue,6:30 PM,U13B,LV1,LV2,LV Lionville MS,LV1LV2
242,4/2/13,Tue,6:30 PM,U13C,AVG2,LV2,LV Pine Creek 2,AVG2LV2
361,4/2/13,Tue,6:30 PM,U13B,COV1,PHX,PHX PMYC,COV1PHX
389,4/2/13,Tue,6:30 PM,U13B,ASH,ST1,ST TE Middle Sch 2,ASHST1
105,4/2/13,Tue,6:30 PM,U13A,AVG,ST,ST Wilson Park CYL,AVGST
113,4/2/13,Tue,6:30 PM,U13A,GV,UNV1,UNV Upland Country DS,GVUNV1
358,4/2/13,Tue,6:30 PM,U13B,CVL,WC1,WC Kelly Field,CVLWC1
417,4/2/13,Tue,8:00 PM,U13B,BYC1,WC3,WC Kelly Field,BYC1WC3
488,4/3/13,Wed,6:30 PM,U11B,CVL1,ABG3,ABG Huntingdon Lower N,CVL1ABG3
538,4/3/13,Wed,6:30 PM,U11B,ST,ABG1,ABG Huntingdon Lower S,STABG1
625,4/3/13,Wed,6:30 PM,U11B,BYC3,AVG1,AVG Harmony Park,BYC3AVG1
606,4/3/13,Wed,6:30 PM,U11B,WB2,BYC2,BYC Bethel Spr ES 12,WB2BYC2
617,4/3/13,Wed,6:30 PM,U11B,KEN1,BYC1,BYC Concord Municipal 2,KEN1BYC1
506,4/3/13,Wed,6:30 PM,U11B,CVL3,COV1,COV Batdorf Park,CVL3COV1
560,4/3/13,Wed,6:30 PM,U11B,WC2,GV1,GV Great Valley MS,WC2GV1
191,4/3/13,Wed,6:30 PM,U11A,UNV,KEN,KEN Legacy Field B,UNVKEN
493,4/3/13,Wed,6:30 PM,U11B,CVL2,LV3,LV Eagleview 1,CVL2LV3
147,4/3/13,Wed,6:30 PM,U11A,ASH,LV,LV Eagleview 2,ASHLV
532,4/3/13,Wed,6:30 PM,U11B,LV1,PHX,PHX PMYC,LV1PHX
156,4/3/13,Wed,6:30 PM,U11A,WC2,ST,ST TE Middle Sch 2,WC2ST
611,4/3/13,Wed,6:30 PM,U11B,KEN2,UNV,UNV Patton MS 17,KEN2UNV
601,4/3/13,Wed,6:30 PM,U11B,AVG2,WB1,WB Embreeville,AVG2WB1
140,4/3/13,Wed,6:30 PM,U11A,ABG,WC1,WC Kelly Field,ABGWC1
249,4/3/13,Wed,6:30 PM,U13C,BYC,WC,WC Rustin HS Stadium,BYCWC
269,4/4/13,Thu,6:30 PM,U15B,WB,CVL,CVL Black Rock 6,WBCVL
48,4/4/13,Thu,6:30 PM,U15A,ABG,CVL,CVL Mt Kirk,ABGCVL
319,4/4/13,Thu,6:30 PM,U15B,LV,GV,GV Great Valley MS,LVGV
282,4/4/13,Thu,6:30 PM,U15B,BYC,PHX,PHX PMYC,BYCPHX
35,4/4/13,Thu,6:30 PM,U15A,AVG,ST,ST Wilson Park TEYSA,AVGST
333,4/4/13,Thu,6:30 PM,U15B,WC3,WC1,WC Kelly Field,WC3WC1
43,4/4/13,Thu,8:00 PM,U15A,BYC,WC,WC Kelly Field,BYCWC
182,4/6/13,Sat,12:00 PM,U11A,CVL,ABG,ABG Huntingdon Lower N,CVLABG
185,4/6/13,Sat,10:00 AM,U11A,WC2,ASH,ASH Lower Merion HS,WC2ASH
287,4/6/13,Sat,12:00 PM,U15B,PHX,ASH,ASH Lower Merion HS,PHXASH
27,4/6/13,Sat,2:00 PM,U15A,GV,ASH,ASH Lower Merion HS,GVASH
549,4/6/13,Sat,4:00 PM,U11B,LV2,ASH,ASH Lower Merion HS,LV2ASH
98,4/6/13,Sat,10:00 AM,U13A,ASH,AVG,AVG Avon Grove HS 1,ASHAVG
177,4/6/13,Sat,12:00 PM,U11A,UNV,AVG,AVG Avon Grove HS 1,UNVAVG
344,4/6/13,Sat,2:00 PM,U15B,WB,AVG,AVG Avon Grove HS 1,WBAVG
598,4/6/13,Sat,12:00 PM,U11B,WB1,BYC1,BYC Concord Municipal 2,WB1BYC1
614,4/6/13,Sat,2:00 PM,U11B,UNV,BYC3,BYC Concord Municipal 2,UNVBYC3
444,4/6/13,Sat,10:00 AM,U13B,UNV,BYC1,BYC Garnet Valley MS,UNVBYC1
454,4/6/13,Sat,12:00 PM,U13B,KEN,BYC2,BYC Garnet Valley MS,KENBYC2
270,4/6/13,Sat,2:00 PM,U15B,CVL,BYC,BYC Garnet Valley MS,CVLBYC
461,4/6/13,Sat,2:00 PM,U13B,WC4,COV2,COV OJR HS,WC4COV2
277,4/6/13,Sat,4:00 PM,U15B,LV,COV,COV OJR HS,LVCOV
485,4/6/13,Sat,2:00 PM,U11B,PHX,CVL1,CVL Warrior Field,PHXCVL1
494,4/6/13,Sat,4:00 PM,U11B,CVL3,CVL2,CVL Warrior Field,CVL3CVL2
217,4/6/13,Sat,12:00 PM,U13C,ASH,GV,GV Great Valley HS,ASHGV
325,4/6/13,Sat,4:00 PM,U15B,KEN,GV,GV Great Valley HS,KENGV
166,4/6/13,Sat,12:00 PM,U11A,LV,KEN,KEN Kennett HS,LVKEN
570,4/6/13,Sat,12:00 PM,U11B,GV2,KEN2,KEN Legacy Field C,GV2KEN2
623,4/6/13,Sat,2:00 PM,U11B,BYC2,KEN1,KEN Legacy Field C,BYC2KEN1
479,4/6/13,Sat,10:00 AM,U13B,AVG2,LV1,LV Hoeffecker,AVG2LV1
237,4/6/13,Sat,12:00 PM,U13C,KEN,LV1,LV Hoeffecker,KENLV1
514,4/6/13,Sat,2:00 PM,U11B,COV1,LV1,LV Hoeffecker,COV1LV1
380,4/6/13,Sat,12:00 PM,U13B,PHX,ST2,ST TE Middle Sch 1,PHXST2
186,4/6/13,Sat,2:00 PM,U11A,WC1,ST,ST TE Middle Sch 1,WC1ST
609,4/6/13,Sat,4:00 PM,U11B,AVG2,WB2,WB Embreeville,AVG2WB2
590,4/6/13,Sat,10:00 AM,U11B,AVG1,WC2,WC Kelly Field,AVG1WC2
419,4/6/13,Sat,12:00 PM,U13B,AVG1,WC3,WC Kelly Field,AVG1WC3
392,4/6/13,Sat,2:00 PM,U13B,ASH,WC1,WC Kelly Field,ASHWC1
313,4/6/13,Sat,4:00 PM,U15B,ST,WC3,WC Kelly Field,STWC3
226,4/6/13,Sat,12:00 PM,U13C,ST,WC,WC Rustin HS Stadium,STWC
559,4/6/13,Sat,2:00 PM,U11B,GV1,WC1,WC Rustin HS Stadium,GV1WC1
521,4/7/13,Sun,2:00 PM,U11B,COV2,ABG2,ABG Huntingdon Lower N,COV2ABG2
212,4/7/13,Sun,2:00 PM,U13C,AVG2,ABG,ABG Huntingdon Upper,AVG2ABG
534,4/7/13,Sun,4:00 PM,U11B,LV3,ABG1,ABG Huntingdon Upper,LV3ABG1
54,4/7/13,Sun,2:00 PM,U15A,AVG,ASH,ASH Lower Merion HS,AVGASH
5,4/7/13,Sun,2:00 PM,U15A,LV,CVL,CVL Warrior Field,LVCVL
201,4/7/13,Sun,4:00 PM,U13C,AVG1,CVL,CVL Warrior Field,AVG1CVL
297,4/7/13,Sun,2:00 PM,U15B,ABG,KEN,KEN Kennett MS,ABGKEN
87,4/7/13,Sun,12:00 PM,U13A,ABG,UNV1,UNV Upland Country DS,ABGUNV1
194,4/8/13,Mon,6:30 PM,U13C,CVL,ASH,ASH Lower Merion HS,CVLASH
445,4/8/13,Mon,6:30 PM,U13B,UNV,AVG1,AVG Harmony Park,UNVAVG1
273,4/8/13,Mon,7:00 PM,U15B,PHX,COV,COV OJR HS,PHXCOV
459,4/8/13,Mon,6:30 PM,U13B,WC2,CVL,CVL Black Rock 6,WC2CVL
265,4/8/13,Mon,6:30 PM,U15B,GV,CVL,CVL Mt Kirk,GVCVL
252,4/8/13,Mon,6:30 PM,U13C,WC,KEN,KEN Kennett HS,WCKEN
400,4/8/13,Mon,6:30 PM,U13B,ST2,LV2,LV Lionville MS,ST2LV2
439,4/8/13,Mon,6:30 PM,U13B,BYC1,WB2,WB Embreeville,BYC1WB2
421,4/8/13,Mon,6:30 PM,U13B,KEN,WC3,WC Kelly Field,KENWC3
