Time,Home,Away,Age,Division,Field,Referee,Score
8:00 AM,Interboro Bucs,Springfield Warriors,U09B,White,Tinicum #1,,
8:00 AM,Aston United,BYC Chaos,U09B,White,Tinicum #2,,
8:00 AM,MNSA Ambush,Springfield Shamrocks,U09G,White,Edgewood,,
8:00 AM,RUSC Rage,Montgomery Juventus,U09G,White,Mann,,
8:00 AM,RUSC Rebels,GVSC Hot Shots,U10G,Green,Catania Park #1,,
8:00 AM,LMSC Liberty,Aston Lightning,U10G,Green,Catania Park #2,,
8:00 AM,RUSC Storm,BYC Whales,U11B,White,RHS #1,,
8:00 AM,BYC Fury,WCU Eagles,U11B,Green,Tinicum #3,,
8:00 AM,RUSC Stingers,Haverford Spirit,U11G,White,RHS #3,,
8:00 AM,Rose Tree Fireworks,White Clay Firehawks,U11G,White,RHS #4,,
8:00 AM,Rose Tree Breeze,Aston Avalanche,U12B,,RHS #6,,
8:00 AM,Rose Tree Rebels,Aston Strikers,U13G,Green,RMS Upper,,
8:00 AM,BYC Strikers,RUSC Rockers,U15/U16G,Green,RHS #2,,
9:00 AM,RUSC Rams,Springfield Celtic,U09B,Green,Tinicum #1,,
9:00 AM,Haverford Heat Wave,BYC United,U09B,Green,Tinicum #2,,
9:00 AM,RUSC Raiders,Aston Devils,U10B,White,Edgewood,,
9:00 AM,Interboro Bucs,BYC Explosion,U10B,White,Mann,,
9:00 AM,RUSC Revenge,MNSA Crush,U10G,White,Catania Park #1,,
9:00 AM,Haveford Wildcats,Springfield Sparks,U10G,White,Catania Park #2,,
9:00 AM,Springfield Chargers,GVSC Griffins,U11B,White,RHS #1,,
9:00 AM,Aston Rage,BYC Cobras,U11B,Green,Tinicum #3,,
9:00 AM,RUSC Rolling Thunder,White Clay Lightning,U12B,,RHS #6,,
9:00 AM,Springfield Sizzle,Interboro Thunder,U12G,Green,RHS #3,,
9:00 AM,Haverford Lightning,Montgomery Revolution,U12G,Green,RHS #4,,
9:00 AM,Harford FC United,BYC Blaze,U13G,Green,RMS Upper,,
9:00 AM,RUSC Dynamite,BYC Spartaks,U14/U15G,Green,RHS #5,,
9:00 AM,Interboro Wizards,GVSC Stealth,U14B,White,Interboro JV,,
9:00 AM,RUSC Rebels,Rose Tree Outlawz,U14B,White,Interboro Varsity,,
9:00 AM,RUSC Strikers,BYC Galaxy,U14B,Green,RMS Lower,,
9:00 AM,Aston Revolution,Rose Tree Strikers,U15/U16B,,Amosland,,
9:00 AM,Chicester SC Cheetahs,RUSC Rhinos,U15/U16G,Green,RHS #2,,
10:00 AM,Haverford Blackout,BYC Tigers,U09G,Green,Edgewood,,
10:00 AM,RUSC Rampage,Haverford Red,U09G,Green,Mann,,
10:00 AM,BYC Strikers,Towamencin Titans,U10B,Green,Catania Park #1,,
10:00 AM,BYC Blue Sharks,FC York,U10B,Green,Catania Park #2,,
10:00 AM,HSC Tornadoes,RUSC Storm,U11B,White,RHS #1,,
10:00 AM,HFC Defazio United,BYC Fury,U11B,Green,Tinicum #3,,
10:00 AM,RUSC Rumble,Haverford Revolution,U11G,Green,Tinicum #1,,
10:00 AM,Springfield Sharks,Amity AC Storm,U11G,Green,Tinicum #2,,
10:00 AM,Nether Lenape Thunder,Rose Tree Breeze,U12B,,RHS #6,,
10:00 AM,Lower Merion Fear,Haverford Red Flash,U12G,White,RHS #3,,
10:00 AM,RUSC Revolution,Blue White '10 SC Panthers,U12G,White,RHS #4,,
10:00 AM,BYC Dragons,HFC United,U13B,,Interboro JV,,
10:00 AM,Lionville Kixx,Aston Storm,U13B,,Interboro Varsity,,
10:00 AM,RUSC Rockets,Rose Tree Rebels,U13G,Green,RMS Upper,,
10:00 AM,FC York 99 Elite,Aston Fury,U14/U15G,Green,RHS #5,,
10:00 AM,West Mont United Union,Harford FC Lazers United,U14B,Green,RMS Lower,,
10:00 AM,Towamencin Thrashers,RUSC Young Guns,U15/U16B,,Amosland,,
10:00 AM,West Deptford Storm,BYC Strikers,U15/U16G,Green,RHS #2,,
11:00 AM,Aston United,Interboro Bucs,U09B,White,Tinicum #1,,
11:00 AM,Springfield Warriors,BYC Chaos,U09B,White,Tinicum #2,,
11:00 AM,Montgomery Juventus,Springfield Shamrocks,U09G,White,Edgewood,,
11:00 AM,MNSA Ambush,RUSC Rage,U09G,White,Mann,,
11:00 AM,LMSC Liberty,RUSC Rebels,U10G,Green,Catania Park #1,,
11:00 AM,GVSC Hot Shots,Aston Lightning,U10G,Green,Catania Park #2,,
