Date,Start,Finish,Team,Facility,Type,Opponent,DB ID
4/12/15,8:00 AM,9:15 AM,Boys U13 B2>Hooksett,TBD,Game,Boys U13 B2>Cocheco,5194109
4/12/15,8:00 AM,9:15 AM,Boys U15 B>Hanover,Sachem Field,Game,Boys U15 B>Black Bear,5200239
4/12/15,8:00 AM,9:15 AM,Boys U13 B1>Amherst U13B - Black,Souhegan HS,Game,Boys U13 B1>JSG U13B,5200163
4/12/15,8:00 AM,9:15 AM,Boys U15 B>Hooksett,Dublin School,Game,Boys U15 B>Peterborough,5200242
4/12/15,8:00 AM,9:15 AM,Girls U15 A>Amherst U15A - Gold,Lower Bean,Game,Girls U15 A>Windham U15 Cornell,5182939
4/12/15,8:00 AM,9:00 AM,Boys U15 A>Windham U15,Presentation of Mary,Game,Boys U15 A>Amherst U15A - Gold,5182160
4/12/15,8:00 AM,9:15 AM,Girls U9 B>Londonderry U9 Cobras,Lincoln Field,Game,Girls U9 B>Nashua - Purple,5187754
4/12/15,8:00 AM,9:15 AM,Boys U11 A>Londonderry Boys U11 Razors,L'Derry Middle School,Game,Boys U11 A>Bedford,5182649
4/12/15,8:00 AM,9:15 AM,Girls U13 A>Londonderry Girls U13,Bedford HS,Game,Girls U13 A>Bedford,5183073
4/12/15,8:00 AM,9:15 AM,Boys U13 B1>ORYA White,little river park,Game,Boys U13 B1>Nashua - Purple,5200164
4/12/15,8:00 AM,9:15 AM,Boys U15 B>JSG U15B,Bolton Field,Game,Boys U15 B>Nashua,5200236
4/12/15,8:00 AM,9:15 AM,Boys U15 B>Exeter,Exeter High School,Game,Boys U15 B>Derry U15B,5200244
4/12/15,8:00 AM,9:15 AM,Girls U11 A>Nashua ,Stellos Stadium,Game,Girls U11 A>Concord Crush Orange,5183186
4/12/15,8:00 AM,9:15 AM,Girls U15 A>Concord Crush Orange,Martin Field,Game,Girls U15 A>ORYA Red,5182938
4/12/15,8:00 AM,9:15 AM,Boys U11 C>Derry U11C,Humphrey Field,Game,Boys U11 C>Exeter - White,5200886
4/12/15,8:00 AM,9:15 AM,Girls U13 B>Windham U13 Virginia,Nashua Road,Game,Girls U13 B>Merrimack Valley Blue Storm,5182983
4/12/15,8:00 AM,9:15 AM,Girls U15 B>Plymouth Youth Lacrosse,Bridge Road,Game,Girls U15 B>MYL Girls U15B Junior Tomahawks,5182869
4/12/15,8:00 AM,9:15 AM,Boys U9 B>Windham U9 Navy,Searles School,Game,Boys U9 B>Hooksett,5208147
4/12/15,8:00 AM,9:15 AM,Boys U11 C>Concord Crush White,Proctor Academy,Game,Boys U11 C>Hampstead,5200888
4/12/15,8:00 AM,9:15 AM,Boys U9 B>MYL Boys U9B Junior Tomahawks 1,Reeds 4,Game,Boys U9 B>Londonderry Boys U9 Cougars,5208142
4/12/15,8:00 AM,9:15 AM,Boys U9 B>MPAL U9 White,Memorial HS,Game,Boys U9 B>Londonderry Boys U9 Jaguars,5208140
4/12/15,8:00 AM,9:15 AM,Boys U15 A>Merrimack Valley Blue Storm,Boscawen Elementary ,Game,Boys U15 A>Cocheco,5182159
4/12/15,9:00 AM,10:15 AM,Girls U9 B>Hampstead,Phanzone,Game,Girls U9 B>Amherst U9B - Gold,5187755
4/12/15,9:00 AM,10:00 AM,Boys U13 A>Windham U13A,Presentation of Mary,Game,Boys U13 A>Pelham Outlaws,5187246
4/12/15,9:00 AM,10:15 AM,Boys U9 B>Salem Snipers,Walmart Field,Game,Boys U9 B>Hopkinton U9 boys,5208149
4/12/15,9:00 AM,10:15 AM,Girls U9 B>Lakes Region Lacrosse Club,New Hampton School Turf,Game,Girls U9 B>Pelham Lady Outlaws,5187758
4/12/15,9:00 AM,10:15 AM,Boys U15 B>Hollis Brookline,Nichols Field,Game,Boys U15 B>Rattlers U15B,5200241
4/12/15,9:00 AM,10:15 AM,Boys U15 B>Keene Crush,Sodexho Field,Game,Boys U15 B>Londonderry Boys U15 Warriors,5200234
4/12/15,9:00 AM,10:15 AM,Boys U11 B2>Seacoast,Portsmouth High,Game,Boys U11 B2>MPAL U11 White,5200952
4/12/15,9:15 AM,10:30 AM,Boys U13 B1>Rattlers U13B1,East Road Fields,Game,Boys U13 B1>Londonderry Boys U13 Hawks,5200157
4/12/15,9:15 AM,10:30 AM,Girls U13 B>Keene Crush,KSC turf,Game,Girls U13 B>MPAL U13,5182973
4/12/15,9:15 AM,10:30 AM,Boys U13 B2>MPAL U13 Blue,Memorial HS,Game,Boys U13 B2>Peterborough,5194108
4/12/15,9:15 AM,10:30 AM,Boys U11 A>Hampstead,Depot Road Field,Game,Boys U11 A>Cocheco,5182648
4/12/15,9:15 AM,10:30 AM,Boys U15 A>Derry U15A,Humphrey Field,Game,Boys U15 A>Hampstead,5182161
4/12/15,9:15 AM,10:30 AM,Boys U11 B1>Londonderry Boys U11 Lynx,L'Derry Middle School,Game,Boys U11 B1>Pelham Outlaws,5187400
4/12/15,9:15 AM,10:30 AM,Boys U9 A>Windham U9 Cornell,Searles School,Game,Boys U9 A>Pelham Outlaws,5187836
4/12/15,9:15 AM,10:30 AM,Boys U13 A>Londonderry Boys U13 Falcons,West Road Field #1,Game,Boys U13 A>Bedford,5187245
4/12/15,9:15 AM,10:30 AM,Boys U9 A>JSG U9 Boys,Bolton Field,Game,Boys U9 A>Bedford,5187833
4/12/15,9:15 AM,10:30 AM,Girls U11 B>Hampton Lacrosse - Green,Bedford HS,Game,Girls U11 B>Bedford,5183115
4/12/15,9:15 AM,10:30 AM,Girls U9 B>Hopkinton U9 Girls,Houston Field #1,Game,Girls U9 B>Amherst U9B - Black,5187757
4/12/15,9:15 AM,10:30 AM,Girls U13 A>Windham U13 Duke,Nashua Road,Game,Girls U13 A>Seacoast,5183074
4/12/15,9:15 AM,10:30 AM,Boys U9 B>MYL Boys U9B Junior Tomahawks 2,Reeds 4,Game,Boys U9 B>Litchfield U9,5208144
4/12/15,9:15 AM,10:30 AM,Girls U13 A>Nashua - Purple,Stellos Stadium,Game,Girls U13 A>Amherst U13A - Gold,5183071
4/12/15,9:15 AM,10:30 AM,Girls U13 B>Concord Crush Orange,Martin Field,Game,Girls U13 B>Amherst U13B - Black,5182976
4/12/15,9:15 AM,10:30 AM,Boys U13 B2>Laconia Sachems,Tilton School Burch Fiel,Game,Boys U13 B2>Bow,5194111
4/12/15,9:15 AM,10:30 AM,Boys U9 B>Peterborough,Dublin School,Game,Boys U9 B>Keene Crush,5208150
4/12/15,9:15 AM,10:30 AM,Boys U13 A>ORYA Red,little river park,Game,Boys U13 A>Seacoast,5187242
4/12/15,9:15 AM,10:30 AM,Girls U11 A>Londonderry U11 Girls,West Road Field #2,Game,Girls U11 A>Exeter,5183185
4/12/15,9:15 AM,10:30 AM,Boys U11 B2>Amherst U11B - Black,Souhegan HS,Game,Boys U11 B2>Merrimack Valley Blue Storm,5200954
4/12/15,9:15 AM,10:30 AM,Boys U15 C>Plymouth Youth Lacrosse,Bridge Road,Game,Boys U15 C>MYL Boys U15B Junior Tomahawks,5200328
4/12/15,9:15 AM,10:30 AM,Boys U13 B2>Litchfield U13,LLA - Sawmill Brook,Game,Boys U13 B2>Abenaki-Wolfeboro,5194112
4/12/15,9:30 AM,10:45 AM,Girls U15 B>Hopkinton U15 Girls,Proctor Academy,Game,Girls U15 B>Abenaki-Wolfeboro,5182867
4/12/15,9:30 AM,10:45 AM,Boys U13 B2>Exeter,Exeter High School,Game,Boys U13 B2>Concord Crush Black,5194114
4/12/15,9:30 AM,10:45 AM,Boys U15 C>Abenaki-Wolfeboro,Brewster Academy Turf,Game,Boys U15 C>MPAL U15 Blue,5200325
4/12/15,10:00 AM,11:15 AM,Girls U9 B>Derry,E. Derry Memorial School,Game,Girls U9 B>Bow,5187753
4/12/15,10:00 AM,11:00 AM,Boys U11 A>Windham U11A,Presentation of Mary,Game,Boys U11 A>Seacoast,5182650
4/12/15,10:00 AM,11:15 AM,Boys U13 C>Pelham Outlaws,Muldoon Park,Game,Boys U13 C>Nashua - Black,5211052
4/12/15,10:15 AM,11:30 AM,Boys U13 B1>Seacoast,Portsmouth High,Game,Boys U13 B1>Keene Crush Orange,5200162
4/12/15,10:15 AM,11:30 AM,Girls U13 A>Lakes Region Lacrosse Club,New Hampton School Turf,Game,Girls U13 A>Exeter,5183072
4/12/15,10:30 AM,11:45 AM,Boys U9 B>MPAL U9,Memorial HS,Game,Boys U9 B>Merrimack Valley Blue Storm,5208152
4/12/15,10:30 AM,11:45 AM,Boys U13 C>Amherst U13C - White,Souhegan HS,Game,Boys U13 C>Hampton Lacrosse - Warriors,5211051
4/12/15,10:30 AM,11:45 AM,Boys U11 B2>Rattlers U11 Maroon,East Road Fields,Game,Boys U11 B2>MYL Boys U11B Junior Tomahawks,5200950
4/12/15,10:30 AM,11:45 AM,Boys U13 B2>Windham U13B ,Griffin Park,Game,Boys U13 B2>MYL Boys U13B Junior Tomahawks,5194113
4/12/15,10:30 AM,11:45 AM,Girls U9 B>Concord Crush Orange,Martin Field,Game,Girls U9 B>Concord Crush Black,5187761
4/12/15,10:30 AM,11:45 AM,Boys U9 B>Bow,Memorial School,Game,Boys U9 B>Derry U9B - Red,5208139
4/12/15,10:30 AM,11:45 AM,Boys U11 B1>Keene Crush Orange,Sodexho Field,Game,Boys U11 B1>Derry U11B1,5187403
4/12/15,10:30 AM,11:45 AM,Boys U13 C>Cocheco,Humphrey Field,Game,Boys U13 C>Derry U13C,5211046
4/12/15,10:30 AM,11:45 AM,Girls U13 B>Cocheco,Bedford HS,Game,Girls U13 B>Bedford,5182974
4/12/15,10:30 AM,11:45 AM,Girls U9 B>Londonderry Girls U9 Vipers,West Road Field #2,Game,Girls U9 B>Nashua - White,5187756
4/12/15,10:30 AM,11:45 AM,Boys U15 C>Cocheco,LLA - Sawmill Brook,Game,Boys U15 C>Litchfield U15,5200326
4/12/15,10:30 AM,11:45 AM,Boys U13 A>Nashua - White,Stellos Stadium,Game,Boys U13 A>Amherst U13A - Gold,5187244
4/12/15,10:30 AM,11:45 AM,Boys U13 B1>Cocheco,Nichols Field,Game,Boys U13 B1>Hollis Brookline,5200159
4/12/15,10:30 AM,11:45 AM,Boys U11 B2>Plymouth Youth Lacrosse,Bridge Road,Game,Boys U11 B2>Peterborough,5200955
4/12/15,10:30 AM,11:45 AM,Girls U15 B>JSG U15G,Bolton Field,Game,Girls U15 B>Peterborough,5182868
4/12/15,10:30 AM,11:45 AM,Boys U11 B2>Concord Crush Black,Tilton School Burch Fiel,Game,Boys U11 B2>Laconia Sachems,5200951
4/12/15,10:30 AM,11:45 AM,Boys U15 C>Hanover,Sachem Field,Game,Boys U15 C>Lakes Region Lacrosse Club,5200324
4/12/15,10:30 AM,11:45 AM,Girls U11 B>Windham U11 Syracuse,Nashua Road,Game,Girls U11 B>Lakes Region Lacrosse Club,5183119
4/12/15,10:30 AM,11:45 AM,Girls U9 B>Windham U9 Yale,Searles School,Game,Girls U9 B>MPAL U9 White,5187760
4/12/15,10:45 AM,12:00 PM,Girls U11 B>Keene Crush,KSC turf,Game,Girls U11 B>MPAL U11 Blue,5183114
4/12/15,10:45 AM,12:00 PM,Girls U13 B>Hopkinton U13 Girls,"Proctor Academy, Andover",Game,Girls U13 B>Nashua - White,5182977
4/12/15,10:45 AM,12:00 PM,Boys U15 B>Hopkinton U15 Boys,Proctor Academy,Game,Boys U15 B>Pelham Outlaws,5200240
4/12/15,10:45 AM,12:00 PM,Boys U11 B1>Salem Snipers,Salem HS,Game,Boys U11 B1>ORYA White,5187404
4/12/15,11:00 AM,12:15 PM,Boys U13 B1>Exeter,Exeter High School,Game,Boys U13 B1>Hampton Lacrosse - Rip Tide,5200156
4/12/15,11:00 AM,12:15 PM,Boys U13 A>Goffstown,Laurier St Field,Game,Boys U13 A>Derry U13A,5187247
4/12/15,11:00 AM,12:15 PM,Boys U9 A>Milford U9A - Blue,N. River Road Field,Game,Boys U9 A>Amherst U9A - Gold,5187835
4/12/15,11:00 AM,12:15 PM,Boys U9 B>Abenaki-Wolfeboro,Brewster Academy Turf,Game,Boys U9 B>Hampstead White,5208145
