Club ID,Date,Start,Finish,Team,Facility,Type,Opponent,Note,N/A,For,Against,DB ID,Ofcl,Write Up
2013001305,04/11/2015,9:00 AM,10:30 AM,Wissahickon A3,Wissahickon,Game,Horsham A3,,,,,3767866,,
2013001401,04/11/2015,9:00 AM,10:30 AM,Crooked Crosse B3,CCLC,Game,Souderton B3,,,,,3767949,,
2013001350,04/11/2015,9:00 AM,10:30 AM,CBAA B2,CBAA 2,Game,Boyertown B2,,,,,3767907,,
2013001270,04/11/2015,9:00 AM,10:30 AM,Lower Bucks Blue A3,William Penn Middle Scho,Game,Lansing A3,,,,,3767831,,
,04/11/2015,9:30 AM,11:00 AM,Haven A3,Haven - King Field Turf,Game,Radnor Maroon A3,,,,,3761666,,
2013001378,04/11/2015,10:00 AM,11:30 AM,Warriors B2,Twin Oaks Day Camp Field,Game,Souderton B2,,,,,3767931,,
,04/11/2015,10:00 AM,11:30 AM,StJoes A2,St Joe - Mary St,Game,Aston A2,,,,,3761636,,
,04/11/2015,10:00 AM,11:30 AM,Marple A1,Gauntlett Center,Game,Warriors A1,,,,,3760514,,
2013001446,04/11/2015,10:00 AM,11:30 AM,Spartan B3,Spartan,Game,North Penn B3,,,,,3767989,,
,04/11/2015,10:00 AM,11:30 AM,Wissahickon A1,Wissahickon,Game,Conshohocken A1,,,,,3760516,,
2013001456,04/11/2015,10:30 AM,12:00 PM,Upper Moreland B3,Nathaniel Boileau Park,Game,Council Rock B3,,,,,3767999,,
2013001071,04/11/2015,10:30 AM,12:00 PM,CBAA  A1A,CBAA 1,Game,Council Rock A1A,,,,,3750103,,
2013001178,04/11/2015,10:30 AM,12:00 PM,Deep Run A1,Deep Run,Game,Boyertown A1,,,,,3767751,,
2013001116,04/11/2015,10:30 AM,12:00 PM,Crooked Crosse A1A,CCLC,Game,Springfield A1A,,,,,3750140,,
2013001129,04/11/2015,10:30 AM,12:00 PM,CBAA B1A,CBAA 2,Game,Boyertown B1A,,,,,3770144,,
2013001326,04/11/2015,10:30 AM,12:00 PM,Horsham B1,Cedar Hill Park,Game,Warriors B1,,,,,3767887,,
2013001827,04/11/2015,10:30 AM,12:00 PM,Souderton White A2,Souderton,Game,Council Rock White A2,,,,,3768575,,
2013001275,04/11/2015,10:30 AM,12:00 PM,Lower Bucks White A3,William Penn Middle Scho,Game,Warriors A3,,,,,3767836,,
2013001190,04/11/2015,10:30 AM,12:00 PM,Perkiomen Valley A1,Perk Valley Middle Schoo,Game,Horsham A1,,,,,3767763,,
2013001290,04/11/2015,10:30 AM,12:00 PM,Spring-Ford A3,Brooke Elementary School,Game,North Penn A3,,,,,3767851,,
,04/11/2015,11:00 AM,12:30 PM,Haven A1,Haven - King Field Turf,Game,Ashbee A1,,,,,3760517,,
2013001193,04/11/2015,11:30 AM,1:00 PM,Spartan A1,Spartan,Game,North Penn A1,,,,,3767766,,
,04/11/2015,11:45 AM,1:15 PM,Marple Newtown A3,Gauntlett Center,Game,Haverford A3,,,,,3761664,,
2013001406,04/11/2015,12:00 PM,1:30 PM,Horsham B3,Cedar Hill Park,Game,Lansing B3,,,,,3767954,,
2013001366,04/11/2015,12:00 PM,1:30 PM,Phoenixville B2,PMYC Clubhouse Field,Game,Deep Run B2,,,,,3767923,,
2013001826,04/11/2015,12:00 PM,1:30 PM,Souderton Red A2,Souderton,Game,Phoenixville A2,,,,,3768574,,
2013001121,04/11/2015,12:00 PM,1:30 PM,Ashbee B1A,Harriton 1,Game,Springfield B1A,,,,,3763150,,
2013001209,04/11/2015,12:00 PM,1:30 PM,Crooked Crosse A2,CCLC,Game,Council Rock Blue A2,,,,,3767778,,
2013001217,04/11/2015,12:00 PM,1:30 PM,Lower Bucks A2,William Penn Middle Scho,Game,Warriors A2,,,,,3767786,,
2013001436,04/11/2015,12:00 PM,1:30 PM,Perkiomen Valley B3,Perk Valley Middle Schoo,Game,Wissahickon Blue B3,,,,,3767984,,
2013001805,04/11/2015,12:00 PM,1:30 PM,CBAA A1,CBAA 1,Game,Calvary A1,,,,,3768553,,
2013001213,04/11/2015,12:00 PM,1:30 PM,Deep Run A2,Deep Run,Game,Boyertown A2,,,,,3767782,,
2013001141,04/11/2015,12:00 PM,1:30 PM,Moorestown B1A,Moorestown,Game,Radnor B1A,,,,,3763170,,
2013001295,04/11/2015,12:00 PM,1:30 PM,Upper Moreland A3,Nathaniel Boileau Park,Game,Council Rock  A3,,,,,3767856,,
,04/11/2015,12:00 PM,1:30 PM,Radnor White A3,Prevost Field,Game,Ashbee A3,,,,,3761663,,
2013001703,04/11/2015,12:00 PM,1:30 PM,CBAA B3,CBAA 2,Game,Boyertown B3,,,,,3768219,,
2013001237,04/11/2015,12:00 PM,1:30 PM,Spring-Ford A2,Brooke Elementary School,Game,North Penn A2,,,,,3767798,,
2013001650,04/11/2015,1:00 PM,2:30 PM,Spartan B1,Spartan,Game,North Penn B1,,,,,3768179,,
2013001374,04/11/2015,1:30 PM,3:00 PM,Upper Moreland B2,Nathaniel Boileau Park,Game,Council Rock B2,,,,,3767927,,
2013001806,04/11/2015,1:30 PM,3:00 PM,CBAA A3,CBAA 1,Game,Perkiomen Valley A3,,,,,3768554,,
2013001314,04/11/2015,1:30 PM,3:00 PM,CBAA B1,CBAA 2,Game,Calvary B1,,,,,3770136,,
2013001626,04/11/2015,1:30 PM,3:00 PM,CBAA B1,CBAA 2,Game,Calvary B1,,,,,3768155,,
2013001817,04/11/2015,1:30 PM,3:00 PM,CBAA B1,CBAA 2,Game,Calvary B1,,,,,3770137,,
2013001161,04/11/2015,1:30 PM,3:00 PM,Spring-Ford B1A,Brooke Elementary,Game,Crooked Crosse B1A,,,,,3763190,,
2013001421,04/11/2015,1:30 PM,3:00 PM,Lower Bucks White B3,William Penn Middle Scho,Game,Warriors White B3,,,,,3767969,,
2013001451,04/11/2015,3:00 PM,4:30 PM,Spring-Ford B3,Brooke Elementary School,Game,New Hope B3,,,,,3767994,,
2013001416,04/11/2015,3:00 PM,4:30 PM,Lower Bucks Blue B3,William Penn Middle Scho,Game,Wariors Blue B3,,,,,3767964,,
,04/11/2015,3:00 PM,4:30 PM,Ridley B2,Ridley Municipal Park,Game,Drexel Hill B2,,,,,3769595,,
2013001354,04/12/2015,10:30 AM,12:00 PM,Council Rock B2,Newtown Elementary,Game,CBAA B2,,,,,3767911,,
2013001125,04/12/2015,10:30 AM,12:00 PM,Boyertown B1A,Boyertown,Game,Wissahickon B1A,,,,,3763154,,
2013001133,04/12/2015,11:00 AM,12:30 PM,Crooked Crosse B1A,CCLC,Game,Perkiomen Valley B1A,,,,,3763162,,
2013001491,04/12/2015,12:00 PM,1:30 PM,Deep Run A1,Deep Run,Game,North Penn A1,,,,,3768032,,
2013001157,04/12/2015,12:00 PM,1:30 PM,Springfield B1A,Springfield - Church Rd,Game,Moorestown B1A,,,,,3763186,,
2013001296,04/12/2015,12:00 PM,1:30 PM,Upper Moreland A3,Nathaniel Boileau Park,Game,North Penn A3,,,,,3767857,,
2013001396,04/12/2015,12:00 PM,1:30 PM,Council Rock B3,Newtown Elementary,Game,Spartan B3,,,,,3767944,,
2013001310,04/12/2015,12:00 PM,1:30 PM,Calvary B1,Calvary AA,Game,Warriors B1,,,,,3767871,,
2013001260,04/12/2015,12:00 PM,1:30 PM,Horsham A3,Cedar Hill Park,Game,Spring-Ford A3,,,,,3767821,,
2013001411,04/12/2015,12:00 PM,1:30 PM,Lansing B3,Abraham Lincoln High Sch,Game,Wariors Blue B3,,,,,3767959,,
2013001844,04/12/2015,12:00 PM,1:30 PM,Boyertown B3,Boyertown,Game,Wissahickon Gold B3,,,,,3768595,,
2013001130,04/12/2015,12:00 PM,1:30 PM,CBAA B1A,CBAA 2,Game,Spring-Ford B1A,,,,,3763159,,
2013001466,04/12/2015,12:00 PM,1:30 PM,Warriors White B3,Twin Oaks Day Camp Field,Game,Lower Bucks Blue B3,,,,,3768009,,
