		H
	1 2 3 4 5 6 7 8 
8:50	0 0 0 0 0 0 0 0 
9:40	0 0 0 0 0 0 0 0 
10:30	0 0 0 0 0 0 0 0 
11:20	0 0 0 0 0 0 0 0 
12:10	0 0 0 0 0 0 0 0 
1:0	0 0 0 0 0 0 0 0 
1:50	0 0 0 0 0 0 0 0 
2:40	0 0 0 0 0 0 0 0 
3:30	0 0 0 0 0 0 0 0 
4:20	0 0 0 0 0 0 0 0 
5:10	0 0 0 0 0 0 0 0 
6:0	0 0 0 0 0 0 0 0 

		P
	1 2 3 4 5 6 7 8 9 
8:50	0 0 0 0 0 0 0 0 0 
9:40	0 0 0 0 0 0 0 0 0 
10:30	0 0 0 0 0 0 0 0 0 
11:20	0 0 0 0 0 0 0 0 0 
12:10	0 0 0 0 0 0 0 0 0 
1:0	0 0 0 0 0 0 0 0 0 
1:50	0 0 0 0 0 0 0 0 0 
2:40	0 0 0 0 0 0 0 0 0 
3:30	0 0 0 0 0 0 0 0 0 
4:20	0 0 0 0 0 0 0 0 0 
5:10	0 0 0 0 0 0 0 0 0 
6:0	0 0 0 0 0 0 0 0 0 

		N
	1 2 3 4 5 6 7 
8:50	0 0 0 0 0 0 0 
9:40	0 0 0 0 0 0 0 
10:30	0 0 0 0 0 0 0 
11:20	0 0 0 0 0 0 0 
12:10	0 0 0 0 0 0 0 
1:0	0 0 0 0 0 0 0 
1:50	0 0 0 0 0 0 0 
2:40	0 0 0 0 0 0 0 
3:30	0 0 0 0 0 0 0 
4:20	0 0 0 0 0 0 0 
5:10	0 0 0 0 0 0 0 
6:0	0 0 0 0 0 0 0 

		B
	1 2 3 
8:50	0 0 0 
9:40	0 0 0 
10:30	0 0 0 
11:20	0 0 0 
12:10	0 0 0 
1:0	0 0 0 
1:50	0 0 0 
2:40	0 0 0 
3:30	0 0 0 
4:20	0 0 0 
5:10	0 0 0 
6:0	0 0 0 

