,,,,,,,,,,,,,,,
"CHAPTER CHALLENGE - FIELD GRID DRAFT (with match-ups) - May 1, 2015 - 9:00am",,,,,,,,,,,,,,,
(This grid is for general scheduling purposes and may be subject to change.),,,,,,,,,,,,,,,
SATURDAY,,POLO FIELD #1,,,,,Boys U9B-BLUE Byes,,,,,,,,
Time,Slot,Field #1,Field #2,Field #3,Field #4,Field #5,Field #3,,,,,,,,
08:00:00 H,A,UPRISING 2024 (PA),BROTHERLY LOVE (PA),COUGARS (PA),BYC U11B-IM (PA),BYC FLYNN (PA),SPRING-FORD D BLUE (PA),,,Boys U9A-RED,Boys U9A-RED,Boys U9B-BLUE,Boys U11B-RED,Boys U11B-RED,Boys U9B-BLUE
08:00:00 A,A,TEAM HARLEY U9 (PA),PHILADELPHIA FREEDOM 2024 (PA),CYLAX U-9 (PA),MAD DOGS (PA),BROTHERLY LOVE 2023/2024 (PA),,,,Boys U9A-RED,Boys U9A-RED,Boys U9B-BLUE,Boys U11B-RED,Boys U11B-RED,
08:50:00 H,B,UPRISING 2023 (PA),BROTHERLY LOVE 2023 (PA),SPRING-FORD D BLUE (PA),BYC ZAVOD (PA),SPRING-FORD C BLUE (PA),,,,Boys U11A-RED,Boys U11A-RED,Boys U9B-BLUE,Boys U11B-BLUE,Boys U11B-BLUE,
08:50:00 A,B,TEAM HARLEY 2022 (PA),LIONVILLE U11A (PA),BROTHERLY LOVE (PA),ROSE TREE OPTIMIST (PA),UPPER MERION LC 3/4 C (PA),,,,Boys U11A-RED,Boys U11A-RED,Boys U9A-RED,Boys U11B-BLUE,Boys U11B-BLUE,
09:40:00 H,C,BROTHERLY LOVE (PA),PHILADELPHIA FREEDOM 2024 (PA),COUGARS (PA),BROTHERLY LOVE 2023/2024 (PA),BYC FLYNN (PA),CYLAX U-9 (PA),,,Boys U9A-RED,Boys U9A-RED,Boys U9B-BLUE,Boys U11B-RED,Boys U11B-RED,Boys U9B-BLUE
09:40:00 A,C,TEAM HARLEY U9 (PA),UPRISING 2024 (PA),SPRING-FORD D BLUE (PA),BYC U11B-IM (PA),MAD DOGS (PA),,,,Boys U9A-RED,Boys U9A-RED,Boys U9B-BLUE,Boys U11B-RED,Boys U11B-RED,
10:30:00 H,D,UPRISING 2023 (PA),BROTHERLY LOVE 2023 (PA),CYLAX U-9 (PA),UPPER MERION LC 3/4 C (PA),BYC ZAVOD (PA),,,,Boys U11A-RED,Boys U11A-RED,Boys U9B-BLUE,Boys U11B-BLUE,Boys U11B-BLUE,
10:30:00 A,D,LIONVILLE U11A (PA),TEAM HARLEY 2022 (PA),PHILADELPHIA FREEDOM 2024 (PA),ROSE TREE OPTIMIST (PA),SPRING-FORD C BLUE (PA),,,,Boys U11A-RED,Boys U11A-RED,Boys U9A-RED,Boys U11B-BLUE,Boys U11B-BLUE,
11:20:00 H,E,BROTHERLY LOVE (PA),TEAM HARLEY U9 (PA),CYLAX U-9 (PA),BROTHERLY LOVE 2023/2024 (PA),BYC U11B-IM (PA),COUGARS (PA),,,Boys U9A-RED,Boys U9A-RED,Boys U9B-BLUE,Boys U11B-RED,Boys U11B-RED,Boys U9B-BLUE
11:20:00 A,E,UPRISING 2024 (PA),PHILADELPHIA FREEDOM 2024 (PA),SPRING-FORD D BLUE (PA),MAD DOGS (PA),SPRING-FORD C BLUE (PA),,,,Boys U9A-RED,Boys U9A-RED,Boys U9B-BLUE,Boys U11B-RED,Boys U11B-BLUE,
