Liberty 2015 - FIELD GRID DRAFT (with match-ups) - 2015-06-03 1PM,,,,,,,,,,,,,,,,,,,,,,,
(This grid is for general scheduling purposes and may be subject to change.),,,,,,,,,,,,,,,,,,,,,,,
Saturday,SATURDAY,,,,,,,,,# Finals,,,,,,,,,,,,,
Time,Field #1,Field #2,Field #3,Field #4,Field #5,Field #6,Field #7,Field #8,Pool Key,,,,,,,,,,,,,,
08:50:00 H,VIPER 6,ASHBEE ORANGE,RADNOR LC,GREAT VALLEY PATRIOTS,BYC U13B-2,CYLAX GARNET B,CYLAX GRAY C,RIDGE FUTURES GREEN,Boys Club 2021/22A-1,1,,Boys U13B-2,Boys U13B-1,Boys U13B-2,Boys U13B-1,Boys U13B-4,Boys U13B-3,Boys U13B-4,Boys U13B-3,Boys Club 2021/22A-1,,,
08:50:00 A,SOUTH PARKLAND,PA ROUGHRIDERS 2022 ,COUGAR ELITE WHITE,HEMPFIELD,PHILADELPHIA FREEDOM 2021 WHITE,MARPLE NEWTOWN TIGERS I,UNIONVILLE INDIANS,BLAZE U-13,Boys Club 2023/24A-1,2,,Boys U13B-2,Boys U13B-1,Boys U13B-2,Boys U13B-1,Boys U13B-4,Boys U13B-3,Boys U13B-4,Boys U13B-3,Boys Club 2023/24A-1,,,
09:40:00 H,,STARS & STRIPES 2022 BLUE,PA ROUGHRIDERS 2021 SELECT,PA ROUGHRIDERS 2020 SELECT,RIDLEY U13,BYC 13A SKULSKI,KENNETT BLUE DEMONS U13A,,Boys U13A-1,1,,,Boys Club 2021/22A-1,Boys Club 2021/22A-1,Boys U13A-2,Boys U13A-1,Boys U13A-2,Boys U13A-1,,Boys U13A-1,,,
09:40:00 A,,COUGAR ELITE  BLUE,MD WOLFPACK 2021,BULLDOGS,LEHIGH VALLEY OUTLAWS,MT. LEBANON U13A,COUGAR ELITE,,Boys U13A-2,,,,Boys Club 2021/22A-1,Boys Club 2021/22A-1,Boys U13A-2,Boys U13A-1,Boys U13A-2,Boys U13A-1,,Boys U13A-2,,,
10:30:00 H,RADNOR LC,PA ROUGHRIDERS 2022 ,VIPER 6,ASHBEE ORANGE,UNIONVILLE INDIANS,MARPLE NEWTOWN TIGERS I,CYLAX GRAY C,BLAZE U-13,Boys U13B-1,1,,Boys U13B-2,Boys U13B-1,Boys U13B-2,Boys U13B-1,Boys U13B-4,Boys U13B-3,Boys U13B-4,Boys U13B-3,Boys U13B-1,,,
10:30:00 A,SOUTH PARKLAND,GREAT VALLEY PATRIOTS,COUGAR ELITE WHITE,HEMPFIELD,PHILADELPHIA FREEDOM 2021 WHITE,RIDGE FUTURES GREEN,BYC U13B-2,CYLAX GARNET B,Boys U13B-2,,,Boys U13B-2,Boys U13B-1,Boys U13B-2,Boys U13B-1,Boys U13B-4,Boys U13B-3,Boys U13B-4,Boys U13B-3,Boys U13B-2,,,
11:20:00 H,,,PA ROUGHRIDERS 2021 SELECT,STARS & STRIPES 2022 BLUE,PA ROUGHRIDERS 2020 SELECT,KENNETT BLUE DEMONS U13A,BULLDOGS,COUGAR ELITE,Boys U13B-3,,,,,Boys Club 2021/22A-1,Boys Club 2021/22A-1,Boys U13A-2,Boys U13A-1,Boys U13A-2,Boys U13A-1,Boys U13B-3,,,
11:20:00 A,,,COUGAR ELITE  BLUE,MD WOLFPACK 2021,BYC 13A SKULSKI,RIDLEY U13,MT. LEBANON U13A,LEHIGH VALLEY OUTLAWS,Boys U13B-4,,,,,Boys Club 2021/22A-1,Boys Club 2021/22A-1,Boys U13A-2,Boys U13A-1,Boys U13A-2,Boys U13A-1,Boys U13B-4,,,
12:10:00 H,COUGAR ELITE WHITE,GREAT VALLEY PATRIOTS,VIPER 6,HEMPFIELD,UNIONVILLE INDIANS,BLAZE U-13,CYLAX GRAY C,RIDGE FUTURES GREEN,Boys U9A-1,1,,Boys U13B-2,Boys U13B-1,Boys U13B-2,Boys U13B-1,Boys U13B-4,Boys U13B-3,Boys U13B-4,Boys U13B-3,Boys U9A-1,,,
