Liberty 2015 - FIELD GRID DRAFT (with match-ups) - 2015-05-31 21:01:31.457074
(This grid is for general scheduling purposes and may be subject to change.)
Day One,,Saturday,,,,,,,
Time,,Field #1,Field #2,Field #3,Field #4,Field #5,Field #6,Field #7,Field #8,Byes
08:00:00 H,,COLLEGEVILLE COUGARS (PA),BEL AIR TYKER BOYS (MD),BLUE DEMONS (PA),HARLEY 2024 (PA),BYC U13B-2 (PA),CYLAX GRAY C (PA),UNIONVILLE INDIANS (PA),GREAT VALLEY PATRIOTS (PA),,,,,Boys U9B-1,Boys U9B-1,Boys U9A-1,Boys U9A-1,Boys U13B-4,Boys U13B-4,Boys U13B-3,Boys U13B-3,,
08:00:00 A,,CYLAX GRAY B (PA),OLDE ENGLISH LACROSSE (PA),CYLAX GARNET A (PA),TIGERS U9 (PA),PHILADELPHIA FREEDOM 2021 WHITE (PA),CYLAX GARNET B (PA),MARPLE NEWTOWN TIGERS I (PA),BLAZE U-13 (PA),,,,,Boys U9B-1,Boys U9B-1,Boys U9A-1,Boys U9A-1,Boys U13B-4,Boys U13B-4,Boys U13B-3,Boys U13B-3,,
08:50:00 H,,SOUTH PARKLAND (PA),RADNOR LC (PA),VIPER 6 (NY),RIDGE FUTURES GREEN (NJ),PA ROUGHRIDERS 2020 SELECT (PA),BYC 13A SKULSKI (PA),RIDLEY U13 (PA),KENNETT BLUE DEMONS U13A (PA),,,,,Boys U13B-2,Boys U13B-2,Boys U13B-1,Boys U13B-1,Boys U13A-2,Boys U13A-2,Boys U13A-1,Boys U13A-1,,
08:50:00 A,,ASHBEE ORANGE (PA),COUGAR ELITE WHITE (NJ),PA ROUGHRIDERS 2022  (PA),HEMPFIELD (PA),BULLDOGS (PA),MT. LEBANON U13A (PA),LEHIGH VALLEY OUTLAWS (PA),COUGAR ELITE (NJ),,,,,Boys U13B-2,Boys U13B-2,Boys U13B-1,Boys U13B-1,Boys U13A-2,Boys U13A-2,Boys U13A-1,Boys U13A-1,,
09:40:00 H,,COLLEGEVILLE COUGARS (PA),CYLAX GRAY B (PA),HARLEY 2024 (PA),CYLAX GARNET A (PA),CYLAX GARNET B (PA),CYLAX GRAY C (PA),MARPLE NEWTOWN TIGERS I (PA),BLAZE U-13 (PA),,,,,Boys U9B-1,Boys U9B-1,Boys U9A-1,Boys U9A-1,Boys U13B-4,Boys U13B-4,Boys U13B-3,Boys U13B-3,,
09:40:00 A,,OLDE ENGLISH LACROSSE (PA),BEL AIR TYKER BOYS (MD),BLUE DEMONS (PA),TIGERS U9 (PA),PHILADELPHIA FREEDOM 2021 WHITE (PA),BYC U13B-2 (PA),GREAT VALLEY PATRIOTS (PA),UNIONVILLE INDIANS (PA),,,,,Boys U9B-1,Boys U9B-1,Boys U9A-1,Boys U9A-1,Boys U13B-4,Boys U13B-4,Boys U13B-3,Boys U13B-3,,
10:30:00 H,,RADNOR LC (PA),SOUTH PARKLAND (PA),PA ROUGHRIDERS 2022  (PA),VIPER 6 (NY),MT. LEBANON U13A (PA),BULLDOGS (PA),COUGAR ELITE (NJ),KENNETT BLUE DEMONS U13A (PA),,,,,Boys U13B-2,Boys U13B-2,Boys U13B-1,Boys U13B-1,Boys U13A-2,Boys U13A-2,Boys U13A-1,Boys U13A-1,,
10:30:00 A,,ASHBEE ORANGE (PA),COUGAR ELITE WHITE (NJ),RIDGE FUTURES GREEN (NJ),HEMPFIELD (PA),PA ROUGHRIDERS 2020 SELECT (PA),BYC 13A SKULSKI (PA),RIDLEY U13 (PA),LEHIGH VALLEY OUTLAWS (PA),,,,,Boys U13B-2,Boys U13B-2,Boys U13B-1,Boys U13B-1,Boys U13A-2,Boys U13A-2,Boys U13A-1,Boys U13A-1,,
11:20:00 H,,CYLAX GRAY B (PA),COLLEGEVILLE COUGARS (PA),CYLAX GARNET A (PA),BLUE DEMONS (PA),CYLAX GARNET B (PA),CYLAX GRAY C (PA),BLAZE U-13 (PA),GREAT VALLEY PATRIOTS (PA),,,,,Boys U9B-1,Boys U9B-1,Boys U9A-1,Boys U9A-1,Boys U13B-4,Boys U13B-4,Boys U13B-3,Boys U13B-3,,
11:20:00 A,,OLDE ENGLISH LACROSSE (PA),BEL AIR TYKER BOYS (MD),HARLEY 2024 (PA),TIGERS U9 (PA),BYC U13B-2 (PA),PHILADELPHIA FREEDOM 2021 WHITE (PA),MARPLE NEWTOWN TIGERS I (PA),UNIONVILLE INDIANS (PA),,,,,Boys U9B-1,Boys U9B-1,Boys U9A-1,Boys U9A-1,Boys U13B-4,Boys U13B-4,Boys U13B-3,Boys U13B-3,,
