Liberty Lacrosse 2015 - FIELD GRID DRAFT (with match-ups) - 2015-05-29 14:56:55.943631
(This grid is for general scheduling purposes and may be subject to change.)
Day One,,Saturday,,,,,,,
Time,,Field #1,Field #2,Field #3,Field #4,Field #5,Field #6,Field #7,Field #8,Byes
08:00:00 H,,BEL AIR TYKER BOYS (MD),CYLAX GRAY B (PA),TIGERS U9 (PA),CYLAX GARNET A (PA),BYC U13B-2 (PA),CYLAX GRAY C (PA),UNIONVILLE INDIANS (PA),BLAZE U-13 (PA),,Boys Club 2021/2A-1,,,Boys U9B-1,Boys U9B-1,Boys U9A-1,Boys U9A-1,Boys U13B-4,Boys U13B-4,Boys U13B-3,Boys U13B-3,,Boys Club 2021/2A-1
08:00:00 A,,OLDE ENGLISH LACROSSE (PA),COLLEGEVILLE COUGARS (PA),HARLEY 2024 (PA),BLUE DEMONS (PA),PHILADELPHIA FREEDOM 2021 WHITE (PA),CYLAX GARNET B (PA),MARPLE NEWTOWN TIGERS I (PA),GREAT VALLEY PATRIOTS (PA),,Boys Club 2023/4A-1,,,Boys U9B-1,Boys U9B-1,Boys U9A-1,Boys U9A-1,Boys U13B-4,Boys U13B-4,Boys U13B-3,Boys U13B-3,,Boys Club 2023/4A-1
08:50:00 H,,SOUTH PARKLAND (PA),RADNOR LC (PA),PA ROUGHRIDERS 2022  (PA),HEMPFIELD (PA),MT. LEBANON U13A (PA),BULLDOGS (PA),LEHIGH VALLEY OUTLAWS (PA),COUGAR ELITE (NJ),,Boys U13A-1,,,Boys U13B-2,Boys U13B-2,Boys U13B-1,Boys U13B-1,Boys U13A-2,Boys U13A-2,Boys U13A-1,Boys U13A-1,,Boys U13A-1
08:50:00 A,,ASHBEE ORANGE (PA),COUGAR ELITE WHITE (NJ),VIPER 6 (NY),RIDGE FUTURES GREEN (NJ),BYC 13A SKULSKI (PA),PA ROUGHRIDERS 2020 SELECT (PA),RIDLEY U13 (PA),KENNETT BLUE DEMONS U13A (PA),,Boys U13A-2,,,Boys U13B-2,Boys U13B-2,Boys U13B-1,Boys U13B-1,Boys U13A-2,Boys U13A-2,Boys U13A-1,Boys U13A-1,,Boys U13A-2
09:40:00 H,,OLDE ENGLISH LACROSSE (PA),BEL AIR TYKER BOYS (MD),HARLEY 2024 (PA),TIGERS U9 (PA),CYLAX GRAY C (PA),CYLAX GARNET B (PA),MARPLE NEWTOWN TIGERS I (PA),BLAZE U-13 (PA),,Boys U13B-1,,,Boys U9B-1,Boys U9B-1,Boys U9A-1,Boys U9A-1,Boys U13B-4,Boys U13B-4,Boys U13B-3,Boys U13B-3,,Boys U13B-1
09:40:00 A,,COLLEGEVILLE COUGARS (PA),CYLAX GRAY B (PA),BLUE DEMONS (PA),CYLAX GARNET A (PA),BYC U13B-2 (PA),PHILADELPHIA FREEDOM 2021 WHITE (PA),GREAT VALLEY PATRIOTS (PA),UNIONVILLE INDIANS (PA),,Boys U13B-2,,,Boys U9B-1,Boys U9B-1,Boys U9A-1,Boys U9A-1,Boys U13B-4,Boys U13B-4,Boys U13B-3,Boys U13B-3,,Boys U13B-2
10:30:00 H,,COUGAR ELITE WHITE (NJ),RADNOR LC (PA),RIDGE FUTURES GREEN (NJ),VIPER 6 (NY),PA ROUGHRIDERS 2020 SELECT (PA),BULLDOGS (PA),COUGAR ELITE (NJ),LEHIGH VALLEY OUTLAWS (PA),,Boys U13B-3,,,Boys U13B-2,Boys U13B-2,Boys U13B-1,Boys U13B-1,Boys U13A-2,Boys U13A-2,Boys U13A-1,Boys U13A-1,,Boys U13B-3
10:30:00 A,,SOUTH PARKLAND (PA),ASHBEE ORANGE (PA),PA ROUGHRIDERS 2022  (PA),HEMPFIELD (PA),MT. LEBANON U13A (PA),BYC 13A SKULSKI (PA),RIDLEY U13 (PA),KENNETT BLUE DEMONS U13A (PA),,Boys U13B-4,,,Boys U13B-2,Boys U13B-2,Boys U13B-1,Boys U13B-1,Boys U13A-2,Boys U13A-2,Boys U13A-1,Boys U13A-1,,Boys U13B-4
11:20:00 H,,CYLAX GRAY B (PA),COLLEGEVILLE COUGARS (PA),CYLAX GARNET A (PA),BLUE DEMONS (PA),BYC U13B-2 (PA),PHILADELPHIA FREEDOM 2021 WHITE (PA),BLAZE U-13 (PA),GREAT VALLEY PATRIOTS (PA),,Boys U9A-1,,,Boys U9B-1,Boys U9B-1,Boys U9A-1,Boys U9A-1,Boys U13B-4,Boys U13B-4,Boys U13B-3,Boys U13B-3,,Boys U9A-1
11:20:00 A,,OLDE ENGLISH LACROSSE (PA),BEL AIR TYKER BOYS (MD),HARLEY 2024 (PA),TIGERS U9 (PA),CYLAX GARNET B (PA),CYLAX GRAY C (PA),MARPLE NEWTOWN TIGERS I (PA),UNIONVILLE INDIANS (PA),,Boys U9B-1,,,Boys U9B-1,Boys U9B-1,Boys U9A-1,Boys U9A-1,Boys U13B-4,Boys U13B-4,Boys U13B-3,Boys U13B-3,,Boys U9B-1
12:10:00 H,,ASHBEE ORANGE (PA),SOUTH PARKLAND (PA),VIPER 6 (NY),PA ROUGHRIDERS 2022  (PA),MT. LEBANON U13A (PA),BYC 13A SKULSKI (PA),KENNETT BLUE DEMONS U13A (PA),LEHIGH VALLEY OUTLAWS (PA),,,,,Boys U13B-2,Boys U13B-2,Boys U13B-1,Boys U13B-1,Boys U13A-2,Boys U13A-2,Boys U13A-1,Boys U13A-1,,
12:10:00 A,,COUGAR ELITE WHITE (NJ),RADNOR LC (PA),RIDGE FUTURES GREEN (NJ),HEMPFIELD (PA),BULLDOGS (PA),PA ROUGHRIDERS 2020 SELECT (PA),RIDLEY U13 (PA),COUGAR ELITE (NJ),,,,,Boys U13B-2,Boys U13B-2,Boys U13B-1,Boys U13B-1,Boys U13A-2,Boys U13A-2,Boys U13A-1,Boys U13A-1,,
01:00:00 H,,STARS & STRIPES 2022 BLUE (PA),MD WOLFPACK 2021 (MD),PA ROUGHRIDERS 2024 (PA),FREEDOM LC 2024 (PA),DELTA HOUSE (PA),,,,,,,,Boys Club 2021/2A-1,Boys Club 2021/2A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,,,,,
01:00:00 A,,COUGAR ELITE  BLUE (NJ),PA ROUGHRIDERS 2021 SELECT (PA),UPRISING 2024 (PA),PA ROUGHRIDERS 2023 (PA),UPRISING 2023 (PA),,,,,,,,Boys Club 2021/2A-1,Boys Club 2021/2A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,,,,,
01:50:00 H,,,,,,,,,,,,,,,,,,,,,,,
01:50:00 A,,,,,,,,,,,,,,,,,,,,,,,
02:40:00 H,,PA ROUGHRIDERS 2021 SELECT (PA),MD WOLFPACK 2021 (MD),PA ROUGHRIDERS 2024 (PA),UPRISING 2024 (PA),UPRISING 2023 (PA),,,,,,,,Boys Club 2021/2A-1,Boys Club 2021/2A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,,,,,
02:40:00 A,,COUGAR ELITE  BLUE (NJ),STARS & STRIPES 2022 BLUE (PA),DELTA HOUSE (PA),FREEDOM LC 2024 (PA),PA ROUGHRIDERS 2023 (PA),,,,,,,,Boys Club 2021/2A-1,Boys Club 2021/2A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,,,,,
03:30:00 H,,,,,,,,,,,,,,,,,,,,,,,
03:30:00 A,,,,,,,,,,,,,,,,,,,,,,,
04:20:00 H,,PA ROUGHRIDERS 2021 SELECT (PA),MD WOLFPACK 2021 (MD),UPRISING 2024 (PA),PA ROUGHRIDERS 2023 (PA),PA ROUGHRIDERS 2024 (PA),,,,,,,,Boys Club 2021/2A-1,Boys Club 2021/2A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,,,,,
04:20:00 A,,STARS & STRIPES 2022 BLUE (PA),COUGAR ELITE  BLUE (NJ),UPRISING 2023 (PA),DELTA HOUSE (PA),FREEDOM LC 2024 (PA),,,,,,,,Boys Club 2021/2A-1,Boys Club 2021/2A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,,,,,
05:10:00 H,,,,,,,,,,,,,,,,,,,,,,,
05:10:00 A,,,,,,,,,,,,,,,,,,,,,,,

Day Two,,Sunday,,,,,,,
Time,,Field #1,Field #2,Field #3,Field #4,Field #5,Field #6,Field #7,Field #8,Byes
08:00:00 H,,SOUDERTON (PA),HAVEN (PA),LEHIGH VALLEY OUTLAWS (PA),VIPER 19 (NY),STARS & STRIPES 2020/2021 BLUE (PA),MD WOLFPACK 2020 (MD),RIDGE FUTURES SILVER (NJ),MD WOLFPACK 2019B (MD),,Boys Club 2019A-1,,,Boys U15B-1,Boys U15B-1,Boys U15A-1,Boys U15A-1,Boys Club 2020A-1,Boys Club 2020A-1,Boys Club 2019A-1,Boys Club 2019A-1,,Boys Club 2019A-1
08:00:00 A,,HAVERFORD BLAZE U-15 (PA),COUGAR ELITE (NJ),SCHNECKSVILLE SPA (PA),COUGAR ELITE (NJ),STARS & STRIPES 2020/2021 RED (PA),RIDGE FUTURES BLACK (NJ),SONS 2020 (PA),MESA FRESH 2019 (PA),,Boys Club 2020A-1,,,Boys U15B-1,Boys U15B-1,Boys U15A-1,Boys U15A-1,Boys Club 2020A-1,Boys Club 2020A-1,Boys Club 2019A-1,Boys Club 2019A-1,,Boys Club 2020A-1
08:50:00 H,,HOUSE LEAGUE ALL STARS (PA),BLAZE U 11 (PA),TWIN VALLEY RAIDERS - 3-4 LIGHTNING (PA),TEAM HARLEY 2023 (PA),CYLAX TRAVEL B (PA),VIPER 3 (NY),,,,Boys U11A-1,,,Boys U11B-2,Boys U11B-2,Boys U11B-2,Boys U11B-1,Boys U11B-1,Boys U11B-1,,,,Boys U11A-1
08:50:00 A,,HW TURTLES (PA),COATESVILLE RED RAIDERS (PA),BYC U11B (PA),CYLAX HOUSE (PA),CYLAX TRAVEL C (PA),SOUTH PARKLAND (PA),,,,Boys U11A-2,,,Boys U11B-2,Boys U11B-2,Boys U11B-2,Boys U11B-1,Boys U11B-1,Boys U11B-1,,,,Boys U11A-2
09:40:00 H,,SOUDERTON (PA),HAVERFORD BLAZE U-15 (PA),VIPER 19 (NY),SCHNECKSVILLE SPA (PA),MD WOLFPACK 2020 (MD),RIDGE FUTURES BLACK (NJ),MESA FRESH 2019 (PA),SONS 2020 (PA),,Boys U11B-1,,,Boys U15B-1,Boys U15B-1,Boys U15A-1,Boys U15A-1,Boys Club 2020A-1,Boys Club 2020A-1,Boys Club 2019A-1,Boys Club 2019A-1,,Boys U11B-1
09:40:00 A,,HAVEN (PA),COUGAR ELITE (NJ),LEHIGH VALLEY OUTLAWS (PA),COUGAR ELITE (NJ),STARS & STRIPES 2020/2021 RED (PA),STARS & STRIPES 2020/2021 BLUE (PA),RIDGE FUTURES SILVER (NJ),MD WOLFPACK 2019B (MD),,Boys U11B-2,,,Boys U15B-1,Boys U15B-1,Boys U15A-1,Boys U15A-1,Boys Club 2020A-1,Boys Club 2020A-1,Boys Club 2019A-1,Boys Club 2019A-1,,Boys U11B-2
10:30:00 H,,BLAZE U 11 (PA),COATESVILLE RED RAIDERS (PA),HOUSE LEAGUE ALL STARS (PA),SOUTH PARKLAND (PA),TEAM HARLEY 2023 (PA),CYLAX HOUSE (PA),,,,Boys U15A-1,,,Boys U11B-2,Boys U11B-2,Boys U11B-2,Boys U11B-1,Boys U11B-1,Boys U11B-1,,,,Boys U15A-1
10:30:00 A,,HW TURTLES (PA),BYC U11B (PA),TWIN VALLEY RAIDERS - 3-4 LIGHTNING (PA),CYLAX TRAVEL B (PA),VIPER 3 (NY),CYLAX TRAVEL C (PA),,,,Boys U15B-1,,,Boys U11B-2,Boys U11B-2,Boys U11B-2,Boys U11B-1,Boys U11B-1,Boys U11B-1,,,,Boys U15B-1
11:20:00 H,,HAVEN (PA),COUGAR ELITE (NJ),LEHIGH VALLEY OUTLAWS (PA),VIPER 19 (NY),STARS & STRIPES 2020/2021 RED (PA),STARS & STRIPES 2020/2021 BLUE (PA),MD WOLFPACK 2019B (MD),MESA FRESH 2019 (PA),,,,,Boys U15B-1,Boys U15B-1,Boys U15A-1,Boys U15A-1,Boys Club 2020A-1,Boys Club 2020A-1,Boys Club 2019A-1,Boys Club 2019A-1,,
11:20:00 A,,HAVERFORD BLAZE U-15 (PA),SOUDERTON (PA),COUGAR ELITE (NJ),SCHNECKSVILLE SPA (PA),RIDGE FUTURES BLACK (NJ),MD WOLFPACK 2020 (MD),RIDGE FUTURES SILVER (NJ),SONS 2020 (PA),,,,,Boys U15B-1,Boys U15B-1,Boys U15A-1,Boys U15A-1,Boys Club 2020A-1,Boys Club 2020A-1,Boys Club 2019A-1,Boys Club 2019A-1,,
12:10:00 H,,HW TURTLES (PA),BLAZE U 11 (PA),TWIN VALLEY RAIDERS - 3-4 LIGHTNING (PA),CYLAX TRAVEL C (PA),CYLAX TRAVEL B (PA),CYLAX HOUSE (PA),,,,,,,Boys U11B-2,Boys U11B-2,Boys U11B-2,Boys U11B-1,Boys U11B-1,Boys U11B-1,,,,
12:10:00 A,,BYC U11B (PA),HOUSE LEAGUE ALL STARS (PA),COATESVILLE RED RAIDERS (PA),TEAM HARLEY 2023 (PA),VIPER 3 (NY),SOUTH PARKLAND (PA),,,,,,,Boys U11B-2,Boys U11B-2,Boys U11B-2,Boys U11B-1,Boys U11B-1,Boys U11B-1,,,,
01:00:00 H,,CHOSEN (PA),MAD DOGS (PA),CYLAX TRAVEL A (PA),VIPER LUZZI (NY),COUGAR ELITE (NJ),STARS & STRIPES 2022 RED (PA),,,,,,,Boys U11A-2,Boys U11A-2,Boys U11A-2,Boys U11A-1,Boys U11A-1,Boys U11A-1,,,,
01:00:00 A,,HALLORAN 11A (PA),LIONVILLE U11A (PA),UNIONVILLE BLUE (PA),TEAM HARLEY 2022 (PA),KENNETT BLUE DEMONS (PA),RIDGE FUTURES WHITE (NJ),,,,,,,Boys U11A-2,Boys U11A-2,Boys U11A-2,Boys U11A-1,Boys U11A-1,Boys U11A-1,,,,
01:50:00 H,,,,,,,,,,,,,,,,,,,,,,,
01:50:00 A,,,,,,,,,,,,,,,,,,,,,,,
02:40:00 H,,UNIONVILLE BLUE (PA),HALLORAN 11A (PA),CHOSEN (PA),RIDGE FUTURES WHITE (NJ),COUGAR ELITE (NJ),STARS & STRIPES 2022 RED (PA),,,,,,,Boys U11A-2,Boys U11A-2,Boys U11A-2,Boys U11A-1,Boys U11A-1,Boys U11A-1,,,,
02:40:00 A,,MAD DOGS (PA),CYLAX TRAVEL A (PA),LIONVILLE U11A (PA),VIPER LUZZI (NY),TEAM HARLEY 2022 (PA),KENNETT BLUE DEMONS (PA),,,,,,,Boys U11A-2,Boys U11A-2,Boys U11A-2,Boys U11A-1,Boys U11A-1,Boys U11A-1,,,,
03:30:00 H,,,,,,,,,,,,,,,,,,,,,,,
03:30:00 A,,,,,,,,,,,,,,,,,,,,,,,
04:20:00 H,,MAD DOGS (PA),HALLORAN 11A (PA),LIONVILLE U11A (PA),TEAM HARLEY 2022 (PA),KENNETT BLUE DEMONS (PA),STARS & STRIPES 2022 RED (PA),,,,,,,Boys U11A-2,Boys U11A-2,Boys U11A-2,Boys U11A-1,Boys U11A-1,Boys U11A-1,,,,
04:20:00 A,,CHOSEN (PA),UNIONVILLE BLUE (PA),CYLAX TRAVEL A (PA),RIDGE FUTURES WHITE (NJ),VIPER LUZZI (NY),COUGAR ELITE (NJ),,,,,,,Boys U11A-2,Boys U11A-2,Boys U11A-2,Boys U11A-1,Boys U11A-1,Boys U11A-1,,,,
05:10:00 H,,,,,,,,,,,,,,,,,,,,,,,
05:10:00 A,,,,,,,,,,,,,,,,,,,,,,,

