""
Chapter Challenge 2015 - FIELD GRID DRAFT (with match-ups) - 2015-05-10 20:24:45.297334
(This grid is for general scheduling purposes and may be subject to change.)
08:00:00 H,,HAVERFORD BLAZE LC (PA),CYLAX U-13B GRAY (PA),HAVEN BLACK (PA),BROTHERLY LOVE (PA),TEAM HARLEY U9 (PA),[],[],[],Boys U13A,Boys U13A,Boys U13A,Boys U13B,Boys U13B,[]
08:00:00 A,,CYLAX GRAY GHOSTS (PA),BYC U13B-2 (PA),UPPER MERION LC 5/6 B2 (PA),PHILADELPHIA FREEDOM 2024 (PA),UPRISING 2024 (PA),[],[],[],Boys U13A,Boys U13A,Boys U13A,Boys U13B,Boys U13B,[]
08:50:00 H,,BLACK STORM (NJ),CYLAX U-13B GARNET (PA),ASHBEE B1- ORANGE (PA),EAGLES (PA),TEAM HARLEY (PA),[],[],[],Boys U13A,Boys U13A,Boys U13A,Boys U11B,Boys U11B,[]
08:50:00 A,,BYC 2022 (PA),RTO B1 (PA),BYC U13C (PA),CYLAX U-13A (PA),SPRING-FORD B BLUE (PA),[],[],[],Boys U13A,Boys U13A,Boys U13A,Boys U11B,Boys U11B,[]
09:40:00 H,,HAVEN BLACK (PA),BYC U13B-2 (PA),CYLAX GRAY GHOSTS (PA),PHILADELPHIA FREEDOM 2024 (PA),TEAM HARLEY U9 (PA),[],[],[],Boys U13A,Boys U13A,Boys U13A,Boys U13B,Boys U13B,[]
09:40:00 A,,CYLAX U-13B GRAY (PA),HAVERFORD BLAZE LC (PA),UPPER MERION LC 5/6 B2 (PA),UPRISING 2024 (PA),BROTHERLY LOVE (PA),[],[],[],Boys U13A,Boys U13A,Boys U13A,Boys U13B,Boys U13B,[]
10:30:00 H,,CYLAX U-13B GARNET (PA),RTO B1 (PA),BLACK STORM (NJ),EAGLES (PA),SPRING-FORD B BLUE (PA),[],[],[],Boys U13A,Boys U13A,Boys U13A,Boys U11B,Boys U11B,[]
10:30:00 A,,BYC 2022 (PA),ASHBEE B1- ORANGE (PA),BYC U13C (PA),TEAM HARLEY (PA),CYLAX U-13A (PA),[],[],[],Boys U13A,Boys U13A,Boys U13A,Boys U11B,Boys U11B,[]
11:20:00 H,,HAVEN BLACK (PA),CYLAX U-13B GRAY (PA),BYC U13B-2 (PA),BROTHERLY LOVE (PA),TEAM HARLEY U9 (PA),[],[],[],Boys U13A,Boys U13A,Boys U13A,Boys U13B,Boys U13B,[]
11:20:00 A,,HAVERFORD BLAZE LC (PA),UPPER MERION LC 5/6 B2 (PA),CYLAX GRAY GHOSTS (PA),UPRISING 2024 (PA),PHILADELPHIA FREEDOM 2024 (PA),[],[],[],Boys U13A,Boys U13A,Boys U13A,Boys U13B,Boys U13B,[]
12:10:00 H,,BLACK STORM (NJ),BYC 2022 (PA),BYC U13C (PA),EAGLES (PA),TEAM HARLEY (PA),[],[],[],Boys U13A,Boys U13A,Boys U13A,Boys U11B,Boys U11B,[]
12:10:00 A,,CYLAX U-13B GARNET (PA),ASHBEE B1- ORANGE (PA),RTO B1 (PA),SPRING-FORD B BLUE (PA),CYLAX U-13A (PA),[],[],[],Boys U13A,Boys U13A,Boys U13A,Boys U11B,Boys U11B,[]
01:00:00 H,,BYC ZAVOD (PA),BYC FLYNN (PA),UPPER MERION LC 3/4 C (PA),BYC U11B-IM (PA),BYC U11B-IM (PA),[],[],[],Boys U11B,Boys U11B,Boys U11B,Boys U11B,Boys U11B,[]
01:00:00 A,,MAD DOGS (PA),BROTHERLY LOVE 2023/2024 (PA),SPRING-FORD C BLUE (PA),ROSE TREE OPTIMIST (PA),ROSE TREE OPTIMIST (PA),[],[],[],Boys U11B,Boys U11B,Boys U11B,Boys U11B,Boys U11B,[]
01:50:00 H,,BROTHERLY LOVE 2023 (PA),TEAM HARLEY 2022 (PA),TEAM HARLEY 2022 (PA),TEAM HARLEY 2022 (PA),TEAM HARLEY 2022 (PA),[],[],[],Boys U11A,Boys U11A,Boys U11A,Boys U11A,Boys U11A,[]
01:50:00 A,,LIONVILLE U11A (PA),UPRISING 2023 (PA),UPRISING 2023 (PA),UPRISING 2023 (PA),UPRISING 2023 (PA),[],[],[],Boys U11A,Boys U11A,Boys U11A,Boys U11A,Boys U11A,[]
02:40:00 H,,BROTHERLY LOVE 2023/2024 (PA),MAD DOGS (PA),BYC U11B-IM (PA),UPPER MERION LC 3/4 C (PA),UPPER MERION LC 3/4 C (PA),[],[],[],Boys U11B,Boys U11B,Boys U11B,Boys U11B,Boys U11B,[]
02:40:00 A,,BYC ZAVOD (PA),BYC FLYNN (PA),SPRING-FORD C BLUE (PA),ROSE TREE OPTIMIST (PA),ROSE TREE OPTIMIST (PA),[],[],[],Boys U11B,Boys U11B,Boys U11B,Boys U11B,Boys U11B,[]
03:30:00 H,,BROTHERLY LOVE 2023 (PA),LIONVILLE U11A (PA),LIONVILLE U11A (PA),LIONVILLE U11A (PA),LIONVILLE U11A (PA),[],[],[],Boys U11A,Boys U11A,Boys U11A,Boys U11A,Boys U11A,[]
03:30:00 A,,TEAM HARLEY 2022 (PA),UPRISING 2023 (PA),UPRISING 2023 (PA),UPRISING 2023 (PA),UPRISING 2023 (PA),[],[],[],Boys U11A,Boys U11A,Boys U11A,Boys U11A,Boys U11A,[]
04:20:00 H,,MAD DOGS (PA),BYC FLYNN (PA),ROSE TREE OPTIMIST (PA),UPPER MERION LC 3/4 C (PA),UPPER MERION LC 3/4 C (PA),[],[],[],Boys U11B,Boys U11B,Boys U11B,Boys U11B,Boys U11B,[]
04:20:00 A,,BROTHERLY LOVE 2023/2024 (PA),BYC ZAVOD (PA),SPRING-FORD C BLUE (PA),BYC U11B-IM (PA),BYC U11B-IM (PA),[],[],[],Boys U11B,Boys U11B,Boys U11B,Boys U11B,Boys U11B,[]
05:10:00 H,,UPRISING 2023 (PA),TEAM HARLEY 2022 (PA),TEAM HARLEY 2022 (PA),TEAM HARLEY 2022 (PA),TEAM HARLEY 2022 (PA),[],[],[],Boys U11A,Boys U11A,Boys U11A,Boys U11A,Boys U11A,[]
05:10:00 A,,BROTHERLY LOVE 2023 (PA),LIONVILLE U11A (PA),LIONVILLE U11A (PA),LIONVILLE U11A (PA),LIONVILLE U11A (PA),[],[],[],Boys U11A,Boys U11A,Boys U11A,Boys U11A,Boys U11A,[]
08:00:00 H,,ROSE TREE RED (PA),HAWKS (NJ),LOWER MAC MUSTANGS (PA),RADNOR MAROON (PA),SPRINGFIELD GOLD (PA),[],[],[],Girls U15A,Girls U15A,Girls U15A,Girls U15A,Girls U15A,[]
08:00:00 A,,SPRINGFIELD 2020 (PA),STORM (DE),RADNOR BLACK (PA),QUIX STIX 8TH GRADE A (PA),WEST CHESTER 7/8 REC (PA),[],[],[],Girls U15A,Girls U15A,Girls U15A,Girls U15A,Girls U15A,[]
08:50:00 H,,SPRINGFIELD GOLD (PA),RTO B (PA),FILIA 2022 (PA),OPTIMIST LAXERS (PA),THUNDER (PA),[],[],[],Girls U13B,Girls U13B,Girls U13B,Girls U15A,Girls U15A,[]
08:50:00 A,,SPRINGFIELD BLUE (PA),HENLOPEN STORM (DE),BYC (PA),QUIX STIX 7TH GRADE A (PA),BRANDYWINE MAJORS NAVY (PA),[],[],[],Girls U13B,Girls U13B,Girls U13B,Girls U15A,Girls U15A,[]
09:40:00 H,,STORM (DE),ROSE TREE RED (PA),HAWKS (NJ),RADNOR MAROON (PA),SPRINGFIELD GOLD (PA),[],[],[],Girls U15A,Girls U15A,Girls U15A,Girls U15A,Girls U15A,[]
09:40:00 A,,LOWER MAC MUSTANGS (PA),RADNOR BLACK (PA),SPRINGFIELD 2020 (PA),WEST CHESTER 7/8 REC (PA),QUIX STIX 8TH GRADE A (PA),[],[],[],Girls U15A,Girls U15A,Girls U15A,Girls U15A,Girls U15A,[]
10:30:00 H,,HENLOPEN STORM (DE),RTO B (PA),SPRINGFIELD BLUE (PA),THUNDER (PA),QUIX STIX 7TH GRADE A (PA),[],[],[],Girls U13B,Girls U13B,Girls U13B,Girls U15A,Girls U15A,[]
10:30:00 A,,FILIA 2022 (PA),SPRINGFIELD GOLD (PA),BYC (PA),OPTIMIST LAXERS (PA),BRANDYWINE MAJORS NAVY (PA),[],[],[],Girls U13B,Girls U13B,Girls U13B,Girls U15A,Girls U15A,[]
11:20:00 H,,SPRINGFIELD 2020 (PA),STORM (DE),HAWKS (NJ),SPRINGFIELD GOLD (PA),QUIX STIX 8TH GRADE A (PA),[],[],[],Girls U15A,Girls U15A,Girls U15A,Girls U15A,Girls U15A,[]
11:20:00 A,,RADNOR BLACK (PA),ROSE TREE RED (PA),LOWER MAC MUSTANGS (PA),RADNOR MAROON (PA),WEST CHESTER 7/8 REC (PA),[],[],[],Girls U15A,Girls U15A,Girls U15A,Girls U15A,Girls U15A,[]
12:10:00 H,,SPRINGFIELD GOLD (PA),HENLOPEN STORM (DE),SPRINGFIELD BLUE (PA),BRANDYWINE MAJORS NAVY (PA),THUNDER (PA),[],[],[],Girls U13B,Girls U13B,Girls U13B,Girls U15A,Girls U15A,[]
12:10:00 A,,FILIA 2022 (PA),BYC (PA),RTO B (PA),OPTIMIST LAXERS (PA),QUIX STIX 7TH GRADE A (PA),[],[],[],Girls U13B,Girls U13B,Girls U13B,Girls U15A,Girls U15A,[]
01:00:00 H,,JUNIOR HAWKS (NJ),FILIA CYCLONES (PA),BYC - 4TH GRADE (PA),HENLOPEN STORM (DE),BYC (PA),[],[],[],Girls U11A,Girls U11A,Girls U11A,Girls U13A,Girls U13A,[]
01:00:00 A,,HENLOPEN STORM (DE),FILIA HURRICANES (PA),BELLES (PA),QUIX STIX 5/6 GRADE A (PA),FILIA 2021 (PA),[],[],[],Girls U11A,Girls U11A,Girls U11A,Girls U13A,Girls U13A,[]
01:50:00 H,,SPRING-FORD A GOLD (PA),EAGLES (PA),HAVEN A1 (PA),SPRING-FORD A BLUE (PA),SPRING-FORD A BLUE (PA),[],[],[],Boys U15B,Boys U15B,Boys U15A,Boys U15A,Boys U15A,[]
01:50:00 A,,UPPER MERION LC 7/8 A2 (PA),BYC U15B (PA),LBL STAGS (PA),ROSE TREE OPTIMIST 7/8 (PA),ROSE TREE OPTIMIST 7/8 (PA),[],[],[],Boys U15B,Boys U15B,Boys U15A,Boys U15A,Boys U15A,[]
02:40:00 H,,JUNIOR HAWKS (NJ),BYC - 4TH GRADE (PA),BELLES (PA),BYC (PA),FILIA 2021 (PA),[],[],[],Girls U11A,Girls U11A,Girls U11A,Girls U13A,Girls U13A,[]
02:40:00 A,,FILIA HURRICANES (PA),FILIA CYCLONES (PA),HENLOPEN STORM (DE),HENLOPEN STORM (DE),QUIX STIX 5/6 GRADE A (PA),[],[],[],Girls U11A,Girls U11A,Girls U11A,Girls U13A,Girls U13A,[]
03:30:00 H,,SPRING-FORD A GOLD (PA),UPPER MERION LC 7/8 A2 (PA),SPRING-FORD A BLUE (PA),HAVEN A1 (PA),HAVEN A1 (PA),[],[],[],Boys U15B,Boys U15B,Boys U15A,Boys U15A,Boys U15A,[]
03:30:00 A,,BYC U15B (PA),EAGLES (PA),LBL STAGS (PA),ROSE TREE OPTIMIST 7/8 (PA),ROSE TREE OPTIMIST 7/8 (PA),[],[],[],Boys U15B,Boys U15B,Boys U15A,Boys U15A,Boys U15A,[]
04:20:00 H,,FILIA CYCLONES (PA),BYC - 4TH GRADE (PA),HENLOPEN STORM (DE),HENLOPEN STORM (DE),QUIX STIX 5/6 GRADE A (PA),[],[],[],Girls U11A,Girls U11A,Girls U11A,Girls U13A,Girls U13A,[]
04:20:00 A,,BELLES (PA),JUNIOR HAWKS (NJ),FILIA HURRICANES (PA),FILIA 2021 (PA),BYC (PA),[],[],[],Girls U11A,Girls U11A,Girls U11A,Girls U13A,Girls U13A,[]
05:10:00 H,,SPRING-FORD A GOLD (PA),UPPER MERION LC 7/8 A2 (PA),LBL STAGS (PA),HAVEN A1 (PA),HAVEN A1 (PA),[],[],[],Boys U15B,Boys U15B,Boys U15A,Boys U15A,Boys U15A,[]
05:10:00 A,,EAGLES (PA),BYC U15B (PA),ROSE TREE OPTIMIST 7/8 (PA),SPRING-FORD A BLUE (PA),SPRING-FORD A BLUE (PA),[],[],[],Boys U15B,Boys U15B,Boys U15A,Boys U15A,Boys U15A,[]
