Division,Team,,Field,Time,Game 1,,Field,Time,Game 2,,Field,Time,Game 3
Boys U15A,SPRING-FORD A BLUE (PA),,BPC 3,12:50:00,Boys U15A: LBL STAGS (PA) (Home),,BPC 3,14:30:00,Boys U15A: HAVEN A1 (PA) (Away),,BPC 3,16:10:00,Boys U15A: SPRING-FORD A GOLD (**Changed from U15B to U15A**) (PA) (Home)
Boys U15A,LBL STAGS (PA),,BPC 3,12:50:00,Boys U15A: SPRING-FORD A BLUE (PA) (Away),,BPC 4,14:30:00,Boys U15A: SPRING-FORD A GOLD (**Changed from U15B to U15A**) (PA) (Away),,BPC 4,16:10:00,Boys U15A: HAVEN A1 (PA) (Away)
Boys U15A,HAVEN A1 (PA),,BPC 4,12:50:00,Boys U15A: SPRING-FORD A GOLD (**Changed from U15B to U15A**) (PA) (Away),,BPC 3,14:30:00,Boys U15A: SPRING-FORD A BLUE (PA) (Home),,BPC 4,16:10:00,Boys U15A: LBL STAGS (PA) (Home)
Boys U15A,SPRING-FORD A GOLD (**Changed from U15B to U15A**) (PA),,BPC 4,12:50:00,Boys U15A: HAVEN A1 (PA) (Home),,BPC 4,14:30:00,Boys U15A: LBL STAGS (PA) (Home),,BPC 3,16:10:00,Boys U15A: SPRING-FORD A BLUE (PA) (Away)
Boys U15B,ROSE TREE OPTIMIST 7/8 (PA),,BPC 1,12:50:00,Boys U15B: UPPER MERION LACROSSE CLUB 7/8 A2 (PA) (Away),,BPC 1,14:30:00,Boys U15B: BYC U15B (PA) (Home),,BPC 2,16:10:00,Boys U15B: EAGLES (PA) (Home)
Boys U15B,UPPER MERION LACROSSE CLUB 7/8 A2 (PA),,BPC 1,12:50:00,Boys U15B: ROSE TREE OPTIMIST 7/8 (PA) (Home),,BPC 2,14:30:00,Boys U15B: EAGLES (PA) (Home),,BPC 1,16:10:00,Boys U15B: BYC U15B (PA) (Away)
Boys U15B,BYC U15B (PA),,BPC 2,12:50:00,Boys U15B: EAGLES (PA) (Away),,BPC 1,14:30:00,Boys U15B: ROSE TREE OPTIMIST 7/8 (PA) (Away),,BPC 1,16:10:00,Boys U15B: UPPER MERION LACROSSE CLUB 7/8 A2 (PA) (Home)
Boys U15B,EAGLES (PA),,BPC 2,12:50:00,Boys U15B: BYC U15B (PA) (Home),,BPC 2,14:30:00,Boys U15B: UPPER MERION LACROSSE CLUB 7/8 A2 (PA) (Away),,BPC 2,16:10:00,Boys U15B: ROSE TREE OPTIMIST 7/8 (PA) (Away)
Girls U11A,BELLES (PA),,BPC 1,12:00:00,Girls U11A: FILIA: CYCLONES (PA) (Away),,BPC 1,13:40:00,Girls U11A: JUNIOR HAWKS (NJ) (Away),,BPC 3,15:20:00,Girls U11A: FILIA: HURRICANES (PA) (Away)
Girls U11A,FILIA,,BPC 1,12:00:00,Girls U11A: BELLES (PA) (Home),,BPC 2,13:40:00,Girls U11A: FILIA: HURRICANES (PA) (Away),,BPC 2,15:20:00,Girls U11A: BYC - 4TH GRADE (PA) (Away)
Girls U11A,FILIA,,BPC 2,12:00:00,Girls U11A: HENLOPEN STORM (DE) (Away),,BPC 2,13:40:00,Girls U11A: FILIA: CYCLONES (PA) (Home),,BPC 3,15:20:00,Girls U11A: BELLES (PA) (Home)
