cc pat - FIELD GRID DRAFT (with match-ups) - 2015-05-14 12:17:32.889039
(This grid is for general scheduling purposes and may be subject to change.)
Day One,,Palisades,,,,,,,,,Herbst ,,,,,,,,New Hope,,,,,,,Bush Park,,
Time,,Field #1,Field #2,Field #3,Field #4,Field #5,Field #6,Field #7,Field #8,Field #9,Field #10,Field #11,Field #12,Field #13,Field #14,Field #15,Field #16,Field #17,Field #18,Field #19,Field #20,Field #21,Field #22,Field #23,Field #24,Field #25,Field #26,Field #27,Byes
08:00:00 H,,LI PARK DISTRICT SELECT (NY),HOUSTON HOULAGUNS (TX),BROTHERHOOD U15 (NJ),BLACK DOG LEGACY (PA),LEADING EDGE SOUTH (NJ),TOP SIDE SNIPERS (NY),CAROLINA CANNONS (NC),ROCK'EM LACROSSE (PA),COLLEGEVILLE CHOSEN (PA),BROTHERHOOD U16 (NJ),TEAM 91 2016 STAMPEDE (NY),EDGE 2016 WHITE (ON),BLACK JACKS (MA),TEWAARATON LENAPE (NJ),BUCKS 2016-HOGAN (PA),NJ RIOT 2016 (NJ),TRUE LACROSSE 2016 (PA),BLACK BEAR ORANGE (PA),MILITIA ELITE (VA),TAR HEEL LC (NC),TEAM TOTAL ELITE (MI),DIRTY BIRDS (GA),EMMAUS STING (PA),CASH COWS ELITE (MI),NOR'EASTER (NJ),PITLAX U17 GREY (PA),PROVIDENCE ROAD (PA),,JVA-1,U13B-7,,,U15A-1,U15A-1,U15A-1,U15A-1,U15A-1,U9-2,U9-2,U9-1,U9-1,JVB-1,JVB-1,JVB-1,JVB-1,JVB-1,JVA-2,JVA-2,JVA-2,VARA-1,VARA-1,VARA-1,VARA-1,VARA-1,VARA-1,VARA-1,VARB-4,VARB-4,VARB-4,,JVA-1,U13B-7
08:00:00 A,,LEADING EDGE 2018 (NJ),BUCKS 2017 - MITHOEFER (PA),BAGGATAWAY LC U15 (PA),BURN 'EM LACROSSE (NY),BLACK BEAR ORANGE (PA),PEG LEG LACROSSE (PA),BAGGATAWAY LC U9 (PA),MUCKDAWGS (PA),TEAM 91 2022 ORANGE (NY),LV LIGHTNING SELECT BLUE (PA),EMMAUS STING (PA),GREEN & GOLD JV (NJ),BUCKS 2016 - KREUTZER (PA),GRIP-IT N' RIP-IT BLUE (NY),TEAM TOTAL JV (MI),MAIN LINE LAX 2015-2016 (PA),ENDLESS LACROSSE JV (MD),SF BIG HORNS (PA),LOW & AWAY U19 PREMIER (PA),TRUE PITTSBURGH 2014 (PA),QUAKE VARSITY GOLD (NJ),2014 PHILA FREEDOM (PA),DIP N DUNK (NY),BALTIMORE CANNONS (MD),VA LAX TEAM RECON (VA),TOP SIDE SNIPERS (NY),MUCKDAWGS (PA),,JVA-2,U13B-8,,,U15A-1,U15A-1,U15A-1,U15A-1,U15A-1,U9-2,U9-2,U9-1,U9-1,JVB-1,JVB-1,JVB-1,JVB-1,JVB-1,JVA-2,JVA-2,JVA-2,VARA-1,VARA-1,VARA-1,VARA-1,VARA-1,VARA-1,VARA-1,VARB-4,VARB-4,VARB-4,,JVA-2,U13B-8
08:50:00 H,,TRI-STATE U13 GOLD (NJ),RISING SONS 2019 (PA),ROCK'EM LACROSSE (PA) 4,MUCKDAWGS (PA),ROCK'EM LACROSSE (PA) 3,WARD MELVILLE 2017 (NY),LEADING EDGE 2017 (NJ),HEADSTRONG WHITE (PA),TRISTATE BLACK (NJ),VA LAX TEAM RECON-13 (VA),BERKS RAPTORS (PA),BLACK BEAR GWYNEDD (PA),BROTHERHOOD 5TH/6TH (NJ),DUKES HHH (PA),TEAM TURNPIKE EXIT 7 (NJ),BALTIMORE BREAKERS U13AA (MD),TRI-STATE U13 BLACK (NJ),LV LIGHTNING WHITE (PA),GREEN & GOLD 7TH/8TH (NJ),GARDEN CITY '17 (NY),TRUE BLUE 2017 WHITE (NY),WOLFPACK - WHITE (MD),TOP SIDE SNIPERS BLACK (NY),FUSION TSL GOLD (NC),TEAM TOTAL VARSITY (MI),TROJANS HS B (PA),ARROWHEAD (PA),,JVB-1,U15A-1,,,U13B-3,U13B-3,U13B-3,U13B-3,U13B-3,U15AA-2,U15AA-2,U15AA-1,U15AA-1,U13B-6,U13B-6,U13B-5,U13B-5,U13AA-2,U13AA-2,U13AA-1,U13AA-1,U15B-1,U15B-1,U15B-1,U15B-1,U15B-1,U15B-1,U15B-1,VARB-3,VARB-3,VARB-3,,JVB-1,U15A-1
08:50:00 A,,TEAM TURNPIKE EXIT 6 (NJ),380 LACROSSE U-13 GREEN (PA),TEAM 91 2017 NAVY (NY),TRI-STATE U13 WHITE (NJ),TOP SIDE SNIPERS 5/6 (NY),STEPS FUTURES 2017 (NJ),DUKES HHH (PA),BBL ELITE 2017 BLACK (NJ),NOVA WEST LACROSSE (VA),SOUTHSHORE ORANGE (NJ),TEAM 91 2019 WHITE (NY),BLA SELECT (NY),380 LACROSSE U-13 BLACK (PA),"SUPERSTAR 365 ""2018"" (CT)",TEAM 91 2018 ORANGE (NY),LEADING EDGE 2019 (NJ),SOUTHSHORE CAROLINA (NJ),PITLAX U15 (PA),PROVIDENCE ROAD 2 (PA),TRI-STATE U15 GREY (NJ),LV  BLUE (PA),TRUE PITTSBURGH U15 (PA),BLACK BEAR BLUE (PA),TRI-STATE U15 GREEN (NJ),LOW AND AWAY U19 (PA),TEAM SMITHTOWN (NY),PENNCREST HIGH SCHOOL (PA),,JVB-2,U15A-2,,,U13B-3,U13B-3,U13B-3,U13B-3,U13B-3,U15AA-2,U15AA-2,U15AA-1,U15AA-1,U13B-6,U13B-6,U13B-5,U13B-5,U13AA-2,U13AA-2,U13AA-1,U13AA-1,U15B-1,U15B-1,U15B-1,U15B-1,U15B-1,U15B-1,U15B-1,VARB-3,VARB-3,VARB-3,,JVB-2,U15A-2
09:40:00 H,,BLACK BEAR ORANGE (PA),BUCKS 2017 - MITHOEFER (PA),LEADING EDGE SOUTH (NJ),BROTHERHOOD U15 (NJ),HOUSTON HOULAGUNS (TX),BAGGATAWAY LC U9 (PA),CAROLINA CANNONS (NC),TEAM 91 2022 ORANGE (NY),ROCK'EM LACROSSE (PA),BLACK JACKS (MA),EDGE 2016 WHITE (ON),GRIP-IT N' RIP-IT BLUE (NY),TEWAARATON LENAPE (NJ),BROTHERHOOD U16 (NJ),TRUE LACROSSE 2016 (PA),BUCKS 2016-HOGAN (PA),ENDLESS LACROSSE JV (MD),TEAM TOTAL ELITE (MI),DIP N DUNK (NY),MILITIA ELITE (VA),QUAKE VARSITY GOLD (NJ),BLACK BEAR ORANGE (PA),EMMAUS STING (PA),LOW & AWAY U19 PREMIER (PA),MUCKDAWGS (PA),TOP SIDE SNIPERS (NY),VA LAX TEAM RECON (VA),,JVB-3,U15A-3,,,U15A-1,U15A-1,U15A-1,U15A-1,U15A-1,U9-2,U9-2,U9-1,U9-1,JVB-1,JVB-1,JVB-1,JVB-1,JVB-1,JVA-2,JVA-2,JVA-2,VARA-1,VARA-1,VARA-1,VARA-1,VARA-1,VARA-1,VARA-1,VARB-4,VARB-4,VARB-4,,JVB-3,U15A-3
09:40:00 A,,BLACK DOG LEGACY (PA),LI PARK DISTRICT SELECT (NY),BAGGATAWAY LC U15 (PA),LEADING EDGE 2018 (NJ),BURN 'EM LACROSSE (NY),PEG LEG LACROSSE (PA),TOP SIDE SNIPERS (NY),MUCKDAWGS (PA),COLLEGEVILLE CHOSEN (PA),LV LIGHTNING SELECT BLUE (PA),BUCKS 2016 - KREUTZER (PA),EMMAUS STING (PA),GREEN & GOLD JV (NJ),TEAM 91 2016 STAMPEDE (NY),MAIN LINE LAX 2015-2016 (PA),NJ RIOT 2016 (NJ),TEAM TOTAL JV (MI),SF BIG HORNS (PA),DIRTY BIRDS (GA),TAR HEEL LC (NC),BALTIMORE CANNONS (MD),CASH COWS ELITE (MI),2014 PHILA FREEDOM (PA),TRUE PITTSBURGH 2014 (PA),NOR'EASTER (NJ),PROVIDENCE ROAD (PA),PITLAX U17 GREY (PA),,JVB-4,U15A-4,,,U15A-1,U15A-1,U15A-1,U15A-1,U15A-1,U9-2,U9-2,U9-1,U9-1,JVB-1,JVB-1,JVB-1,JVB-1,JVB-1,JVA-2,JVA-2,JVA-2,VARA-1,VARA-1,VARA-1,VARA-1,VARA-1,VARA-1,VARA-1,VARB-4,VARB-4,VARB-4,,JVB-4,U15A-4
10:30:00 H,,MUCKDAWGS (PA),ROCK'EM LACROSSE (PA) 4,TRI-STATE U13 WHITE (NJ),TRI-STATE U13 GOLD (NJ),380 LACROSSE U-13 GREEN (PA),WARD MELVILLE 2017 (NY),STEPS FUTURES 2017 (NJ),TRISTATE BLACK (NJ),NOVA WEST LACROSSE (VA),SOUTHSHORE ORANGE (NJ),BERKS RAPTORS (PA),BLA SELECT (NY),BROTHERHOOD 5TH/6TH (NJ),TEAM TURNPIKE EXIT 7 (NJ),TEAM 91 2018 ORANGE (NY),BALTIMORE BREAKERS U13AA (MD),TRI-STATE U13 BLACK (NJ),LV LIGHTNING WHITE (PA),PITLAX U15 (PA),TRUE PITTSBURGH U15 (PA),GARDEN CITY '17 (NY),PROVIDENCE ROAD 2 (PA),TRI-STATE U15 GREEN (NJ),TRUE BLUE 2017 WHITE (NY),TEAM TOTAL VARSITY (MI),TEAM SMITHTOWN (NY),TROJANS HS B (PA),,U11A-1,U15AA-1,,,U13B-3,U13B-3,U13B-3,U13B-3,U13B-3,U15AA-2,U15AA-2,U15AA-1,U15AA-1,U13B-6,U13B-6,U13B-5,U13B-5,U13AA-2,U13AA-2,U13AA-1,U13AA-1,U15B-1,U15B-1,U15B-1,U15B-1,U15B-1,U15B-1,U15B-1,VARB-3,VARB-3,VARB-3,,U11A-1,U15AA-1
10:30:00 A,,TEAM 91 2017 NAVY (NY),TEAM TURNPIKE EXIT 6 (NJ),ROCK'EM LACROSSE (PA) 3,RISING SONS 2019 (PA),TOP SIDE SNIPERS 5/6 (NY),LEADING EDGE 2017 (NJ),DUKES HHH (PA),HEADSTRONG WHITE (PA),BBL ELITE 2017 BLACK (NJ),TEAM 91 2019 WHITE (NY),VA LAX TEAM RECON-13 (VA),380 LACROSSE U-13 BLACK (PA),BLACK BEAR GWYNEDD (PA),"SUPERSTAR 365 ""2018"" (CT)",DUKES HHH (PA),SOUTHSHORE CAROLINA (NJ),LEADING EDGE 2019 (NJ),WOLFPACK - WHITE (MD),TOP SIDE SNIPERS BLACK (NY),BLACK BEAR BLUE (PA),GREEN & GOLD 7TH/8TH (NJ),TRI-STATE U15 GREY (NJ),LV  BLUE (PA),FUSION TSL GOLD (NC),PENNCREST HIGH SCHOOL (PA),ARROWHEAD (PA),LOW AND AWAY U19 (PA),,U11A-2,U15AA-2,,,U13B-3,U13B-3,U13B-3,U13B-3,U13B-3,U15AA-2,U15AA-2,U15AA-1,U15AA-1,U13B-6,U13B-6,U13B-5,U13B-5,U13AA-2,U13AA-2,U13AA-1,U13AA-1,U15B-1,U15B-1,U15B-1,U15B-1,U15B-1,U15B-1,U15B-1,VARB-3,VARB-3,VARB-3,,U11A-2,U15AA-2
11:20:00 H,,BUCKS 2017 - MITHOEFER (PA),LI PARK DISTRICT SELECT (NY),LEADING EDGE SOUTH (NJ),HOUSTON HOULAGUNS (TX),LEADING EDGE 2018 (NJ),CAROLINA CANNONS (NC),BAGGATAWAY LC U9 (PA),COLLEGEVILLE CHOSEN (PA),ROCK'EM LACROSSE (PA),GREEN & GOLD JV (NJ),EDGE 2016 WHITE (ON),BROTHERHOOD U16 (NJ),TEWAARATON LENAPE (NJ),LV LIGHTNING SELECT BLUE (PA),MAIN LINE LAX 2015-2016 (PA),TEAM TOTAL JV (MI),NJ RIOT 2016 (NJ),EMMAUS STING (PA),TAR HEEL LC (NC),MILITIA ELITE (VA),TEAM TOTAL ELITE (MI),BALTIMORE CANNONS (MD),2014 PHILA FREEDOM (PA),QUAKE VARSITY GOLD (NJ),MUCKDAWGS (PA),TOP SIDE SNIPERS (NY),NOR'EASTER (NJ),,U11B-1,U15B-1,,,U15A-1,U15A-1,U15A-1,U15A-1,U15A-1,U9-2,U9-2,U9-1,U9-1,JVB-1,JVB-1,JVB-1,JVB-1,JVB-1,JVA-2,JVA-2,JVA-2,VARA-1,VARA-1,VARA-1,VARA-1,VARA-1,VARA-1,VARA-1,VARB-4,VARB-4,VARB-4,,U11B-1,U15B-1
11:20:00 A,,BROTHERHOOD U15 (NJ),BAGGATAWAY LC U15 (PA),BURN 'EM LACROSSE (NY),BLACK BEAR ORANGE (PA),BLACK DOG LEGACY (PA),PEG LEG LACROSSE (PA),TOP SIDE SNIPERS (NY),MUCKDAWGS (PA),TEAM 91 2022 ORANGE (NY),BLACK JACKS (MA),TEAM 91 2016 STAMPEDE (NY),GRIP-IT N' RIP-IT BLUE (NY),BUCKS 2016 - KREUTZER (PA),EMMAUS STING (PA),BUCKS 2016-HOGAN (PA),TRUE LACROSSE 2016 (PA),ENDLESS LACROSSE JV (MD),DIRTY BIRDS (GA),LOW & AWAY U19 PREMIER (PA),TRUE PITTSBURGH 2014 (PA),CASH COWS ELITE (MI),BLACK BEAR ORANGE (PA),DIP N DUNK (NY),SF BIG HORNS (PA),PITLAX U17 GREY (PA),VA LAX TEAM RECON (VA),PROVIDENCE ROAD (PA),,U11B-2,U15B-2,,,U15A-1,U15A-1,U15A-1,U15A-1,U15A-1,U9-2,U9-2,U9-1,U9-1,JVB-1,JVB-1,JVB-1,JVB-1,JVB-1,JVA-2,JVA-2,JVA-2,VARA-1,VARA-1,VARA-1,VARA-1,VARA-1,VARA-1,VARA-1,VARB-4,VARB-4,VARB-4,,U11B-2,U15B-2
