cc two days - FIELD GRID DRAFT (with match-ups) - 2015-05-14 12:19:22.386557
(This grid is for general scheduling purposes and may be subject to change.)
Day One,,Saturday,,,,
Time,,Field #1,Field #2,Field #3,Field #4,Field #5,Byes
06:30:00 H,,HAVERFORD BLAZE LC (PA),HAVEN BLACK (PA),CYLAX U-13B GRAY (PA),TEAM HARLEY U9 (PA),PHILADELPHIA FREEDOM 2024 (PA),,Boys U11A-1,,,Boys U13B-2,Boys U13B-2,Boys U13B-2,Boys U9A-1,Boys U9A-1,,Boys U11A-1
06:30:00 A,,CYLAX GRAY GHOSTS (PA),UPPER MERION LC 5/6 B2 (PA),BYC U13B-2 (PA),UPRISING 2024 (PA),BROTHERLY LOVE (PA),,Boys U11B-1,,,Boys U13B-2,Boys U13B-2,Boys U13B-2,Boys U9A-1,Boys U9A-1,,Boys U11B-1
07:28:00 H,,BYC U13C (PA),RTO B1 (PA),BYC 2022 (PA),TEAM HARLEY (PA),CYLAX U-13A (PA),,Boys U11B-2,,,Boys U13B-1,Boys U13B-1,Boys U13B-1,Boys U13A-1,Boys U13A-1,,Boys U11B-2
07:28:00 A,,ASHBEE B1- ORANGE (PA),CYLAX U-13B GARNET (PA),BLACK STORM (NJ),SPRING-FORD B BLUE (PA),EAGLES (PA),,Boys U13A-1,,,Boys U13B-1,Boys U13B-1,Boys U13B-1,Boys U13A-1,Boys U13A-1,,Boys U13A-1
08:26:00 H,,CYLAX U-13B GRAY (PA),UPPER MERION LC 5/6 B2 (PA),HAVERFORD BLAZE LC (PA),PHILADELPHIA FREEDOM 2024 (PA),TEAM HARLEY U9 (PA),,Boys U13B-1,,,Boys U13B-2,Boys U13B-2,Boys U13B-2,Boys U9A-1,Boys U9A-1,,Boys U13B-1
08:26:00 A,,HAVEN BLACK (PA),CYLAX GRAY GHOSTS (PA),BYC U13B-2 (PA),UPRISING 2024 (PA),BROTHERLY LOVE (PA),,Boys U13B-2,,,Boys U13B-2,Boys U13B-2,Boys U13B-2,Boys U9A-1,Boys U9A-1,,Boys U13B-2
09:24:00 H,,RTO B1 (PA),BLACK STORM (NJ),CYLAX U-13B GARNET (PA),CYLAX U-13A (PA),TEAM HARLEY (PA),,Boys U9A-1,,,Boys U13B-1,Boys U13B-1,Boys U13B-1,Boys U13A-1,Boys U13A-1,,Boys U9A-1
09:24:00 A,,ASHBEE B1- ORANGE (PA),BYC U13C (PA),BYC 2022 (PA),SPRING-FORD B BLUE (PA),EAGLES (PA),,,,,Boys U13B-1,Boys U13B-1,Boys U13B-1,Boys U13A-1,Boys U13A-1,,
10:22:00 H,,CYLAX GRAY GHOSTS (PA),UPPER MERION LC 5/6 B2 (PA),HAVEN BLACK (PA),UPRISING 2024 (PA),TEAM HARLEY U9 (PA),,,,,Boys U13B-2,Boys U13B-2,Boys U13B-2,Boys U9A-1,Boys U9A-1,,
10:22:00 A,,BYC U13B-2 (PA),CYLAX U-13B GRAY (PA),HAVERFORD BLAZE LC (PA),BROTHERLY LOVE (PA),PHILADELPHIA FREEDOM 2024 (PA),,,,,Boys U13B-2,Boys U13B-2,Boys U13B-2,Boys U9A-1,Boys U9A-1,,
