Game,Date,Time,Field,Bracket,Round,Team,Game Score,Sportsmanship Rating,Sportsmanship Notes,Ref Rating,Ref Rating Notes,EH ID
1,05/02/2015,08:00 AM,1,Boys U9A-RED,1,UPRISING 2024 (PA),8,5,Pat carney says: ,,,72166
1,05/02/2015,08:00 AM,1,Boys U9A-RED,1,TEAM HARLEY U9 (PA),7,5,Pat carney says: ,,,72167
2,05/02/2015,08:00 AM,2,Boys U9A-RED,1,BROTHERLY LOVE (PA),11,5,a b says: ,,,72168
2,05/02/2015,08:00 AM,2,Boys U9A-RED,1,PHILADELPHIA FREEDOM 2024 (PA),5,5,a b says: ,,,72169
3,05/02/2015,08:00 AM,3,Boys U9B-BLUE,1,COUGARS (PA),0,5,a b says: ,,,72170
3,05/02/2015,08:00 AM,3,Boys U9B-BLUE,1,CYLAX U-9 (PA),7,5,a b says: ,,,72171
4,05/02/2015,08:00 AM,4,Boys U11B-RED,1,BYC U11B-IM (PA),3,5,a b says: ,,,72172
4,05/02/2015,08:00 AM,4,Boys U11B-RED,1,MAD DOGS (PA),6,5,a b says: ,,,72173
5,05/02/2015,08:00 AM,5,Boys U11B-RED,1,BYC FLYNN (PA),3,5,a b says: ,,,72174
5,05/02/2015,08:00 AM,5,Boys U11B-RED,1,BROTHERLY LOVE 2023/2024 (PA),7,5,a b says: ,,,72175
6,05/02/2015,08:50 AM,1,Boys U11A-RED,1,UPRISING 2023 (PA),4,5,a b says: ,,,72176
6,05/02/2015,08:50 AM,1,Boys U11A-RED,1,TEAM HARLEY 2022 (PA),10,5,a b says: ,,,72177
7,05/02/2015,08:50 AM,2,Boys U11A-RED,1,LIONVILLE U11A (PA),3,5,a b says: ,,,72179
7,05/02/2015,08:50 AM,2,Boys U11A-RED,1,BROTHERLY LOVE 2023 (PA),4,5,a b says: ,,,72178
8,05/02/2015,08:50 AM,3,Boys U9A-RED,1,BROTHERLY LOVE (PA),10,5,a b says: ,,,72181
8,05/02/2015,08:50 AM,3,Boys U9B-BLUE,1,SPRING-FORD D BLUE (PA),0,5,a b says: ,,,72180
9,05/02/2015,08:50 AM,4,Boys U11B-BLUE,1,ROSE TREE OPTIMIST (PA),7,5,a b says: ,,,72183
9,05/02/2015,08:50 AM,4,Boys U11B-BLUE,1,BYC ZAVOD (PA),10,5,a b says: ,,,72182
10,05/02/2015,08:50 AM,5,Boys U11B-BLUE,1,UPPER MERION LC 3/4 C (PA),2,5,a b says: ,,,72185
10,05/02/2015,08:50 AM,5,Boys U11B-BLUE,1,SPRING-FORD C BLUE (PA),3,5,a b says: ,,,72184
11,05/02/2015,09:40 AM,1,Boys U9A-RED,2,TEAM HARLEY U9 (PA),5,5,a b says: ,,,72187
11,05/02/2015,09:40 AM,1,Boys U9A-RED,2,BROTHERLY LOVE (PA),7,5,a b says: ,,,72186
12,05/02/2015,09:40 AM,2,Boys U9A-RED,2,UPRISING 2024 (PA),6,5,a b says: ,,,72189
12,05/02/2015,09:40 AM,2,Boys U9A-RED,2,PHILADELPHIA FREEDOM 2024 (PA),9,5,a b says: ,,,72188
13,05/02/2015,09:40 AM,3,Boys U9B-BLUE,2,SPRING-FORD D BLUE (PA),1,5,a b says: ,,,72191
13,05/02/2015,09:40 AM,3,Boys U9B-BLUE,2,COUGARS (PA),3,4,a b says: ,,,72190
14,05/02/2015,09:40 AM,4,Boys U11B-RED,2,BYC U11B-IM (PA),2,5,a b says: ,,,72193
14,05/02/2015,09:40 AM,4,Boys U11B-RED,2,BROTHERLY LOVE 2023/2024 (PA),10,5,a b says: ,,,72192
