Schedule_Name - FIELD GRID DRAFT (with match-ups) - 2015-05-28 23:56:15.534323
(This grid is for general scheduling purposes and may be subject to change.)
,,Place 1,,,,,,,,,Place 2,,,,,,,,Place 3,,,,,,,Place 4,,
Time,,Field #1,Field #2,Field #3,Field #4,Field #5,Field #6,Field #7,Field #8,Field #9,Field #10,Field #11,Field #12,Field #13,Field #14,Field #15,Field #16,Field #17,Field #18,Field #19,Field #20,Field #21,Field #22,Field #23,Field #24,Field #25,Field #26,Field #27,Byes
07:00:00 H,,13-1-E (5th Place),13-2-A (2nd Place),13-2-C (3rd Place),13-1-D (4th Place),13-1-B (2nd Place),18-2-B (3rd Place),18-2-A (1st Place),18-1-A (4th Place),18-1-B (2nd Place),2-2-B (1st Place),2-1-E (5th Place),2-2-D (5th Place),2-2-C (3rd Place),2-2-A (2nd Place),1-1-C (5th Place),1-1-B (2nd Place),1-1-A (3rd Place),19-1-D (4th Place),19-2-F (7th Place),19-1-B (2nd Place),19-2-A (2nd Place),19-1-E (5th Place),19-1-C (3rd Place),19-2-G (6th Place),22-2-C (6th Place),22-2-B (4th Place),22-2-A (1st Place),,JVA-1 & 2-1,U13B-3 & 4-1,,,U15A-1-1,U15A-1-1,U15A-1-1,U15A-1-1,U15A-1-1,U9-1-2,U9-1-2,U9-1-1,U9-1-1,JVB-1-1,JVB-1-1,JVB-1-1,JVB-1-1,JVB-1-1,JVA-1 & 2-1,JVA-1 & 2-1,JVA-1 & 2-1,VARA-1 & 2-1,VARA-1 & 2-1,VARA-1 & 2-1,VARA-1 & 2-1,VARA-1 & 2-1,VARA-1 & 2-1,VARA-1 & 2-1,VARB-3 & 4-2,VARB-3 & 4-2,VARB-3 & 4-2,,JVA-1 & 2-1,U13B-3 & 4-1
07:00:00 A,,13-2-E (4th Place),13-1-A (1st Place),13-1-C (3rd Place),13-2-D (5th Place),13-2-B (1st Place),18-2-B (2nd Place),18-2-A (4th Place),18-1-A (1st Place),18-1-B (3rd Place),2-1-B (2nd Place),2-2-E (4th Place),2-1-D (4th Place),2-1-C (3rd Place),2-1-A (1st Place),1-1-C (6th Place),1-1-B (4th Place),1-1-A (1st Place),19-2-D (3rd Place),19-1-F (6th Place),19-2-B (1st Place),19-1-A (1st Place),19-2-E (5th Place),19-2-C (4th Place),19-1-G (7th Place),22-2-C (5th Place),22-2-B (2nd Place),22-2-A (3rd Place),,JVA-1 & 2-2,U13B-3 & 4-2,,,U15A-1-1,U15A-1-1,U15A-1-1,U15A-1-1,U15A-1-1,U9-1-2,U9-1-2,U9-1-1,U9-1-1,JVB-1-1,JVB-1-1,JVB-1-1,JVB-1-1,JVB-1-1,JVA-1 & 2-1,JVA-1 & 2-1,JVA-1 & 2-1,VARA-1 & 2-1,VARA-1 & 2-1,VARA-1 & 2-1,VARA-1 & 2-1,VARA-1 & 2-1,VARA-1 & 2-1,VARA-1 & 2-1,VARB-3 & 4-2,VARB-3 & 4-2,VARB-3 & 4-2,,JVA-1 & 2-2,U13B-3 & 4-2
07:50:00 H,,12-3-E (5th Place),12-3-B (2nd Place),12-4-D (5th Place),12-4-A (2nd Place),12-4-C (3rd Place),17-2-A (1st Place),17-2-B (3rd Place),17-1-B (3rd Place),17-1-A (4th Place),9-2-B (2nd Place),9-2-A (1st Place),9-1-A (4th Place),9-1-B (2nd Place),8-2-A (1st Place),8-2-B (2nd Place),8-1-A (4th Place),8-1-B (3rd Place),,,,,,,,22-1-A (3rd Place),22-1-B (2nd Place),22-1-C (6th Place),,JVB-1-1,U13B-3 & 4-3,,,U13B-3 & 4-3,U13B-3 & 4-3,U13B-3 & 4-3,U13B-3 & 4-3,U13B-3 & 4-3,U15B-4-2,U15B-4-2,U15B-4-1,U15B-4-1,U13AA-5-2,U13AA-5-2,U13AA-5-1,U13AA-5-1,U13A-2-2,U13A-2-2,U13A-2-1,U13A-2-1,,,,,,,,VARB-3 & 4-1,VARB-3 & 4-1,VARB-3 & 4-1,,JVB-1-1,U13B-3 & 4-3
07:50:00 A,,12-4-E (4th Place),12-4-B (1st Place),12-3-D (4th Place),12-3-A (1st Place),12-3-C (3rd Place),17-2-A (4th Place),17-2-B (2nd Place),17-1-B (2nd Place),17-1-A (1st Place),9-2-B (3rd Place),9-2-A (4th Place),9-1-A (1st Place),9-1-B (3rd Place),8-2-A (4th Place),8-2-B (3rd Place),8-1-A (1st Place),8-1-B (2nd Place),,,,,,,,22-1-A (1st Place),22-1-B (4th Place),22-1-C (5th Place),,JVB-1-2,U13B-3 & 4-4,,,U13B-3 & 4-3,U13B-3 & 4-3,U13B-3 & 4-3,U13B-3 & 4-3,U13B-3 & 4-3,U15B-4-2,U15B-4-2,U15B-4-1,U15B-4-1,U13AA-5-2,U13AA-5-2,U13AA-5-1,U13AA-5-1,U13A-2-2,U13A-2-2,U13A-2-1,U13A-2-1,,,,,,,,VARB-3 & 4-1,VARB-3 & 4-1,VARB-3 & 4-1,,JVB-1-2,U13B-3 & 4-4
08:40:00 H,,13-1-D (Loser),13-2-E (Winner),13-1-C (Winner),13-1-A (Winner),13-2-B (Loser),18-2-B (Winner),18-2-B (Loser),18-1-B (Winner),18-1-B (Loser),2-2-E (Winner),2-1-D (Loser),2-1-A (Loser),2-2-B (Winner),2-2-D (Winner),1-1-C (Loser),1-1-B (Winner),1-1-C (Winner),19-2-B (Loser),19-2-D (Winner),19-2-G (Winner),19-1-E (Winner),19-2-B (Winner),19-2-D (Loser),19-1-F (Loser),22-2-A (Winner),22-2-C (Winner),22-2-B (Loser),,JVB-2-1,U15A-1-1,,,U15A-1-1,U15A-1-1,U15A-1-1,U15A-1-1,U15A-1-1,U9-1-2,U9-1-2,U9-1-1,U9-1-1,JVB-1-1,JVB-1-1,JVB-1-1,JVB-1-1,JVB-1-1,JVA-1 & 2-1,JVA-1 & 2-1,JVA-1 & 2-1,VARA-1 & 2-1,VARA-1 & 2-1,VARA-1 & 2-1,VARA-1 & 2-1,VARA-1 & 2-1,VARA-1 & 2-1,VARA-1 & 2-1,VARB-3 & 4-2,VARB-3 & 4-2,VARB-3 & 4-2,,JVB-2-1,U15A-1-1
08:40:00 A,,13-2-E (Loser),13-1-C (Loser),13-2-D (Winner),13-2-B (Winner),13-1-A (Loser),18-2-A (Winner),18-2-A (Loser),18-1-A (Winner),18-1-A (Loser),2-1-C (Loser),2-2-E (Loser),2-2-B (Loser),2-1-A (Winner),2-1-C (Winner),1-1-B (Loser),1-1-A (Winner),1-1-A (Loser),19-1-A (Loser),19-1-C (Winner),19-1-E (Loser),19-2-F (Winner),19-1-A (Winner),19-1-C (Loser),19-2-G (Loser),22-2-B (Winner),22-2-A (Loser),22-2-C (Loser),,JVB-2-2,U15A-1-2,,,U15A-1-1,U15A-1-1,U15A-1-1,U15A-1-1,U15A-1-1,U9-1-2,U9-1-2,U9-1-1,U9-1-1,JVB-1-1,JVB-1-1,JVB-1-1,JVB-1-1,JVB-1-1,JVA-1 & 2-1,JVA-1 & 2-1,JVA-1 & 2-1,VARA-1 & 2-1,VARA-1 & 2-1,VARA-1 & 2-1,VARA-1 & 2-1,VARA-1 & 2-1,VARA-1 & 2-1,VARA-1 & 2-1,VARB-3 & 4-2,VARB-3 & 4-2,VARB-3 & 4-2,,JVB-2-2,U15A-1-2
09:30:00 H,,12-3-A (Loser),12-4-D (Winner),12-4-B (Winner),12-3-D (Loser),12-3-C (Loser),17-2-B (Winner),17-2-B (Loser),17-1-B (Winner),17-1-A (Loser),9-2-B (Loser),9-2-B (Winner),9-1-A (Winner),9-1-B (Loser),8-2-A (Winner),8-2-B (Loser),8-1-B (Loser),8-1-B (Winner),,,,,,,,22-1-C (Winner),22-1-B (Winner),22-1-C (Loser),,U11A-1-1,U15A-2-1,,,U13B-3 & 4-3,U13B-3 & 4-3,U13B-3 & 4-3,U13B-3 & 4-3,U13B-3 & 4-3,U15B-4-2,U15B-4-2,U15B-4-1,U15B-4-1,U13AA-5-2,U13AA-5-2,U13AA-5-1,U13AA-5-1,U13A-2-2,U13A-2-2,U13A-2-1,U13A-2-1,,,,,,,,VARB-3 & 4-1,VARB-3 & 4-1,VARB-3 & 4-1,,U11A-1-1,U15A-2-1
09:30:00 A,,12-4-B (Loser),12-3-C (Winner),12-3-A (Winner),12-4-E (Loser),12-4-E (Winner),17-2-A (Winner),17-2-A (Loser),17-1-A (Winner),17-1-B (Loser),9-2-A (Loser),9-2-A (Winner),9-1-B (Winner),9-1-A (Loser),8-2-B (Winner),8-2-A (Loser),8-1-A (Loser),8-1-A (Winner),,,,,,,,22-1-A (Loser),22-1-A (Winner),22-1-B (Loser),,U11A-1-2,U15A-2-2,,,U13B-3 & 4-3,U13B-3 & 4-3,U13B-3 & 4-3,U13B-3 & 4-3,U13B-3 & 4-3,U15B-4-2,U15B-4-2,U15B-4-1,U15B-4-1,U13AA-5-2,U13AA-5-2,U13AA-5-1,U13AA-5-1,U13A-2-2,U13A-2-2,U13A-2-1,U13A-2-1,,,,,,,,VARB-3 & 4-1,VARB-3 & 4-1,VARB-3 & 4-1,,U11A-1-2,U15A-2-2
10:20:00 H,,12-2-A (2nd Place),12-2-E (4th Place),12-1-B (2nd Place),12-1-D (4th Place),12-1-C (3rd Place),15-2-A (1st Place),15-2-B (3rd Place),15-1-A (4th Place),15-1-B (2nd Place),7-2-B (3rd Place),7-2-A (4th Place),7-1-B (2nd Place),7-1-A (1st Place),5-4-A (1st Place),5-4-B (2nd Place),5-3-A (4th Place),5-3-B (3rd Place),,,,,,,,21-1-C (6th Place),21-1-A (3rd Place),21-1-B (4th Place),,U11B-1-1,U15AA-1-1,,,U13B-3 & 4-1,U13B-3 & 4-1,U13B-3 & 4-1,U13B-3 & 4-1,U13B-3 & 4-1,U15AA-1-2,U15AA-1-2,U15AA-1-1,U15AA-1-1,U13A-1-2,U13A-1-2,U13A-1-1,U13A-1-1,U11B-1-4,U11B-1-4,U11B-1-3,U11B-1-3,,,,,,,,VARB-2-1,VARB-2-1,VARB-2-1,,U11B-1-1,U15AA-1-1
10:20:00 A,,12-1-A (1st Place),12-1-E (5th Place),12-2-B (1st Place),12-2-D (5th Place),12-2-C (3rd Place),15-2-A (4th Place),15-2-B (2nd Place),15-1-A (1st Place),15-1-B (3rd Place),7-2-B (2nd Place),7-2-A (1st Place),7-1-B (3rd Place),7-1-A (4th Place),5-4-A (4th Place),5-4-B (3rd Place),5-3-A (1st Place),5-3-B (2nd Place),,,,,,,,21-1-C (5th Place),21-1-A (1st Place),21-1-B (2nd Place),,U11B-1-2,U15AA-1-2,,,U13B-3 & 4-1,U13B-3 & 4-1,U13B-3 & 4-1,U13B-3 & 4-1,U13B-3 & 4-1,U15AA-1-2,U15AA-1-2,U15AA-1-1,U15AA-1-1,U13A-1-2,U13A-1-2,U13A-1-1,U13A-1-1,U11B-1-4,U11B-1-4,U11B-1-3,U11B-1-3,,,,,,,,VARB-2-1,VARB-2-1,VARB-2-1,,U11B-1-2,U15AA-1-2
