Game,Date,Time,Field,Bracket,Round,Team,Game Score,Sportsmanship Rating,Sportsmanship Notes,Ref Rating,Ref Rating Notes,EH ID
1,07/20/2013,08:50 AM,1,U15B-2 & 3,1,GARDEN CITY '17 (NY),9,5,,,,35069
1,07/20/2013,08:50 AM,1,U15B-2 & 3,1,TRI-STATE U15 GREY (NJ),5,5,,,,35070
2,07/20/2013,08:50 AM,2,U15B-2 & 3,1,PROVIDENCE ROAD 2 (PA),6,5,,,,35071
2,07/20/2013,08:50 AM,2,U15B-2 & 3,1,GREEN & GOLD 7TH/8TH (NJ),4,5,,,,35072
3,07/20/2013,08:50 AM,3,U15B-2 & 3,1,LV LIGHTNING WHITE (PA),4,5,,,,35073
3,07/20/2013,08:50 AM,3,U15B-2 & 3,1,PITLAX U15 (PA),8,5,,,,35074
4,07/20/2013,08:50 AM,4,U11B-2,1,BAGGATAWAY LC U11 (PA),7,5,,,,35075
4,07/20/2013,08:50 AM,4,U11B-2,1,MUCKDAWGS (PA),0,5,,,,35076
5,07/20/2013,08:50 AM,5,U11B-2,1,RISING SONS 2021 (PA),9,5,,,,35077
5,07/20/2013,08:50 AM,5,U11B-2,1,TEAM 91 2021 ORANGE (NY),8,5,,,,35078
6,07/20/2013,08:50 AM,6,U11B-2,1,BLACK BEAR (PA),4,5,,,,35079
6,07/20/2013,08:50 AM,6,U11B-2,1,TWIST (PA),7,5,,,,35080
7,07/20/2013,08:50 AM,7,U11B-2,1,LEADING EDGE 2021 (NJ),8,5,,,,35081
7,07/20/2013,08:50 AM,7,U11B-2,1,NOVA WEST LACROSSE (VA),1,5,,,,35082
8,07/20/2013,08:50 AM,8,U11B-2,1,ROCK'EM LACROSSE (PA),2,5,,,,35083
8,07/20/2013,08:50 AM,8,U11B-2,1,TRI-STATE U11 GOLD (NJ),8,5,,,,35084
9,07/20/2013,08:50 AM,9,U15B-1,1,GRIP-IT N' RIP-IT YELLOW (NY),2,5,,,,35085
9,07/20/2013,08:50 AM,9,U15B-1,1,BERKS RAPTORS (PA),6,5,,,,35086
10,07/20/2013,08:50 AM,10,U15B-1,1,BROTHERHOOD U14 (NJ),1,5,,,,35087
