,,Palisades 1,Score,,Palisades 2,Score,,Palisades 3,Score,,Palisades 4,Score,,Palisades 5,Score,,Palisades 6,Score,,Palisades 7,Score,,Palisades 8,Score,,Palisades 9,Score,,Herbst 10,Score,,Herbst 11,Score,,Herbst 12,Score,,Herbst 13,Score,,Herbst 14,Score,,Herbst 15,Score,,Herbst 16,Score,,Herbst 17,Score,,New Hope 18,Score,,New Hope 19,Score,,New Hope 20,Score,,New Hope 21,Score,,New Hope 22,Score,,New Hope 23,Score,,New Hope 24,Score,,Bush Park 25,Score,,Bush Park 26,Score,,Bush Park 27,Score
07:00:00 H,U15A (1),BROTHERHOOD U15 (NJ),1,U15A (1),LI PARK DISTRICT SELECT (NY),1,U15A (1),BAGGATAWAY LC U15 (PA),1,U15A (1),BUCKS 2017 - MITHOEFER (PA),10,U15A (1),LEADING EDGE SOUTH (NJ),100,VARB (2),PENNCREST HIGH SCHOOL (PA),,VARB (2),LOW AND AWAY U19 (PA),,VARB (2),NOR'EASTER (NJ),,Empty,[],,VARA (0),DIP N DUNK (NY),,VARA (0),2014 PHILA FREEDOM (PA),,VARA (0),EMMAUS STING (PA),,VARA (0),TAR HEEL LC (NC),,VARA (0),TRUE PITTSBURGH 2014 (PA),,VARA (0),CASH COWS ELITE (MI),,VARA (0),MILITIA ELITE (VA),,Empty,[],,VARA (1),DIP N DUNK (NY),,VARA (1),2014 PHILA FREEDOM (PA),,VARA (1),EMMAUS STING (PA),,VARA (1),TAR HEEL LC (NC),,VARA (1),TRUE PITTSBURGH 2014 (PA),,VARA (1),CASH COWS ELITE (MI),,VARA (1),MILITIA ELITE (VA),,VARB (3),TROJANS HS B (PA),,VARB (3),PROVIDENCE ROAD (PA),,VARB (3),TEAM TOTAL VARSITY (MI),
07:00:00 A,U15A (1),BLACK DOG LEGACY (PA),2,U15A (1),BURN 'EM LACROSSE (NY),1,U15A (1),BLACK BEAR ORANGE (PA),20,U15A (1),HOUSTON HOULAGUNS (TX),9,U15A (1),LEADING EDGE 2018 (NJ),1,VARB (2),PITLAX U17 GREY (PA),,VARB (2),ARROWHEAD (PA),,VARB (2),MUCKDAWGS (PA),,Empty,[],,VARA (0),BLACK BEAR ORANGE (PA),,VARA (0),BALTIMORE CANNONS (MD),,VARA (0),TEAM TOTAL ELITE (MI),,VARA (0),SF BIG HORNS (PA),,VARA (0),QUAKE VARSITY GOLD (NJ),,VARA (0),DIRTY BIRDS (GA),,VARA (0),LOW & AWAY U19 PREMIER (PA),,Empty,[],,VARA (1),BLACK BEAR ORANGE (PA),,VARA (1),BALTIMORE CANNONS (MD),,VARA (1),TEAM TOTAL ELITE (MI),,VARA (1),SF BIG HORNS (PA),,VARA (1),QUAKE VARSITY GOLD (NJ),,VARA (1),DIRTY BIRDS (GA),,VARA (1),LOW & AWAY U19 PREMIER (PA),,VARB (3),VA LAX TEAM RECON (VA),,VARB (3),TEAM SMITHTOWN (NY),,VARB (3),TOP SIDE SNIPERS (NY),
07:50:00 H,U15A (1),LI PARK DISTRICT SELECT (NY),3,U15A (1),BUCKS 2017 - MITHOEFER (PA),2,U15A (1),BROTHERHOOD U15 (NJ),3,U15A (1),LEADING EDGE 2018 (NJ),8,U15A (1),BAGGATAWAY LC U15 (PA),99,VARB (2),LOW AND AWAY U19 (PA),,VARB (2),PENNCREST HIGH SCHOOL (PA),,VARB (2),PITLAX U17 GREY (PA),,Empty,[],,VARA (0),DIP N DUNK (NY),,VARA (0),BALTIMORE CANNONS (MD),,VARA (0),TEAM TOTAL ELITE (MI),,VARA (0),SF BIG HORNS (PA),,VARA (0),2014 PHILA FREEDOM (PA),,VARA (0),LOW & AWAY U19 PREMIER (PA),,VARA (0),EMMAUS STING (PA),,Empty,[],,VARA (1),DIP N DUNK (NY),,VARA (1),BALTIMORE CANNONS (MD),,VARA (1),TEAM TOTAL ELITE (MI),,VARA (1),SF BIG HORNS (PA),,VARA (1),2014 PHILA FREEDOM (PA),,VARA (1),LOW & AWAY U19 PREMIER (PA),,VARA (1),EMMAUS STING (PA),,VARB (3),TEAM TOTAL VARSITY (MI),,VARB (3),PROVIDENCE ROAD (PA),,VARB (3),TOP SIDE SNIPERS (NY),
07:50:00 A,U15A (1),HOUSTON HOULAGUNS (TX),4,U15A (1),LEADING EDGE SOUTH (NJ),2,U15A (1),BLACK BEAR ORANGE (PA),40,U15A (1),BLACK DOG LEGACY (PA),7,U15A (1),BURN 'EM LACROSSE (NY),2,VARB (2),MUCKDAWGS (PA),,VARB (2),NOR'EASTER (NJ),,VARB (2),ARROWHEAD (PA),,Empty,[],,VARA (0),QUAKE VARSITY GOLD (NJ),,VARA (0),DIRTY BIRDS (GA),,VARA (0),TRUE PITTSBURGH 2014 (PA),,VARA (0),MILITIA ELITE (VA),,VARA (0),CASH COWS ELITE (MI),,VARA (0),TAR HEEL LC (NC),,VARA (0),BLACK BEAR ORANGE (PA),,Empty,[],,VARA (1),QUAKE VARSITY GOLD (NJ),,VARA (1),DIRTY BIRDS (GA),,VARA (1),TRUE PITTSBURGH 2014 (PA),,VARA (1),MILITIA ELITE (VA),,VARA (1),CASH COWS ELITE (MI),,VARA (1),TAR HEEL LC (NC),,VARA (1),BLACK BEAR ORANGE (PA),,VARB (3),TEAM SMITHTOWN (NY),,VARB (3),TROJANS HS B (PA),,VARB (3),VA LAX TEAM RECON (VA),
08:40:00 H,U15A (1),BLACK DOG LEGACY (PA),5,U15A (1),BROTHERHOOD U15 (NJ),3,U15A (1),BUCKS 2017 - MITHOEFER (PA),5,U15A (1),LEADING EDGE SOUTH (NJ),6,U15A (1),BLACK BEAR ORANGE (PA),98,VARB (2),ARROWHEAD (PA),,VARB (2),NOR'EASTER (NJ),,VARB (2),LOW AND AWAY U19 (PA),,Empty,[],,VARA (0),BLACK BEAR ORANGE (PA),,VARA (0),DIP N DUNK (NY),,VARA (0),2014 PHILA FREEDOM (PA),,VARA (0),LOW & AWAY U19 PREMIER (PA),,VARA (0),MILITIA ELITE (VA),,VARA (0),BALTIMORE CANNONS (MD),,VARA (0),QUAKE VARSITY GOLD (NJ),,Empty,[],,VARA (1),BLACK BEAR ORANGE (PA),,VARA (1),DIP N DUNK (NY),,VARA (1),2014 PHILA FREEDOM (PA),,VARA (1),LOW & AWAY U19 PREMIER (PA),,VARA (1),MILITIA ELITE (VA),,VARA (1),BALTIMORE CANNONS (MD),,VARA (1),QUAKE VARSITY GOLD (NJ),,VARB (3),PROVIDENCE ROAD (PA),,VARB (3),TEAM SMITHTOWN (NY),,VARB (3),TOP SIDE SNIPERS (NY),
08:40:00 A,U15A (1),BAGGATAWAY LC U15 (PA),6,U15A (1),HOUSTON HOULAGUNS (TX),3,U15A (1),BURN 'EM LACROSSE (NY),60,U15A (1),LI PARK DISTRICT SELECT (NY),5,U15A (1),LEADING EDGE 2018 (NJ),3,VARB (2),MUCKDAWGS (PA),,VARB (2),PITLAX U17 GREY (PA),,VARB (2),PENNCREST HIGH SCHOOL (PA),,Empty,[],,VARA (0),TRUE PITTSBURGH 2014 (PA),,VARA (0),EMMAUS STING (PA),,VARA (0),DIRTY BIRDS (GA),,VARA (0),SF BIG HORNS (PA),,VARA (0),TAR HEEL LC (NC),,VARA (0),CASH COWS ELITE (MI),,VARA (0),TEAM TOTAL ELITE (MI),,Empty,[],,VARA (1),TRUE PITTSBURGH 2014 (PA),,VARA (1),EMMAUS STING (PA),,VARA (1),DIRTY BIRDS (GA),,VARA (1),SF BIG HORNS (PA),,VARA (1),TAR HEEL LC (NC),,VARA (1),CASH COWS ELITE (MI),,VARA (1),TEAM TOTAL ELITE (MI),,VARB (3),TEAM TOTAL VARSITY (MI),,VARB (3),VA LAX TEAM RECON (VA),,VARB (3),TROJANS HS B (PA),
09:30:00 H,U11B (3),MUCKDAWGS (PA),,U11B (3),LEADING EDGE 2021 (NJ),,U11B (3),TEAM 91 2021 ORANGE (NY),,U11B (3),TRI-STATE U11 GOLD (NJ),,U11B (3),TWIST (PA),,JVA (0),2016 BLACK (NJ),,JVA (0),BUFFALO RISING SOPHS (NY),,JVA (0),BUCKS 2016-HOGAN (PA),,Empty,[],,U15B (0),GREEN & GOLD 7TH/8TH (NJ),,U15B (0),BUCKS 2017-BREITHAUPT (PA),,U15B (0),LEADING EDGE SOUTH (NJ),,U15B (0),TRI-STATE U15 WHITE (NJ),,U15B (0),GRIP-IT N' RIP-IT YELLOW (NY),,U15B (0),LV LIGHTNING WHITE (PA),,U15B (0),DIP N DUNK (NY),,Empty,[],,U15B (3),BLACK BEAR BLUE (PA),,U15B (3),FUSION TSL GOLD (NC),,U15B (3),STEPS 2018 7TH GRADE (NJ),,U15B (3),ROCK'EM LACROSSE (PA),,U15B (3),NJ DIESEL ELITE U15 (NJ),,U15B (3),TOP SIDE SNIPERS BLACK (NY),,U15B (3),TRI-STATE U15 GREEN (NJ),,VARB (1),FCA GEORGIA (GA),,VARB (1),GRIP-IT N' RIP-IT WHITE (NY),,VARB (1),ENDLESS LACROSSE CLUB (MD),
09:30:00 A,U11B (3),NOVA WEST LACROSSE (VA),,U11B (3),BAGGATAWAY LC U11 (PA),,U11B (3),ROCK'EM LACROSSE (PA),,U11B (3),BLACK BEAR (PA),,U11B (3),RISING SONS 2021 (PA),,JVA (0),BLACK BEAR 2016 (PA),,JVA (0),EDGE 2016 RED (ON),,JVA (0),TRUE LACROSSE 2016 (PA),,Empty,[],,U15B (0),380 LACROSSE U-15 BLACK (PA),,U15B (0),BROTHERHOOD U14 (NJ),,U15B (0),CASH COWS U15 (MI),,U15B (0),BERKS RAPTORS (PA),,U15B (0),380 LACROSSE U-15 GREEN (PA),,U15B (0),TRI-STATE U15 GREY (NJ),,U15B (0),GARDEN CITY '17 (NY),,Empty,[],,U15B (3),TRUE BLUE 2017 WHITE (NY),,U15B (3),WOLFPACK - WHITE (MD),,U15B (3),TEAM 91 2017 NAVY (NY),,U15B (3),PROVIDENCE ROAD 2 (PA),,U15B (3),PITLAX U15 (PA),,U15B (3),TRUE PITTSBURGH U15 (PA),,U15B (3),LV  BLUE (PA),,VARB (1),BUCKS 2014/2015 - BRUEMMER (PA),,VARB (1),HORNETS FUTURES (NJ),,VARB (1),LEHIGH VALLEY STEAM (PA),
10:20:00 H,U11B (3),TWIST (PA),,U11B (3),RISING SONS 2021 (PA),,U11B (3),MUCKDAWGS (PA),,U11B (3),BAGGATAWAY LC U11 (PA),,U11B (3),TRI-STATE U11 GOLD (NJ),,JVA (0),EDGE 2016 RED (ON),,JVA (0),BUCKS 2016-HOGAN (PA),,JVA (0),BLACK BEAR 2016 (PA),,Empty,[],,U15B (0),BROTHERHOOD U14 (NJ),,U15B (0),BERKS RAPTORS (PA),,U15B (0),CASH COWS U15 (MI),,U15B (0),GRIP-IT N' RIP-IT YELLOW (NY),,U15B (0),TRI-STATE U15 GREY (NJ),,U15B (0),GARDEN CITY '17 (NY),,U15B (0),380 LACROSSE U-15 BLACK (PA),,Empty,[],,U15B (3),STEPS 2018 7TH GRADE (NJ),,U15B (3),LV  BLUE (PA),,U15B (3),PITLAX U15 (PA),,U15B (3),TEAM 91 2017 NAVY (NY),,U15B (3),NJ DIESEL ELITE U15 (NJ),,U15B (3),TRI-STATE U15 GREEN (NJ),,U15B (3),FUSION TSL GOLD (NC),,VARB (1),LEHIGH VALLEY STEAM (PA),,VARB (1),FCA GEORGIA (GA),,VARB (1),GRIP-IT N' RIP-IT WHITE (NY),
10:20:00 A,U11B (3),BLACK BEAR (PA),,U11B (3),NOVA WEST LACROSSE (VA),,U11B (3),LEADING EDGE 2021 (NJ),,U11B (3),ROCK'EM LACROSSE (PA),,U11B (3),TEAM 91 2021 ORANGE (NY),,JVA (0),2016 BLACK (NJ),,JVA (0),BUFFALO RISING SOPHS (NY),,JVA (0),TRUE LACROSSE 2016 (PA),,Empty,[],,U15B (0),LV LIGHTNING WHITE (PA),,U15B (0),380 LACROSSE U-15 GREEN (PA),,U15B (0),BUCKS 2017-BREITHAUPT (PA),,U15B (0),TRI-STATE U15 WHITE (NJ),,U15B (0),LEADING EDGE SOUTH (NJ),,U15B (0),GREEN & GOLD 7TH/8TH (NJ),,U15B (0),DIP N DUNK (NY),,Empty,[],,U15B (3),WOLFPACK - WHITE (MD),,U15B (3),BLACK BEAR BLUE (PA),,U15B (3),PROVIDENCE ROAD 2 (PA),,U15B (3),TOP SIDE SNIPERS BLACK (NY),,U15B (3),ROCK'EM LACROSSE (PA),,U15B (3),TRUE BLUE 2017 WHITE (NY),,U15B (3),TRUE PITTSBURGH U15 (PA),,VARB (1),HORNETS FUTURES (NJ),,VARB (1),ENDLESS LACROSSE CLUB (MD),,VARB (1),BUCKS 2014/2015 - BRUEMMER (PA),
