Division,Team,,Field,Time,Game 1,,Field,Time,Game 2,,Field,Time,Game 3
Boys U11A,BROTHERLY LOVE 2023,,BPC - Saturday 3,12:50:00,Boys U11A: LIONVILLE U11A (Away),,BPC - Saturday 3,14:30:00,Boys U11A: TEAM HARLEY 2022 (Away),,BPC - Saturday 3,16:10:00,Boys U11A: UPRISING 2023 (Home)
Boys U11A,LIONVILLE U11A,,BPC - Saturday 3,12:50:00,Boys U11A: BROTHERLY LOVE 2023 (Home),,BPC - Saturday 4,14:30:00,Boys U11A: UPRISING 2023 (Home),,BPC - Saturday 4,16:10:00,Boys U11A: TEAM HARLEY 2022 (Away)
Boys U11A,TEAM HARLEY 2022,,BPC - Saturday 4,12:50:00,Boys U11A: UPRISING 2023 (Away),,BPC - Saturday 3,14:30:00,Boys U11A: BROTHERLY LOVE 2023 (Home),,BPC - Saturday 4,16:10:00,Boys U11A: LIONVILLE U11A (Home)
Boys U11A,UPRISING 2023,,BPC - Saturday 4,12:50:00,Boys U11A: TEAM HARLEY 2022 (Home),,BPC - Saturday 4,14:30:00,Boys U11A: LIONVILLE U11A (Away),,BPC - Saturday 3,16:10:00,Boys U11A: BROTHERLY LOVE 2023 (Away)
Boys U11B,BROTHERLY LOVE 2023/2024,,BPC - Saturday 5,07:00:00,Boys U11B: BYC 3 (Away),,BPC - Saturday 3,08:40:00,Boys U11B: ROSE TREE OPTIMIST (Away),,BPC - Saturday 3,10:20:00,Boys U11B: U11 B FLYNN (Home)
Boys U11B,BYC 3,,BPC - Saturday 5,07:00:00,Boys U11B: BROTHERLY LOVE 2023/2024 (Home),,BPC - Saturday 2,08:40:00,Boys U11B: BYC U11B-I'M (Home),,BPC - Saturday 2,10:20:00,Boys U11B: PHILADELPHIA FREEDOM 2024 (Away)
Boys U11B,BYC U11B-I'M,,BPC - Saturday 3,07:00:00,Boys U11B: U11 B FLYNN (Home),,BPC - Saturday 2,08:40:00,Boys U11B: BYC 3 (Away),,BPC - Saturday 1,10:20:00,Boys U11B: UPPER MERION LACROSSE CLUB 3/4 C (Home)
Boys U11B,U11 B FLYNN,,BPC - Saturday 3,07:00:00,Boys U11B: BYC U11B-I'M (Away),,BPC - Saturday 5,08:40:00,Boys U11B: PHILADELPHIA FREEDOM 2024 (Home),,BPC - Saturday 3,10:20:00,Boys U11B: BROTHERLY LOVE 2023/2024 (Away)
Boys U11B,PHILADELPHIA FREEDOM 2024,,BPC - Saturday 1,07:00:00,Boys U11B: Dummy 1 (Home),,BPC - Saturday 5,08:40:00,Boys U11B: U11 B FLYNN (Away),,BPC - Saturday 2,10:20:00,Boys U11B: BYC 3 (Home)
Boys U11B,ROSE TREE OPTIMIST,,BPC - Saturday 4,07:00:00,Boys U11B: SPRING-FORD C BLUE (Home),,BPC - Saturday 3,08:40:00,Boys U11B: BROTHERLY LOVE 2023/2024 (Home),,BPC - Saturday 5,10:20:00,Boys U11B: UPRISING 2024 (Away)
Boys U11B,SPRING-FORD C BLUE,,BPC - Saturday 4,07:00:00,Boys U11B: ROSE TREE OPTIMIST (Away),,BPC - Saturday 4,08:40:00,Boys U11B: UPPER MERION LACROSSE CLUB 3/4 C (Away),,BPC - Saturday 4,10:20:00,Boys U11B: Dummy 1 (Away)
Boys U11B,UPPER MERION LACROSSE CLUB 3/4 C,,BPC - Saturday 2,07:00:00,Boys U11B: UPRISING 2024 (Away),,BPC - Saturday 4,08:40:00,Boys U11B: SPRING-FORD C BLUE (Home),,BPC - Saturday 1,10:20:00,Boys U11B: BYC U11B-I'M (Away)
Boys U11B,UPRISING 2024,,BPC - Saturday 2,07:00:00,Boys U11B: UPPER MERION LACROSSE CLUB 3/4 C (Home),,BPC - Saturday 1,08:40:00,Boys U11B: Dummy 1 (Home),,BPC - Saturday 5,10:20:00,Boys U11B: ROSE TREE OPTIMIST (Home)
Boys U11B,Dummy 1,,BPC - Saturday 1,07:00:00,Boys U11B: PHILADELPHIA FREEDOM 2024 (Away),,BPC - Saturday 1,08:40:00,Boys U11B: UPRISING 2024 (Away),,BPC - Saturday 4,10:20:00,Boys U11B: SPRING-FORD C BLUE (Home)
Boys U13A,CYLAX U-13A,,BPC - Sunday 10,07:50:00,Boys U13A: EAGLES (Home),,BPC - Sunday 10,09:30:00,Boys U13A: Dummy 2 (Home),,BPC - Sunday 10,11:10:00,Boys U13A: TEAM HARLEY (Away)
Boys U13A,EAGLES,,BPC - Sunday 10,07:50:00,Boys U13A: CYLAX U-13A (Away),,BPC - Sunday 11,09:30:00,Boys U13A: TEAM HARLEY (Home),,BPC - Sunday 9,11:10:00,Boys U13A: SPRING-FORD B BLUE (Away)
Boys U13A,TEAM HARLEY,,BPC - Sunday 11,07:50:00,Boys U13A: BLACK STORM (Home),,BPC - Sunday 11,09:30:00,Boys U13A: EAGLES (Away),,BPC - Sunday 10,11:10:00,Boys U13A: CYLAX U-13A (Home)
Boys U13A,BLACK STORM,,BPC - Sunday 11,07:50:00,Boys U13A: TEAM HARLEY (Away),,BPC - Sunday 9,09:30:00,Boys U13A: SPRING-FORD B BLUE (Away),,BPC - Sunday 11,11:10:00,Boys U13A: Dummy 2 (Home)
Boys U13A,SPRING-FORD B BLUE,,BPC - Sunday 9,07:50:00,Boys U13A: Dummy 2 (Home),,BPC - Sunday 9,09:30:00,Boys U13A: BLACK STORM (Home),,BPC - Sunday 9,11:10:00,Boys U13A: EAGLES (Home)
