Liberty 2015 m - FIELD GRID DRAFT (with match-ups) - 2016-02-10 15:42:12.569650
(This grid is for general scheduling purposes and may be subject to change.)
Day One,,Saturday,,,,,,,
Time,,Field #1,Field #2,Field #3,Field #4,Field #5,Field #6,Field #7,Field #8,Byes
08:00:00 H,,STARS & STRIPES 2020/2021 RED (PA),STARS & STRIPES 2020/2021 BLUE (PA),RIDGE FUTURES SILVER (NJ),MESA FRESH 2019 (PA),CYLAX HOUSE (PA),HOUSE LEAGUE ALL STARS (PA),COATESVILLE RED RAIDERS (PA),,,,,,Boys Club 2020A-1,Boys Club 2020A-1,Boys Club 2019A-1,Boys Club 2019A-1,Boys U11B-2,Boys U11B-2,Boys U11B-2,,,
08:00:00 A,,RIDGE FUTURES BLACK (NJ),MD WOLFPACK 2020 (MD),MD WOLFPACK 2019B (MD),SONS 2020 (PA),HW TURTLES (PA),TWIN VALLEY RAIDERS - 3-4 LIGHTNING (PA),TEAM HARLEY 2023 (PA),,,,,,Boys Club 2020A-1,Boys Club 2020A-1,Boys Club 2019A-1,Boys Club 2019A-1,Boys U11B-2,Boys U11B-2,Boys U11B-2,,,
08:50:00 H,,BYC U11B (PA),VIPER 3 (NY),CYLAX HOUSE (PA),CYLAX TRAVEL A (PA),COUGAR ELITE (NJ),UNIONVILLE BLUE (PA),,,,,,,Boys U11B-1,Boys U11B-1,Boys U11B-1,Boys U11A-2,Boys U11A-2,Boys U11A-2,,,,
08:50:00 A,,CYLAX TRAVEL B (PA),CYLAX TRAVEL C (PA),HW TURTLES (PA),RIDGE FUTURES WHITE (NJ),HALLORAN 11A (PA),MAD DOGS (PA),,,,,,,Boys U11B-1,Boys U11B-1,Boys U11B-1,Boys U11A-2,Boys U11A-2,Boys U11A-2,,,,
09:40:00 H,,STARS & STRIPES 2020/2021 BLUE (PA),MD WOLFPACK 2020 (MD),MESA FRESH 2019 (PA),SONS 2020 (PA),TWIN VALLEY RAIDERS - 3-4 LIGHTNING (PA),HW TURTLES (PA),SOUTH PARKLAND (PA),,,,,,Boys Club 2020A-1,Boys Club 2020A-1,Boys Club 2019A-1,Boys Club 2019A-1,Boys U11B-2,Boys U11B-2,Boys U11B-2,,,
09:40:00 A,,RIDGE FUTURES BLACK (NJ),STARS & STRIPES 2020/2021 RED (PA),RIDGE FUTURES SILVER (NJ),MD WOLFPACK 2019B (MD),COATESVILLE RED RAIDERS (PA),TEAM HARLEY 2023 (PA),BYC U11B (PA),,,,,,Boys Club 2020A-1,Boys Club 2020A-1,Boys Club 2019A-1,Boys Club 2019A-1,Boys U11B-2,Boys U11B-2,Boys U11B-2,,,
10:30:00 H,,TEAM HARLEY 2023 (PA),BYC U11B (PA),VIPER 3 (NY),STARS & STRIPES 2022 RED (PA),UNIONVILLE BLUE (PA),LIONVILLE U11A (PA),,,,,,,Boys U11B-1,Boys U11B-1,Boys U11B-1,Boys U11A-2,Boys U11A-2,Boys U11A-2,,,,
10:30:00 A,,HW TURTLES (PA),SOUTH PARKLAND (PA),CYLAX TRAVEL B (PA),CHOSEN (PA),HALLORAN 11A (PA),COUGAR ELITE (NJ),,,,,,,Boys U11B-1,Boys U11B-1,Boys U11B-1,Boys U11A-2,Boys U11A-2,Boys U11A-2,,,,
11:20:00 H,,RIDGE FUTURES BLACK (NJ),STARS & STRIPES 2020/2021 BLUE (PA),RIDGE FUTURES SILVER (NJ),MESA FRESH 2019 (PA),HOUSE LEAGUE ALL STARS (PA),SOUTH PARKLAND (PA),TWIN VALLEY RAIDERS - 3-4 LIGHTNING (PA),,,,,,Boys Club 2020A-1,Boys Club 2020A-1,Boys Club 2019A-1,Boys Club 2019A-1,Boys U11B-2,Boys U11B-2,Boys U11B-2,,,
11:20:00 A,,MD WOLFPACK 2020 (MD),STARS & STRIPES 2020/2021 RED (PA),SONS 2020 (PA),MD WOLFPACK 2019B (MD),BLAZE U 11 (PA),HW TURTLES (PA),BYC U11B (PA),,,,,,Boys Club 2020A-1,Boys Club 2020A-1,Boys Club 2019A-1,Boys Club 2019A-1,Boys U11B-2,Boys U11B-2,Boys U11B-2,,,
12:10:00 H,,COATESVILLE RED RAIDERS (PA),HW TURTLES (PA),CYLAX HOUSE (PA),MAD DOGS (PA),LIONVILLE U11A (PA),STARS & STRIPES 2022 RED (PA),,,,,,,Boys U11B-1,Boys U11B-1,Boys U11B-1,Boys U11A-2,Boys U11A-2,Boys U11A-2,,,,
12:10:00 A,,CYLAX TRAVEL C (PA),SOUTH PARKLAND (PA),VIPER 3 (NY),CHOSEN (PA),VIPER LUZZI (NY),HALLORAN 11A (PA),,,,,,,Boys U11B-1,Boys U11B-1,Boys U11B-1,Boys U11A-2,Boys U11A-2,Boys U11A-2,,,,
01:00:00 H,,,,,,,,,,,,,,,,,,,,,,,
01:00:00 A,,,,,,,,,,,,,,,,,,,,,,,
01:50:00 H,,,,,,,,,,,,,,,,,,,,,,,
01:50:00 A,,,,,,,,,,,,,,,,,,,,,,,
02:40:00 H,,,,,,,,,,,Boys Club 2019A-1,,,,,,,,,,,,Boys Club 2019A-1
02:40:00 A,,,,,,,,,,,Boys Club 2020A-1,,,,,,,,,,,,Boys Club 2020A-1
03:30:00 H,,,,,,,,,,,Boys U11A-1,,,,,,,,,,,,Boys U11A-1
03:30:00 A,,,,,,,,,,,Boys U11A-2,,,,,,,,,,,,Boys U11A-2
04:20:00 H,,RIDGE FUTURES WHITE (NJ),COUGAR ELITE (NJ),STARS & STRIPES 2022 RED (PA),,,,,,,Boys U11B-1,,,Boys U11A-1,Boys U11A-1,Boys U11A-1,,,,,,,Boys U11B-1
04:20:00 A,,CYLAX TRAVEL A (PA),HALLORAN 11A (PA),TEAM HARLEY 2022 (PA),,,,,,,Boys U11B-2,,,Boys U11A-1,Boys U11A-1,Boys U11A-1,,,,,,,Boys U11B-2
05:10:00 H,,,,,,,,,,,,,,,,,,,,,,,
05:10:00 A,,,,,,,,,,,,,,,,,,,,,,,
06:00:00 H,,MAD DOGS (PA),RIDGE FUTURES WHITE (NJ),LIONVILLE U11A (PA),,,,,,,,,,Boys U11A-1,Boys U11A-1,Boys U11A-1,,,,,,,
06:00:00 A,,KENNETT BLUE DEMONS (PA),TEAM HARLEY 2022 (PA),COUGAR ELITE (NJ),,,,,,,,,,Boys U11A-1,Boys U11A-1,Boys U11A-1,,,,,,,
06:50:00 H,,,,,,,,,,,,,,,,,,,,,,,
06:50:00 A,,,,,,,,,,,,,,,,,,,,,,,
07:40:00 H,,STARS & STRIPES 2022 RED (PA),KENNETT BLUE DEMONS (PA),COUGAR ELITE (NJ),,,,,,,,,,Boys U11A-1,Boys U11A-1,Boys U11A-1,,,,,,,
07:40:00 A,,HALLORAN 11A (PA),TEAM HARLEY 2022 (PA),RIDGE FUTURES WHITE (NJ),,,,,,,,,,Boys U11A-1,Boys U11A-1,Boys U11A-1,,,,,,,
08:30:00 H,,,,,,,,,,,,,,,,,,,,,,,
08:30:00 A,,,,,,,,,,,,,,,,,,,,,,,
09:20:00 H,,,,,,,,,,,,,,,,,,,,,,,
09:20:00 A,,,,,,,,,,,,,,,,,,,,,,,
10:10:00 H,,,,,,,,,,,,,,,,,,,,,,,
10:10:00 A,,,,,,,,,,,,,,,,,,,,,,,
11:00:00 H,,,,,,,,,,,,,,,,,,,,,,,
11:00:00 A,,,,,,,,,,,,,,,,,,,,,,,
11:50:00 H,,,,,,,,,,,,,,,,,,,,,,,
11:50:00 A,,,,,,,,,,,,,,,,,,,,,,,

Day Two,,Sunday,,,,,,,
Time,,Field #1,Field #2,Field #3,Field #4,Field #5,Field #6,Field #7,Field #8,Byes
08:00:00 H,,SOUDERTON (PA),HAVERFORD BLAZE U-15 (PA),LEHIGH VALLEY OUTLAWS (PA),SCHNECKSVILLE SPA (PA),PHILADELPHIA FREEDOM 2021 WHITE (PA),UNIONVILLE INDIANS (PA),PHILADELPHIA FREEDOM 2021 WHITE (PA),MARPLE NEWTOWN TIGERS I (PA),,,,,Boys U15B-1,Boys U15B-1,Boys U15A-1,Boys U15A-1,Boys U13B-4,Boys U13B-4,Boys U13B-3,Boys U13B-3,,
08:00:00 A,,COUGAR ELITE (NJ),HAVEN (PA),COUGAR ELITE (NJ),VIPER 19 (NY),GREAT VALLEY PATRIOTS (PA),BYC U13B-2 (PA),GREAT VALLEY PATRIOTS (PA),CYLAX GARNET B (PA),,,,,Boys U15B-1,Boys U15B-1,Boys U15A-1,Boys U15A-1,Boys U13B-4,Boys U13B-4,Boys U13B-3,Boys U13B-3,,
08:50:00 H,,COUGAR ELITE WHITE (NJ),RADNOR LC (PA),RIDGE FUTURES GREEN (NJ),VIPER 6 (NY),BULLDOGS (PA),COUGAR ELITE (NJ),RIDLEY U13 (PA),COUGAR ELITE (NJ),,,,,Boys U13B-2,Boys U13B-2,Boys U13B-1,Boys U13B-1,Boys U13A-2,Boys U13A-2,Boys U13A-1,Boys U13A-1,,
