Liberty 2015 - FIELD GRID DRAFT (with match-ups) - 2015-07-09 11:36:47.700226
(This grid is for general scheduling purposes and may be subject to change.)
Day One,,Saturday,,,,,,,,Sunday,,,,,,,
Time,,Field #1,Field #2,Field #3,Field #4,Field #5,Field #6,Field #7,Field #8,Field #9,Field #10,Field #11,Field #12,Field #13,Field #14,Field #15,Field #16,Byes
08:00:00 H,,OLDE ENGLISH LACROSSE (PA),CYLAX GRAY B (PA),TIGERS U9 (PA),BLUE DEMONS (PA),COUGAR ELITE (NJ),HAVERFORD BLAZE U-15 (PA),COUGAR ELITE (NJ),SCHNECKSVILLE SPA (PA),CHOSEN (PA),VIPER LUZZI (NY),CYLAX TRAVEL A (PA),STARS & STRIPES 2022 RED (PA),VIPER LUZZI (NY),KENNETT BLUE DEMONS (PA),,,,,,,Boys U9B-1,Boys U9B-1,Boys U9A-1,Boys U9A-1,Boys U15B-1,Boys U15B-1,Boys U15A-1,Boys U15A-1,Boys U11A-2,Boys U11A-2,Boys U11A-2,Boys U11A-1,Boys U11A-1,Boys U11A-1,,,,
08:00:00 A,,BEL AIR TYKER BOYS (MD),COLLEGEVILLE COUGARS (PA),HARLEY 2024 (PA),CYLAX GARNET A (PA),HAVEN (PA),SOUDERTON (PA),VIPER 19 (NY),LEHIGH VALLEY OUTLAWS (PA),MAD DOGS (PA),LIONVILLE U11A (PA),UNIONVILLE BLUE (PA),TEAM HARLEY 2022 (PA),LIONVILLE U11A (PA),HALLORAN 11A (PA),,,,,,,Boys U9B-1,Boys U9B-1,Boys U9A-1,Boys U9A-1,Boys U15B-1,Boys U15B-1,Boys U15A-1,Boys U15A-1,Boys U11A-2,Boys U11A-2,Boys U11A-2,Boys U11A-1,Boys U11A-1,Boys U11A-1,,,,
08:50:00 H,,CYLAX GRAY C (PA),UNIONVILLE INDIANS (PA),CYLAX GARNET B (PA),CYLAX GRAY C (PA),SOUTH PARKLAND (PA),COUGAR ELITE WHITE (NJ),VIPER 6 (NY),RIDGE FUTURES GREEN (NJ),DELTA HOUSE (PA),FREEDOM LC 2024 (PA),PA ROUGHRIDERS 2023 (PA),,,,,,,,,,Boys U13B-4,Boys U13B-4,Boys U13B-3,Boys U13B-3,Boys U13B-2,Boys U13B-2,Boys U13B-1,Boys U13B-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,,,,,,,
08:50:00 A,,BLAZE U-13 (PA),CYLAX GARNET B (PA),UNIONVILLE INDIANS (PA),BLAZE U-13 (PA),VIPER 6 (NY),PA ROUGHRIDERS 2022  (PA),SOUTH PARKLAND (PA),RADNOR LC (PA),PA ROUGHRIDERS 2024 (PA),UPRISING 2023 (PA),UPRISING 2024 (PA),,,,,,,,,,Boys U13B-4,Boys U13B-4,Boys U13B-3,Boys U13B-3,Boys U13B-2,Boys U13B-2,Boys U13B-1,Boys U13B-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,,,,,,,
09:40:00 H,,BEL AIR TYKER BOYS (MD),OLDE ENGLISH LACROSSE (PA),CYLAX GARNET A (PA),HARLEY 2024 (PA),HAVERFORD BLAZE U-15 (PA),HAVEN (PA),COUGAR ELITE (NJ),LEHIGH VALLEY OUTLAWS (PA),MAD DOGS (PA),LIONVILLE U11A (PA),VIPER LUZZI (NY),KENNETT BLUE DEMONS (PA),STARS & STRIPES 2022 RED (PA),RIDGE FUTURES WHITE (NJ),,,,,,,Boys U9B-1,Boys U9B-1,Boys U9A-1,Boys U9A-1,Boys U15B-1,Boys U15B-1,Boys U15A-1,Boys U15A-1,Boys U11A-2,Boys U11A-2,Boys U11A-2,Boys U11A-1,Boys U11A-1,Boys U11A-1,,,,
09:40:00 A,,CYLAX GRAY B (PA),COLLEGEVILLE COUGARS (PA),TIGERS U9 (PA),BLUE DEMONS (PA),COUGAR ELITE (NJ),SOUDERTON (PA),SCHNECKSVILLE SPA (PA),VIPER 19 (NY),CHOSEN (PA),HALLORAN 11A (PA),UNIONVILLE BLUE (PA),CYLAX TRAVEL A (PA),COUGAR ELITE (NJ),TEAM HARLEY 2022 (PA),,,,,,,Boys U9B-1,Boys U9B-1,Boys U9A-1,Boys U9A-1,Boys U15B-1,Boys U15B-1,Boys U15A-1,Boys U15A-1,Boys U11A-2,Boys U11A-2,Boys U11A-2,Boys U11A-1,Boys U11A-1,Boys U11A-1,,,,
10:30:00 H,,GREAT VALLEY PATRIOTS (PA),BYC U13B-2 (PA),MARPLE NEWTOWN TIGERS I (PA),PHILADELPHIA FREEDOM 2021 WHITE (PA),SOUTH PARKLAND (PA),COUGAR ELITE WHITE (NJ),VIPER 6 (NY),PA ROUGHRIDERS 2022  (PA),DELTA HOUSE (PA),PA ROUGHRIDERS 2024 (PA),FREEDOM LC 2024 (PA),,,,,,,,,,Boys U13B-4,Boys U13B-4,Boys U13B-3,Boys U13B-3,Boys U13B-2,Boys U13B-2,Boys U13B-1,Boys U13B-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,,,,,,,
10:30:00 A,,CYLAX GARNET B (PA),CYLAX GRAY C (PA),BLAZE U-13 (PA),UNIONVILLE INDIANS (PA),RIDGE FUTURES GREEN (NJ),VIPER 6 (NY),COUGAR ELITE WHITE (NJ),HEMPFIELD (PA),UPRISING 2024 (PA),UPRISING 2023 (PA),PA ROUGHRIDERS 2023 (PA),,,,,,,,,,Boys U13B-4,Boys U13B-4,Boys U13B-3,Boys U13B-3,Boys U13B-2,Boys U13B-2,Boys U13B-1,Boys U13B-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,Boys Club 2023/4A-1,,,,,,,
11:20:00 H,,CYLAX GRAY B (PA),BEL AIR TYKER BOYS (MD),BLUE DEMONS (PA),HARLEY 2024 (PA),COUGAR ELITE (NJ),HAVERFORD BLAZE U-15 (PA),SCHNECKSVILLE SPA (PA),COUGAR ELITE (NJ),UNIONVILLE BLUE (PA),CHOSEN (PA),RIDGE FUTURES WHITE (NJ),RIDGE FUTURES WHITE (NJ),VIPER LUZZI (NY),CHOSEN (PA),,,,,,,Boys U9B-1,Boys U9B-1,Boys U9A-1,Boys U9A-1,Boys U15B-1,Boys U15B-1,Boys U15A-1,Boys U15A-1,Boys U11A-2,Boys U11A-2,Boys U11A-2,Boys U11A-1,Boys U11A-1,Boys U11A-1,,,,
11:20:00 A,,OLDE ENGLISH LACROSSE (PA),COLLEGEVILLE COUGARS (PA),TIGERS U9 (PA),CYLAX GARNET A (PA),SOUDERTON (PA),HAVEN (PA),VIPER 19 (NY),LEHIGH VALLEY OUTLAWS (PA),HALLORAN 11A (PA),KENNETT BLUE DEMONS (PA),MAD DOGS (PA),MAD DOGS (PA),TEAM HARLEY 2022 (PA),KENNETT BLUE DEMONS (PA),,,,,,,Boys U9B-1,Boys U9B-1,Boys U9A-1,Boys U9A-1,Boys U15B-1,Boys U15B-1,Boys U15A-1,Boys U15A-1,Boys U11A-2,Boys U11A-2,Boys U11A-2,Boys U11A-1,Boys U11A-1,Boys U11A-1,,,,
