Game,Date,Time,Field,Bracket,Round,Team,Game Score,Sportsmanship Rating,Sportsmanship Notes,Ref Rating,Ref Rating Notes
1,2015-06-06,08:50:00,1,Boys U13B-2,1,VIPER 6,,,,,
2,2015-06-06,08:50:00,2,Boys U13B-1,1,ASHBEE ORANGE,,,,,
3,2015-06-06,08:50:00,3,Boys U13B-2,1,RADNOR LC,,,,,
4,2015-06-06,08:50:00,4,Boys U13B-1,1,GREAT VALLEY PATRIOTS,,,,,
5,2015-06-06,08:50:00,5,Boys U13B-4,1,BYC U13B-2,,,,,
6,2015-06-06,08:50:00,6,Boys U13B-3,1,CYLAX GARNET B,,,,,
7,2015-06-06,08:50:00,7,Boys U13B-4,1,CYLAX GRAY C,,,,,
8,2015-06-06,08:50:00,8,Boys U13B-3,1,RIDGE FUTURES GREEN,,,,,
1,2015-06-06,08:50:00,1,Boys U13B-2,1,SOUTH PARKLAND,,,,,
2,2015-06-06,08:50:00,2,Boys U13B-1,1,PA ROUGHRIDERS 2022 ,,,,,
3,2015-06-06,08:50:00,3,Boys U13B-2,1,COUGAR ELITE WHITE,,,,,
4,2015-06-06,08:50:00,4,Boys U13B-1,1,HEMPFIELD,,,,,
5,2015-06-06,08:50:00,5,Boys U13B-4,1,PHILADELPHIA FREEDOM 2021 WHITE,,,,,
6,2015-06-06,08:50:00,6,Boys U13B-3,1,MARPLE NEWTOWN TIGERS I,,,,,
7,2015-06-06,08:50:00,7,Boys U13B-4,1,UNIONVILLE INDIANS,,,,,
8,2015-06-06,08:50:00,8,Boys U13B-3,1,BLAZE U-13,,,,,
10,2015-06-06,09:40:00,2,Boys Club 2021/22A-1,1,STARS & STRIPES 2022 BLUE,,,,,
11,2015-06-06,09:40:00,3,Boys Club 2021/22A-1,1,PA ROUGHRIDERS 2021 SELECT,,,,,
12,2015-06-06,09:40:00,4,Boys U13A-2,1,PA ROUGHRIDERS 2020 SELECT,,,,,
13,2015-06-06,09:40:00,5,Boys U13A-1,1,RIDLEY U13,,,,,
14,2015-06-06,09:40:00,6,Boys U13A-2,1,BYC 13A SKULSKI,,,,,
15,2015-06-06,09:40:00,7,Boys U13A-1,1,KENNETT BLUE DEMONS U13A,,,,,
10,2015-06-06,09:40:00,2,Boys Club 2021/22A-1,1,COUGAR ELITE  BLUE,,,,,
11,2015-06-06,09:40:00,3,Boys Club 2021/22A-1,1,MD WOLFPACK 2021,,,,,
12,2015-06-06,09:40:00,4,Boys U13A-2,1,BULLDOGS,,,,,
13,2015-06-06,09:40:00,5,Boys U13A-1,1,LEHIGH VALLEY OUTLAWS,,,,,
14,2015-06-06,09:40:00,6,Boys U13A-2,1,MT. LEBANON U13A,,,,,
15,2015-06-06,09:40:00,7,Boys U13A-1,1,COUGAR ELITE,,,,,
17,2015-06-06,10:30:00,1,Boys U13B-2,2,RADNOR LC,,,,,
18,2015-06-06,10:30:00,2,Boys U13B-1,2,PA ROUGHRIDERS 2022 ,,,,,
